Sample Image	Exp. Time	Gray Filter	Emission Filter	Reference Image	BG Subtr.	Sample#	Sample Name	Analyte	Ref.	Type	Buffer	Dilution	RFI	RFI CV	Used Conc.	#Bad Spots	#Dis. Spots	b Norm.	db	R2	ShapiroWilk	Red. Chi2	Class.	Chip	Ident.	Conc.
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	1	S001_cell line_Melanoma_A2058 _DMSO_1hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	1.730902666	0.044110226	All	2	0	1.373041387	1.250896517	0.992727889	0.266648307	2.813476247	Good	#001	S00001	1
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	2	S002_cell line_Melanoma_A2058 _901_1hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	1.428652378	0.031525581	All	3	0	1.296617777	1.167720438	0.996298864	0.62086036	1.527731715	Good	#001	S00002	1
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	3	S003_cell line_Melanoma_A2058 _4032_1hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	1.860711968	0.026433898	All	2	0	1.277097137	0.832882576	0.999887135	0.053638801	0.047300928	Good	#001	S00003	1
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	4	S004_cell line_Melanoma_A2058 _combo_1hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	1.634063894	0.04163441	All	1	0	1.600587396	0.979647655	0.984437327	0.102453009	3.124650183	Undet.	#001	S00004	1
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	5	S005_cell line_Melanoma_A2058 _DMSO_3.5hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	1.451263196	0.029505109	All	0	0	1.291598887	0.980917711	0.996531626	0.235606947	2.060632716	Good	#001	S00005	1
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	6	S006_cell line_Melanoma_A2058 _901_6hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	1.397946521	0.035610599	All	1	0	1.271247415	0.884810785	0.986362541	0.388119998	1.85661033	Good	#001	S00006	1
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	7	S007_cell line_Melanoma_A2058 _4032_6hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	1.224402731	0.057114947	All	0	0	1.333256629	1.274363966	0.988437338	0.141929728	6.920485872	Good	#001	S00007	1
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	8	S008_cell line_Melanoma_A2058 _combo_6hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	0.921984842	0.045023241	All	0	0	1.257201968	1.258843323	0.991210279	0.944062466	5.329059077	Good	#001	S00008	1
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	9	S009_cell line_Melanoma_A2058 _DMSO_24hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	1.509160841	0.083202675	All	1	0	1.180836059	0.162211938	0.97170251	0.360689577	21.63895165	Undet.	#001	S00009	1
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	10	S010_cell line_Melanoma_A2058 _901_24hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	1.339575894	0.047230375	All	0	0	1.303777002	0.991208333	0.991226507	0.290852764	5.137321659	Good	#001	S00010	1
SMSKC101I0000_01_A_2.tif	5	1	Red	SMSKC101I0000_01_A_2.tif	TRUE	11	S011_cell line_Melanoma_A2058 _4032_24hr_rep1	4E-BP1 (phospho-Ser65)	ndef	rabbit IgG	CAB1	-1	1.297667959	0.04489297	All	0	0	1.215485833	0.825025468	0.990723859	0.997877815	5.616891352	Good	#001	S00011	1
