antibodyNames	ratios
AKT	0.932972246343785
AKT-pS473	1.15460751266938
Aurora-A-pT288	0.850278001300143
b-Actin	1.32235277248812
b-Catenin	0.731075738097538
c-JUN-pS73	0.631125233076266
c-MYC	0.873832093060872
Caspase3 (Asp175) Cleaved	1
Cyclin-D1	0.618919028662301
EGFR-pY1068	1.10314319303676
ERK1/2	0.793658532799747
ERK1/2-pT202/Y204	0.588919113445724
GAPDH	1.51175032122837
GSK3a-pS21/GSK3b-pS9	1.14676971871053
HER2-pY1248	0.623354190691611
HER3-pY1289	1.5573056995074
IGF1R-pY1162/3	4.19332778645272
IGF1Rb	0.654762557763405
MEK1/2	0.82907674794474
MEK1/2-pS217/221	0.662294387390343
MET	0.717851937274842
MET-pY1234/5	0.695499566475513
MITF	2.87504846872329
mTOR	0.654320141885452
mTOR-pS2448	5.31693672358856
p53	0.90252838668132
PDGFRb-pY1021	1.56605812713154
PTEN	0.619090832810066
RB	0.689252411049476
RB-pS780	0.906980445543292
RPS6-pS235/6	0.771942398473788
SMAD3-pS423/5	0.833896632216504
SRC-pY416	0.456929224453909
STAT3-pY705	0.413712917394202
VEGFR2-pY1059	0.214480298383256
buffer control	0.0350198293464388
