Sample_description	GORDER	X14.3.3_epsilon.M.C_GBL9026348	X4E.BP1.R.V_GBL9026169	X4E.BP1_pS65.R.V_GBL9026170	X53BP1.R.C_GBL9026171	ACC_pS79.R.V_GBL9026172	ACC1.R.C_GBL9026173	AIB1.M.V_GBL9026302	Akt.R.V_GBL9026174	Akt_pS473.R.V_GBL9026175	Akt_pT308.R.V_GBL9026176	alpha.Catenin.M.V_GBL9026304	AMPK_alpha.R.C_GBL9026177	AMPK_pT172.R.V_GBL9026178	Annexin_I.R.V_GBL9026179	AR.R.V_GBL9026335	Bad_pS112.R.V_GBL9026336	Bak.R.C_GBL9026182	Bax.R.V_GBL9026183	Bcl.2.M.V_GBL9026303	Bcl.X.R.C_GBL9026338	Bcl.xL.R.V_GBL9026339	Beclin.G.V_GBL9026330	beta.Catenin.R.V_GBL9026194	Bid.R.C_GBL9026340	Bim.R.V_GBL9026351	c.Jun_pS73.R.C_GBL9026231	c.Kit.R.V_GBL9026344	c.Met.M.C_GBL9026314	c.Met_pY1235.R.C_GBL9026236	c.Myc.R.C_GBL9026241	C.Raf.R.V_GBL9026278	C.Raf_pS338.R.C_GBL9026279	Caspase.3_active.R.C_GBL9026352	Caspase.7_cleavedD198.R.C_GBL9026353	Caspase.9_cleavedD330.R.C_GBL9026193	Caveolin.1.R.V_GBL9026195	CD31.M.V_GBL9026349	CDK1.R.V_GBL9026196	Chk1.R.C_GBL9026197	Chk1_pS345.R.C_GBL9026198	Chk2.M.C_GBL9026306	Chk2_pT68.R.C_GBL9026199	cIAP.R.V_GBL9026200	Claudin.7.R.V_GBL9026201	Collagen_VI.R.V_GBL9026202	COX.2.R.C_GBL9026203	Cyclin_B1.R.V_GBL9026204	Cyclin_D1.R.V_GBL9026205	Cyclin_E1.M.V_GBL9026308	DJ.1.R.C_GBL9026206	Dvl3.R.V_GBL9026207	E.Cadherin.R.V_GBL9026188	eEF2.R.V_GBL9026208	eEF2K.R.V_GBL9026209	EGFR.R.C_GBL9026210	EGFR.CST2232..R.C_GBL9026334	EGFR_pY1068.R.V_GBL9026211	EGFR_pY1173.R.C_GBL9026212	EGFR_pY992.R.V_GBL9026213	eIF4E.R.V_GBL9026214	ER.alpha.R.V_GBL9026215	ER.alpha_pS118.R.V_GBL9026217	ERCC1.M.C_GBL9026309	FAK.R.C_GBL9026218	Fibronectin.R.C_GBL9026216	FOXO3a.R.C_GBL9026219	FOXO3a_pS318_S321.R.C_GBL9026220	GATA3.M.V_GBL9026310	GSK3.alpha.beta.M.V_GBL9026312	GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	GSK3_pS9.R.V_GBL9026221	HER2.M.V_GBL9026313	HER2_pY1248.R.V_GBL9026223	HER3.R.V_GBL9026224	HER3_pY1298.R.C_GBL9026225	IGF.1R.beta.R.C_GBL9026226	IGFBP2.R.V_GBL9026227	INPP4B.G.C_GBL9026331	IRS1.R.V_GBL9026228	JNK_pT183_pT185.R.V_GBL9026343	JNK2.R.C_GBL9026230	K.Ras.M.C_GBL9026322	MAPK_pT202_Y204.R.V_GBL9026233	MEK1.R.V_GBL9026234	MEK1_pS217_S221.R.V_GBL9026345	MIG.6.M.V_GBL9026315	Mre11.R.C_GBL9026237	MSH2.M.C_GBL9026316	MSH6.R.C_GBL9026238	mTOR.R.V_GBL9026239	mTOR_.pS2448.R.C_GBL9026240	N.Cadherin.R.V_GBL9026341	NF.kB.p65_pS536.R.C_GBL9026242	NF2.R.C_GBL9026243	Notch1.R.V_GBL9026244	Notch3.R.C_GBL9026246	P.Cadherin.R.C_GBL9026342	p21.R.C_GBL9026247	p27.R.V_GBL9026248	p27_pT157.R.C_GBL9026249	p27_pT198.R.V_GBL9026250	p38_MAPK.R.C_GBL9026251	p38_pT180_Y182.R.V_GBL9026252	p53.R.V_GBL9026346	p70S6K.R.V_GBL9026254	p70S6K_pT389.R.V_GBL9026255	p90RSK_pT359_S363.R.C_GBL9026256	PARP_cleaved.M.C_GBL9026317	Paxillin.R.V_GBL9026257	PCNA.M.V_GBL9026318	PDK1_pS241.R.V_GBL9026258	PI3K.p110.alpha.R.C_GBL9026269	PI3K.p85.R.V_GBL9026270	PKC.alpha.M.V_GBL9026319	PKC.alpha_pS657.R.V_GBL9026271	PR.R.V_GBL9026272	PRAS40_pT246.R.V_GBL9026273	PTCH.R.C_GBL9026274	PTEN.R.V_GBL9026275	Rab11.R.V_GBL9026276	Rab25.R.C_GBL9026277	Rad50.M.C_GBL9026320	Rad51.M.C_GBL9026321	Rb.M.V_GBL9026323	Rb_pS807_S811.R.V_GBL9026280	S6_pS235_S236.R.V_GBL9026281	S6_pS240_S244.R.V_GBL9026282	Smac.M.V_GBL9026324	Smad1.R.V_GBL9026283	Smad3.R.V_GBL9026284	Smad4.M.V_GBL9026325	Snail.M.C_GBL9026326	Src.M.V_GBL9026327	Src_pY416.R.C_GBL9026285	Src_pY527.R.V_GBL9026286	STAT3_pY705.R.V_GBL9026287	STAT5.alpha.R.V_GBL9026288	Stathmin.R.V_GBL9026289	Syk.M.V_GBL9026328	Tau.M.C_GBL9026329	TAZ_pS89.R.C_GBL9026290	TFF1.R.V_GBL9026291	TIGAR.R.V_GBL9026292	Tuberin.R.C_GBL9026293	VASP.R.C_GBL9026294	VEGFR2.R.V_GBL9026347	XIAP.R.C_GBL9026296	XRCC1.R.C_GBL9026297	YAP.R.V_GBL9026298	YAP_pS127.R.C_GBL9026299	YB.1.R.V_GBL9026332	YB.1_pS102.R.V_GBL9026333
310_OVCAR4_JQ|5_3_1_JQ1Tr_SD	2	0.160	-0.816	-0.938	-0.028	-0.810	-0.750	-0.079	-0.798	-1.041	-0.102	0.350	-0.318	-0.301	-0.747	0.133	-0.079	0.361	-0.420	0.143	0.086	0.090	0.070	0.037	0.172	0.603	0.638	0.095	0.298	0.325	-0.342	-0.296	-0.421	0.092	0.917	0.083	-0.161	0.160	-0.550	-0.366	-0.419	-0.164	-0.303	-0.479	0.030	1.579	-0.221	-1.027	0.229	-0.577	-0.476	-0.370	0.275	-0.412	-0.395	0.280	0.173	-0.118	0.185	0.255	0.170	0.108	0.117	0.196	-0.019	0.233	0.067	-0.109	0.069	-0.289	-0.747	-0.371	0.140	-0.017	0.192	0.099	0.072	-0.579	-0.234	-0.155	0.132	-0.582	0.325	-0.271	-0.304	0.175	0.069	0.045	-0.949	-0.163	-0.238	-0.233	0.376	-1.096	-0.235	0.835	-0.598	0.200	1.641	0.231	0.116	0.239	-0.502	-0.251	0.151	-0.447	-0.406	-0.019	0.158	-0.612	0.182	0.223	-0.284	-0.365	0.269	0.356	-0.079	-0.516	0.420	-0.307	0.126	0.095	0.145	0.116	-0.054	-1.212	-0.258	-0.101	0.538	0.090	-0.026	0.401	-0.115	-0.185	-0.461	0.512	0.058	-0.577	0.031	-0.472	-0.254	0.133	-0.034	-0.068	-0.458	0.184	-0.070	-0.835	0.054	0.332	-0.843	0.056	0.141
311_OVCAR4_JQ|2.5_3_1_JQ1Tr_SD	3	0.061	-0.654	-0.774	-0.065	-0.598	-0.436	-0.049	-0.500	-0.904	0.073	0.300	-0.229	-0.188	-0.497	0.087	-0.089	0.123	-0.243	0.087	0.112	0.063	0.097	0.183	0.164	0.593	0.521	0.100	0.261	0.223	-0.168	-0.212	-0.326	0.043	0.708	0.042	-0.241	0.128	-0.440	-0.306	-0.375	-0.230	-0.336	-0.371	0.027	1.243	-0.154	-0.715	0.182	-0.691	-0.340	-0.154	0.208	-0.279	-0.186	0.214	0.147	-0.104	0.144	0.117	0.207	0.057	0.037	0.099	0.237	0.279	0.149	-0.098	-0.036	-0.081	-0.652	-0.257	0.189	-0.122	0.054	0.057	-0.140	-0.671	-0.136	-0.066	0.077	-0.308	0.215	-0.447	-0.247	0.076	0.139	0.098	-0.968	-0.214	-0.135	-0.140	0.495	-0.965	-0.100	0.713	-0.643	0.217	1.489	0.140	0.125	0.172	-0.343	-0.260	0.125	-0.290	-0.264	-0.013	0.209	-0.428	0.185	0.283	-0.249	-0.138	0.252	0.367	-0.094	-0.465	0.422	-0.107	0.094	0.013	0.103	0.121	-0.067	-1.084	0.065	0.151	0.411	0.074	-0.031	0.298	-0.152	-0.207	-0.448	0.385	0.022	-0.470	0.059	-0.310	-0.084	0.146	0.003	-0.024	-0.367	0.205	0.219	-0.631	0.054	0.387	-0.719	0.227	0.103
312_OVCAR4_JQ|1.25_3_1_JQ1Tr_SD	4	0.000	-0.699	-0.752	-0.326	-0.679	-0.524	-0.064	-0.525	-0.731	0.114	0.228	-0.207	-0.150	-0.488	0.118	-0.075	0.153	-0.159	0.164	0.105	0.026	0.111	0.103	0.137	0.551	0.737	0.174	0.224	0.046	-0.102	-0.217	-0.219	0.158	0.604	0.103	-0.149	0.249	-0.305	-0.207	-0.270	-0.204	-0.187	-0.342	0.108	0.858	-0.131	-0.610	0.220	-0.699	-0.300	-0.186	0.264	-0.244	-0.209	0.190	0.138	-0.040	0.083	0.327	0.215	0.083	-0.009	0.185	-0.033	0.204	-0.017	-0.129	0.082	-0.272	-0.711	-0.208	0.165	0.018	0.048	0.041	-0.069	-0.388	-0.210	-0.108	0.131	-0.298	0.220	0.071	-0.154	0.133	0.192	0.014	-0.919	-0.243	-0.107	-0.154	0.218	-0.999	-0.247	0.699	-0.506	0.159	1.413	0.147	0.136	0.235	-0.294	-0.152	0.111	-0.186	-0.191	0.033	0.124	-0.375	0.143	0.298	-0.215	-0.199	0.179	0.260	-0.072	-0.436	0.346	-0.189	0.116	0.151	0.091	0.106	-0.110	-0.912	-0.070	-0.058	0.367	0.081	0.012	0.271	-0.143	-0.089	-0.422	0.444	-0.024	-0.563	0.100	-0.437	-0.062	0.119	-0.008	-0.004	-0.409	0.170	0.204	-0.661	0.042	0.268	-0.739	0.132	0.176
333_OVCAR4_JQ|0.63_3_1_JQ1Tr_SD	5	0.071	-0.601	-0.709	0.032	-0.502	-0.490	-0.128	-0.540	-0.845	0.156	0.228	-0.116	-0.056	-0.481	0.059	-0.060	0.244	-0.231	0.077	0.048	0.050	-0.018	0.044	0.094	0.559	0.750	0.124	0.204	0.126	-0.153	-0.238	-0.416	-0.027	0.519	0.065	0.052	0.083	-0.306	-0.260	-0.146	-0.171	-0.192	-0.315	0.032	1.281	-0.165	-0.712	0.181	-0.657	-0.378	-0.202	0.256	-0.228	-0.186	0.219	0.110	-0.036	0.168	0.152	0.241	0.069	0.043	0.144	0.035	0.153	0.020	-0.028	-0.067	-0.096	-0.686	-0.346	0.115	-0.098	0.139	0.134	-0.049	-0.410	-0.116	-0.074	0.066	-0.343	0.240	-0.019	-0.046	0.125	0.199	0.086	-0.946	-0.178	-0.137	-0.096	0.298	-0.916	-0.140	0.725	-0.627	0.171	1.223	0.180	0.101	0.178	-0.277	-0.235	0.138	-0.183	-0.153	-0.032	0.159	-0.372	0.218	0.210	-0.150	-0.315	0.152	0.164	-0.040	-0.426	0.333	-0.195	0.221	0.254	0.129	0.149	-0.074	-0.989	-0.062	0.129	0.380	0.010	-0.116	0.285	-0.073	-0.171	-0.440	0.314	0.051	-0.475	0.046	-0.385	-0.916	0.096	0.032	-0.064	-0.378	0.197	-0.007	-0.643	0.157	0.181	-0.750	0.103	0.111
334_OVCAR4_JQ|0.31_3_1_JQ1Tr_SD	6	0.070	-0.508	-0.574	-0.302	-0.272	-0.399	-0.006	-0.383	-0.846	0.063	0.142	-0.196	-0.212	-0.301	0.098	-0.055	0.237	-0.231	0.020	-0.004	0.007	0.110	-0.082	0.041	0.356	0.527	0.127	0.169	0.162	-0.280	-0.141	-0.364	0.019	0.228	0.119	-0.076	0.040	-0.320	-0.212	-0.177	-0.122	-0.242	-0.296	-0.190	1.106	-0.169	-0.630	0.197	-0.681	-0.333	-0.107	0.079	-0.070	-0.012	0.145	0.013	-0.008	0.135	0.139	0.260	0.093	0.083	0.164	0.075	0.029	-0.098	0.001	0.078	-0.115	-0.485	-0.125	-0.027	-0.048	0.059	0.077	-0.014	-0.431	-0.098	-0.064	0.067	-0.286	0.226	-0.022	0.010	0.118	0.211	0.087	-0.919	-0.201	-0.114	-0.076	0.394	-0.707	-0.359	0.546	-0.650	0.046	0.970	0.219	0.080	0.155	-0.133	-0.087	0.067	-0.103	-0.127	0.038	0.069	-0.239	0.222	0.258	-0.028	-0.193	0.190	0.167	0.023	-0.325	0.282	-0.073	0.188	0.031	0.003	0.102	-0.061	-0.871	-0.138	-0.077	0.321	0.018	-0.049	0.390	-0.056	-0.167	-0.318	0.122	0.027	-0.351	0.048	-0.300	-0.001	0.062	0.133	-0.085	-0.254	0.135	-0.129	-0.440	0.086	0.163	-0.491	0.082	0.084
335_OVCAR4_JQ|0.16_3_1_JQ1Tr_SD	7	0.070	-0.687	-0.803	0.175	-0.826	-0.657	0.055	-0.769	-0.521	-0.035	0.227	-0.392	-0.511	-0.837	0.080	-0.162	0.064	-0.269	0.135	0.064	0.090	0.050	0.232	0.066	0.356	0.549	0.101	0.300	0.214	-0.117	-0.288	-0.389	0.082	0.214	0.088	0.074	0.028	-0.442	-0.254	-0.214	-0.311	-0.279	-0.422	0.197	0.914	-0.258	-0.581	0.218	-0.639	-0.591	-0.315	0.157	-0.454	-0.421	0.235	0.220	-0.016	0.127	0.279	0.240	0.248	0.127	0.127	-0.021	0.215	0.117	-0.032	0.077	-0.335	-0.868	-0.473	0.189	-0.034	0.212	0.148	0.092	-0.422	-0.292	-0.002	0.082	-0.424	0.302	-0.225	-0.507	0.128	0.111	0.126	-0.710	-0.121	-0.213	-0.174	0.285	-1.232	-0.070	0.567	-0.471	0.005	0.735	0.201	0.178	0.163	-0.509	-0.205	0.220	-0.358	-0.324	0.025	0.190	-0.577	0.090	0.125	-0.211	-0.386	0.261	0.354	-0.072	-0.397	0.250	-0.327	0.176	0.076	0.067	0.092	-0.083	-0.808	-0.084	0.036	0.410	0.010	-0.070	0.321	-0.060	-0.100	-0.459	0.111	0.050	-0.540	-0.048	-0.544	-0.372	0.072	-0.011	-0.190	-0.413	0.107	0.033	-0.682	0.241	0.101	-0.763	0.197	-0.006
336_OVCAR4_JQ|0.08_3_1_JQ1Tr_SD	8	0.059	-0.745	-0.799	0.384	-0.839	-0.671	0.000	-0.857	-0.487	-0.010	0.152	-0.415	-0.449	-0.896	0.097	-0.090	0.219	-0.281	0.123	0.132	0.069	0.057	0.177	0.075	0.335	0.525	0.018	0.275	0.007	0.001	-0.315	-0.322	0.137	0.130	0.064	0.192	0.142	-0.343	-0.177	-0.084	-0.205	-0.173	-0.399	0.164	0.687	-0.249	-0.643	0.187	-0.405	-0.525	-0.399	0.152	-0.533	-0.457	0.246	0.243	-0.012	0.046	0.109	0.196	0.156	0.144	0.209	-0.083	0.146	0.104	-0.101	0.084	-0.543	-0.921	-0.480	0.227	-0.056	0.184	0.078	0.169	-0.321	-0.348	0.004	0.087	-0.433	0.307	0.147	-0.424	0.162	0.110	0.058	-0.554	-0.047	-0.215	-0.277	0.236	-1.249	-0.028	0.461	-0.237	0.210	0.483	0.233	0.147	0.279	-0.587	-0.180	0.218	-0.396	-0.346	-0.030	0.032	-0.555	0.073	0.038	-0.263	-0.457	0.101	0.175	0.041	-0.404	0.128	-0.460	0.197	0.204	0.113	0.154	-0.082	-0.634	-0.199	-0.053	0.350	0.037	0.005	0.351	0.016	-0.071	-0.461	0.169	0.195	-0.698	0.035	-0.557	-0.229	0.066	0.053	-0.111	-0.501	0.111	-0.034	-0.587	0.240	0.140	-0.625	0.271	0.013
357_OVCAR4_JQ|0.04_3_1_JQ1Tr_SD	9	0.113	-0.446	-0.590	0.127	-0.441	-0.556	0.045	-0.654	-0.295	-0.054	0.155	-0.250	-0.380	-0.780	0.053	-0.164	0.383	-0.154	0.078	0.039	0.022	-0.030	0.115	0.044	0.339	0.529	-0.005	0.257	0.154	0.001	-0.195	-0.356	0.038	0.195	0.078	0.144	0.113	-0.346	-0.181	-0.168	-0.196	-0.243	-0.282	0.161	0.913	-0.188	-0.518	0.128	-0.244	-0.503	-0.309	0.085	-0.349	-0.304	0.219	0.032	0.151	0.154	0.142	0.211	0.010	0.134	0.100	0.024	0.061	-0.096	-0.047	-0.113	-0.240	-0.774	-0.504	0.132	-0.102	0.160	0.149	0.120	-0.367	-0.191	-0.064	0.074	-0.457	0.294	-0.310	-0.316	0.161	0.107	0.156	-0.608	-0.006	-0.169	-0.135	0.234	-1.053	0.169	0.348	-0.207	0.047	0.331	0.190	0.089	0.125	-0.526	-0.196	0.117	-0.305	-0.306	-0.043	0.097	-0.507	0.195	-0.051	-0.099	-0.376	0.216	0.211	0.022	-0.284	0.137	-0.391	0.234	0.162	0.135	0.199	-0.075	-0.666	-0.135	0.027	0.345	0.092	-0.090	0.318	0.033	-0.114	-0.388	0.039	0.229	-0.446	-0.064	-0.387	-0.178	0.062	0.044	-0.183	-0.276	0.116	-0.163	-0.413	0.281	0.089	-0.413	0.230	-0.067
358_OVCAR4_JQ|0.02_3_1_JQ1Tr_SD	10	0.125	-0.398	-0.493	0.206	-0.354	-0.555	0.049	-0.568	-0.490	-0.001	0.056	-0.258	-0.460	-0.512	0.021	-0.090	0.397	-0.067	0.109	-0.036	0.035	0.004	-0.107	-0.018	0.206	0.404	0.057	0.167	0.208	0.003	-0.244	-0.360	0.003	0.210	0.127	-0.079	0.107	-0.286	-0.168	-0.149	-0.186	-0.236	-0.319	0.179	0.740	-0.179	-0.424	0.159	-0.282	-0.475	-0.243	-0.048	-0.297	-0.176	0.176	-0.045	0.029	0.085	0.170	0.229	0.075	0.114	0.144	-0.009	0.193	0.091	-0.030	0.008	-0.242	-0.495	-0.355	-0.007	-0.019	0.131	0.195	0.080	-0.318	-0.133	-0.036	0.110	-0.242	0.251	-0.146	-0.103	0.136	0.061	0.143	-0.525	0.012	-0.166	-0.105	0.232	-0.844	-0.082	0.201	-0.099	-0.017	0.181	0.220	0.188	0.096	-0.389	-0.120	0.213	-0.234	-0.376	0.005	0.139	-0.458	0.227	-0.096	-0.020	-0.390	0.191	0.217	0.020	-0.255	0.081	-0.326	0.201	0.146	0.174	0.182	-0.027	-0.606	-0.321	-0.200	0.308	0.003	-0.132	0.271	-0.007	-0.161	-0.350	-0.094	0.131	-0.391	0.022	-0.268	-0.540	0.022	0.049	-0.181	-0.291	0.057	-0.455	-0.358	0.256	-0.055	-0.342	0.114	-0.040
359_OVCAR4_JQ|0.01_3_1_JQ1Tr_SD	11	0.032	-0.398	-0.396	0.203	-0.300	-0.341	0.221	-0.398	-0.370	-0.106	0.073	-0.207	-0.478	-0.456	0.034	-0.125	0.227	-0.152	0.017	-0.008	-0.045	-0.058	0.077	-0.031	0.098	0.270	-0.080	0.107	0.211	0.026	-0.041	-0.258	0.047	0.072	0.012	-0.013	-0.060	-0.291	-0.235	-0.201	-0.179	-0.253	-0.243	0.176	0.603	-0.184	-0.118	0.117	-0.152	-0.348	-0.165	-0.136	-0.299	-0.125	0.080	0.030	-0.051	0.077	0.128	0.146	-0.016	0.114	0.041	0.016	0.127	0.040	-0.080	-0.025	-0.177	-0.480	-0.355	0.034	0.002	0.111	0.184	-0.007	-0.387	-0.093	0.009	-0.010	-0.101	0.201	-0.190	-0.194	0.022	0.009	0.140	-0.539	0.011	-0.103	-0.188	0.133	-0.776	0.100	0.088	-0.071	0.094	0.035	0.125	0.080	0.073	-0.365	-0.191	0.190	-0.224	-0.207	-0.031	0.138	-0.282	0.142	-0.077	-0.012	-0.153	0.051	0.038	-0.005	-0.064	0.144	-0.231	0.072	0.050	0.047	0.105	-0.036	-0.222	-0.004	-0.004	0.158	0.026	-0.089	0.244	-0.063	-0.194	-0.381	-0.083	0.075	-0.272	0.013	-0.232	-0.110	0.006	-0.007	-0.185	-0.169	0.026	-0.072	-0.324	0.127	0.073	-0.162	0.237	-0.001
