V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
X14.3.3_epsilon.M.C_GBL9026348	2.7240678714846	-2.84171297278578	2.63884490437013	3.64392397587483	-0.360688009397449	0.208370036246866	-3.86444088790013	1.8405424552073	4.02101332840473	-1.84066761642079	-3.02086844911556	-0.372120379010093	0.207783242721764	4.67999968759448	-1.46859724681868	1.18146685524346	-0.677792671272349	-3.67420748299364	0.236755043224746	-2.15939445327108	4.27053544071604	0.820569125716389	-1.15122002830381	2.22958830643	-1.10452008105396	-3.92893484617434	2.78500976712707	3.20156077347688	-6.69571202391312	1.85918964642911
X4E.BP1.R.V_GBL9026169	11.0020504157942	-2.14582369805257	2.19424409917162	1.6072193922398	-2.16977693252374	3.44409720289487	-7.0064321782896	-0.669794192476778	7.08522554592505	0.76268561252885	0.347989476440849	4.5107175420292	-4.04041277933947	0.87262974540371	2.8753853846894	-3.99749459563519	5.0502631904612	-5.67561952125195	3.32778962921126	1.50013519353049	1.68946034095966	2.49865929749366	12.3665901994645	-1.61091379478808	5.29764479998874	-2.00778201312104	1.62102472153551	2.5354661714116	-0.885451823398029	-5.42775351961188
X4E.BP1_pS65.R.V_GBL9026170	-1.09571753718852	-0.643077269962679	-2.46196335596933	14.3564967657098	18.0820276101146	1.08515079198283	11.0779924298448	-2.32740091049641	-2.71466842123611	-2.59914053431698	-5.10838557479891	-2.73550074346873	6.17607385549099	-1.0479225176338	6.4386536405875	5.15444532942622	11.5234123397988	2.67427101645054	4.93449089138849	1.41782808555379	6.89298941720808	5.87744746183793	-2.88375964742543	-11.0212932476504	5.70349824917303	-6.91812153964242	1.08699095066661	7.50983693916066	-4.94518218922779	-1.98174756801891
X53BP1.R.C_GBL9026171	0.119921830709392	-1.07231708586907	2.73613349998202	-3.18283876402328	-1.23820312235379	0.0330253403793818	-0.492050076703159	-0.924887447571175	4.36274124405933	-4.04748649469311	5.5318014031379	4.00269464404207	5.26616045055045	2.11282584231968	-2.31418708879231	-1.71267771169891	1.52171243663639	-3.06810744205499	-4.80752773711225	2.16643624867032	3.09222466738114	-1.54516318995435	-0.113346900250505	1.99922536936323	4.51327791789959	-1.17548062223843	2.49995878265195	3.26989939747357	-1.93711027194904	2.05684185767867
ACC_pS79.R.V_GBL9026172	1.69158198092729	6.60251495228244	4.22603245256082	-6.76302194128641	2.50335425021685	2.49151117464216	6.59718795914817	-0.0699214888611051	4.40468403967969	11.28340982426	10.2822682148605	-3.81679893708269	4.02768658814973	1.87655960730665	2.14448577399577	2.08406810439872	-4.58518901222204	10.0931086752708	-2.81772961571788	-1.64150932360874	0.259705332997134	6.97788537882414	-0.307928017015224	0.972459626579326	2.01818139238824	-0.909712832330869	-2.01445086574879	-1.07424532098556	1.80650497261889	1.16347211485233
ACC1.R.C_GBL9026173	4.23057045877122	2.43932338810897	-0.248731348739155	-2.2355258403684	-2.00701373500608	-0.267657360482723	9.55236385902582	2.72579443634047	3.94415961492917	6.49192488932049	8.19315071580627	4.89964227364935	6.42382017198395	10.9111525711427	-2.92814185551887	-3.44777734622383	-2.00779601177682	5.2635633317218	-3.14108121622578	2.14430731110739	6.32298177994074	-2.78242627172674	-3.74560056241556	4.33539610145351	2.09038756063353	0.0658480846501772	4.03739922486688	-3.3553717052153	2.84818169277283	-0.491210071926872
AIB1.M.V_GBL9026302	-2.33436573434155	8.14169845830522	2.81515482094187	0.173996656554105	3.01177129950401	-8.96845287230021	-0.655468158580049	5.2574851034209	0.905511597149533	0.0149791466564687	2.41643085056524	0.146292692353591	-2.94961011762868	-1.95359897305171	-3.33246410685539	-0.107880489836469	6.0329876092569	1.15845779024798	1.15374379217777	0.183963004531056	1.22424499663382	1.05576612296123	-7.79828680517648	-4.02902150557725	2.88314952278318	2.07403545702497	-3.72432232179373	5.57898207605743	2.24596892139562	1.53460090242102
Akt.R.V_GBL9026174	2.95785878083359	-0.0936882267748043	2.8176275217716	12.2807817390862	3.38541406948749	4.34145266666134	3.30840159730509	-7.43106129080351	-5.69769559447878	-1.95947311392975	5.10440083217431	-2.65498274448732	1.58044336633879	-2.33116951123568	8.11778866132518	-1.45915654358613	3.20966928298455	5.42536660730851	-2.03906804532092	4.30652201437984	2.85598402779942	2.07262511598541	-4.30297263174628	1.09990407949597	7.37892226839705	3.20051816798501	-1.58748059837821	1.75761893781247	6.29113833911969	0.489185209617259
Akt_pS473.R.V_GBL9026175	13.3722480400797	6.61607302208354	10.6248099404676	13.7940091065788	-10.3304637382045	19.074147167775	1.94845207211156	-2.51654066543387	10.4276704180527	1.10196150440751	7.89852541401633	-0.144043374594188	-13.8442250489839	-0.876631928315738	22.238805382412	-2.96374469178746	10.0048139424066	-4.69942497489808	-2.70483034191239	14.6741523107468	14.8588999952593	8.56344179937026	19.4848635613767	-11.1764323731689	9.85523456520254	-9.5317999663139	-5.34705243209873	15.5871465018833	-10.3092699629033	10.1574022671779
Akt_pT308.R.V_GBL9026176	11.649964962266	6.48083992885199	9.74427819680647	9.16343484766217	-7.83660818992841	10.5163518938019	6.66033655626708	-3.39218223046363	2.92521106552528	1.23780565386442	4.59349710126908	9.15805813740497	-15.8696362226992	8.52903296191697	20.0040083556096	-5.10068457064546	2.21408585145041	-7.90888602276808	-4.60770979205341	8.01415769946253	17.7112471260145	12.4803274261486	19.584833756084	-10.0846550175514	10.5701153291923	-10.1379615584142	2.45479720980855	14.1138603137362	-9.86378428127572	8.70480860952575
