V1 V2 V3 V4
X14.3.3.beta.R.V_GBL1033882 0 0 0 0
X14.3.3.epsilon.M.C_GBL1033928 0 0 0 0
X14.3.3.zeta.R.V_GBL1033883 0 0 0 0
X4E.BP1.R.V_GBL1033914 0 0 0 0
X4E.BP1_pS65.R.V_GBL1033671 0 0 0 0
X4E.BP1_pT37_T46.R.V_GBL1033672 0 0 0 0
X53BP1.R.V_GBL1033787 0 0 0 0
A.Raf.R.V_GBL1033858 1 0 0 1
ACC_pS79.R.V_GBL1033673 0 0 0 0
ACC1.R.E_GBL1033674 0 0 0 0
ACVRL1.R.C_GBL1033834 0 0 0 0
ADAR1.M.V_GBL1033909 0 0 0 0
Akt.R.V_GBL1033833 1 1 0 0
Akt_pS473.R.V_GBL1033793 -1 -1 -1 -1
Akt_pT308.R.V_GBL1033851 -1 -1 -1 -1
AMPK.alpha.R.C_GBL1033675 0 0 0 0
AMPK.alpha_pT172.R.V_GBL1033676 0 0 0 0
Annexin.I.M.V_GBL1033912 0 0 0 0
Annexin.VII.M.V_GBL1033907 0 0 0 0
AR.R.V_GBL1033738 0 0 0 0
ARHI.M.C_GBL1033929 0 0 0 0
ATM.R.V_GBL1033874 0 0 0 0
ATM_pS1981.R.V_GBL1033875 0 0 0 0
ATP5H.M.C_GBL1033913 0 0 0 0
ATR.R.C_GBL1033779 0 0 0 0
b.Catenin.R.V_GBL1033680 0 0 0 0
b.Catenin_pT41_S45.R.V_GBL1033855 0 0 0 0
B.Raf.M.C_GBL1033932 0 0 0 0
B.Raf_pS445.R.V_GBL1033685 0 0 0 0
Bad_pS112.R.V_GBL1033677 -1 -1 -1 -1
Bak.R.C_GBL1033678 0 0 0 0
BAP1.M.V_GBL1033930 0 0 0 0
Bax.R.V_GBL1033679 0 0 0 0
Bcl.xL.R.V_GBL1033682 0 0 0 0
Bcl2.M.V_GBL1033931 0 0 0 0
Beclin.G.C_GBL1033953 0 0 0 0
Bid.R.C_GBL1033683 0 0 0 0
Bim.R.V_GBL1033684 0 0 0 0
BRCA2.R.C_GBL1033740 0 0 0 0
c.Jun_pS73.R.V_GBL1033689 0 0 0 0
c.Kit.R.V_GBL1033690 0 0 0 0
c.Met.M.QC_GBL1033899 0 0 0 0
