ID include change FDRp
4E-BP1_pT37_T46 0 -5 0.25
Akt_pS473 0 -5 0.25
Akt_pT308 0 -5 0.25
AMPK-alpha 0 -5 0.25
AMPK-alpha_pT172 0 -5 0.25
Annexin-I 0 -5 0.25
AR 0 -5 0.25
ARHI 0 -5 0.25
b-Catenin_pT41_S45 0 -5 0.25
B-Raf 0 -5 0.25
B-Raf_pS445 0 -5 0.25
Bad_pS112 0 -5 0.25
Bcl-xL 0 -5 0.25
c-Met_pY1234_Y1235 0 -5 0.25
c-Myc 0 -5 0.25
C-Raf_pS338 0 -5 0.25
Caspase-8 0 -5 0.25
Cyclin-D1 0 -5 0.25
Cyclin-E1 0 -5 0.25
EGFR_pY1068 0 -5 0.25
EGFR_pY1173 0 -5 0.25
eIF4G 0 -5 0.25
ER-alpha 0 -5 0.25
ER-alpha_pS118 0 -5 0.25
FAK_pY397 0 -5 0.25
FoxM1 0 -5 0.25
GSK-3ab_pS21_S9 0 -5 0.25
Gys_pS641 0 -5 0.25
HER3_pY1289 0 -5 0.25
IGF1R-beta 0 -5 0.25
IRS1 0 -5 0.25
JNK_pT183_Y185 0 -5 0.25
MAPK_pT202_Y204 0 -5 0.25
MSH2 0 -5 0.25
p27_pT157 0 -5 0.25
PI3K-p110-alpha 0 -5 0.25
PKC-beta-II_pS660 0 -5 0.25
Porin 0 -5 0.25
Raptor 0 -5 0.25
Rb_pS807_S811 0 -5 0.25
S6_pS235_S236 0 -5 0.25
Shc_pY317 0 -5 0.25
Src 0 -5 0.25
Src_pY416 0 -5 0.25
Stat3_pY705 0 -5 0.25
Stathmin-1 0 -5 0.25
Tuberin 0 -5 0.25
Tyro3 0 -5 0.25
YB1 0 -5 0.25
