V1 V2 V3 V4
14-3-3-beta 0 0 0 1
14-3-3-epsilon 0 0 0 0
14-3-3-zeta 0 0 0 0
4E-BP1 0 0 0 0
4E-BP1_pS65 0 0 0 0
4E-BP1_pT37_T46 0 0 0 0
53BP1 0 0 0 0
A-Raf 0 1 0 1
ACC_pS79 0 0 0 0
ACC1 0 0 0 0
ACVRL1 0 0 0 0
ADAR1 0 0 0 0
Akt 0 0 0 0
Akt_pS473 0 0 0 1
Akt_pT308 0 0 0 1
AMPK-alpha 0 0 0 0
AMPK-alpha_pT172 0 0 0 0
Annexin-I 0 0 0 0
Annexin-VII 0 0 0 0
AR 0 0 0 0
ARHI 0 0 0 0
ATM 0 0 0 0
ATM_pS1981 0 0 0 0
ATP5H 0 0 0 0
ATR 0 0 0 0
b-Catenin 0 0 0 0
b-Catenin_pT41_S45 0 0 0 1
B-Raf 0 0 0 0
B-Raf_pS445 0 0 0 0
Bad_pS112 0 0 0 0
Bak 0 0 0 0
BAP1 0 0 0 0
Bax 0 0 0 0
Bcl-xL 0 0 0 0
Bcl2 0 1 0 0
Beclin 0 0 0 0
Bid 0 0 0 0
Bim 0 0 0 0
BRCA2 0 0 0 0
c-Jun_pS73 0 0 0 0
c-Kit 0 0 0 0
c-Met 0 0 0 0
c-Met_pY1234_Y1235 0 0 0 0
c-Myc 0 0 0 -1
C-Raf 0 0 0 0
C-Raf_pS338 0 0 0 0
Caspase-7-cleaved 0 1 1 1
Caspase-8 0 0 0 0
Caveolin-1 0 0 0 -1
CD29 0 0 0 0
CD31 0 0 0 0
CD49b 0 0 0 0
CDK1 0 -1 0 -1
Chk1 0 0 0 0
Chk1_pS345 0 0 0 0
Chk2 0 0 0 0
Chk2_pT68 0 0 0 0
Claudin-7 0 0 0 0
Collagen-VI 0 0 0 0
Complex-II-Subunit 0 0 0 0
Cox-IV 0 0 0 0
Cox2 0 -1 0 0
Cyclin-B1 0 0 0 0
Cyclin-D1 0 0 0 0
Cyclin-E1 0 0 0 0
Cyclophilin-F 0 -1 -1 -1
DJ1 0 0 0 0
Dvl3 0 0 0 0
E-Cadherin 0 0 0 0
E2F1 0 0 0 0
eEF2 0 0 0 0
eEF2K 0 0 0 0
EGFR 0 0 0 0
EGFR_pY1068 0 0 0 0
EGFR_pY1173 0 0 0 0
eIF4E 0 0 0 0
eIF4G 0 0 0 0
ER-alpha 0 0 0 0
ER-alpha_pS118 0 0 0 0
ERCC1 0 0 0 0
Ets-1 0 0 0 0
FAK 0 0 0 0
FAK_pY397 0 0 0 1
FASN 0 1 0 0
Fibronectin 0 0 0 0
FoxM1 0 0 0 0
FoxO3a 0 0 0 0
FoxO3a_pS318_S321 0 0 0 0
G6PD 0 1 1 1
Gab2 0 0 0 0
