"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30"
"1" -0.82 -0.22 0.27 -0.772 -0.634 0.102 -0.254 0.119 -0.347 -0.378 -0.752 -0.683 0.119 -0.263 -0.547 0.104 -0.03 -0.34 -0.588 0.326 -0.232 -0.361 -0.363 -0.408 -0.415 -0.035 0.405 -0.191 -0.03 -0.772
"2" 0.887 0.745 0.946 0.307 1.073 1.068 1.12 0.147 0.705 1.285 0.401 0.578 1.129 0.2 0.794 0.238 0.331 0.849 0.936 1.634 0.625 0.39 0.742 0.306 0.594 1.593 0.593 1.104 0.995 0.621
"3" -0.08 -0.14 0.116 -0.076 0.146 -0.232 0.056 0.088 -0.128 -0.452 -0.304 -0.106 -0.092 -0.038 0.042 -0.192 0.088 0.09 -0.016 -0.268 0.18 -0.19 -0.018 -0.08 -0.05 0.086 -0.068 -0.086 -0.036 -0.038
"4" -0.627 -0.511 -1.027 -1.649 -1.847 -1.513 -0.625 -1.291 -1.151 -1.707 -0.325 -0.599 -0.511 -0.383 -0.111 -0.887 -1.023 -0.689 -1.317 -2.319 -1.661 -1.571 -1.145 -1.923 -1.419 -1.661 -1.513 -1.513 -1.099 -0.689
"5" 0.412 0.632 -0.046 -0.122 -0.136 -0.164 -0.02 0.35 0.08 -0.076 0.052 0.514 -0.012 0.74 -0.268 0.08 0.412 0.00800000000000002 0.064 0.066 -0.324 0.632 0.206 0.51 0.446 0.068 0.198 0.452 0.066 0.31
"6" 0.46 0.748 0.522 1.054 0.736 0.522 1.234 0.084 0.898 -0.09 -0.048 0.332 0.026 -0.09 0.412 -0.348 0.332 0.696 0.292 0.484 0.75 0.052 -0.48 0.846 1.22 0.764 0.608 -0.434 0.038 0.498
"7" 0.557 0.531 -0.063 0.093 0.531 0.071 -0.199 -0.229 0.215 -0.051 -0.215 0.101 0.245 -0.00300000000000001 0.385 -0.185 0.809 0.201 0.545 0.401 0.543 0.649 0.071 -0.041 0.471 0.315 0.423 0.479 0.245 0.385
"8" 1.435 0.863 2.311 0.349 1.973 1.637 0.017 0.863 1.483 1.637 0.281 0.0710000000000001 1.949 1.787 1.145 1.245 1.083 1.131 2.545 1.523 0.569 1.109 1.483 1.145 0.471 1.273 1.083 1.695 2.545 1.273
"9" -0.363 0.097 -0.271 -0.629 -0.583 -0.295 -0.721 -0.605 -0.217 -0.163 -0.367 -0.425 -0.307 -0.329 -0.261 -0.599 -0.929 -0.571 -0.605 -0.163 -0.363 -0.623 -0.261 -0.405 0.047 -0.919 -0.405 -0.591 -0.187 0.099
"10" -0.617 0.167 -0.231 -0.267 -0.153 0.027 -0.231 -0.679 -0.709 -0.329 -0.587 -0.833 -0.653 -0.137 -0.671 -0.313 -0.267 -0.323 -0.153 -0.077 -0.633 -0.283 -0.043 -0.633 -0.237 -0.179 -0.577 -0.483 -0.587 0.037
"11" 0.239 0.367 0.219 0.241 0.341 0.389 0.429 0.401 0.077 0.193 0.339 0.281 0.373 0.411 0.345 0.241 0.073 0.241 0.599 0.429 0.367 0.619 0.577 0.073 0.221 0.035 0.219 0.509 0.247 0.411
"12" 0.325 0.831 0.029 1.045 0.401 0.263 1.287 1.053 -0.051 0.973 0.991 0.755 0.915 0.731 0.961 0.025 0.513 0.401 0.717 0.271 0.943 0.961 0.483 0.735 0.785 -0.047 0.379 0.585 0.755 0.375
"13" -0.099 -0.437 0.000999999999999945 -0.427 0.549 0.331 0.705 0.887 0.237 0.843 0.693 -0.143 0.291 0.469 -0.209 0.441 0.331 0.149 -0.449 -0.255 -0.015 0.549 0.441 0.541 1.021 0.799 1.389 1.065 0.899 -0.327
"14" 1.322 1.752 1.32 1.088 0.63 0.868 1.584 1.578 0.836 1.686 0.946 0.874 1.224 1.078 0.18 1.396 1.004 1.402 1.622 0.708 0.598 1.5 1.088 1.592 0.198 1.088 0.476 0.63 2.034 0.562
"15" -0.023 -0.175 -0.127 0.113 0.035 -0.227 0.063 -0.145 -0.099 0.051 0.051 -0.009 0.007 -0.193 -0.177 -0.031 -0.163 0.037 -0.055 0.025 -0.039 -0.103 -0.043 0.00499999999999999 -0.00899999999999999 -0.027 -0.095 -0.163 0.025 -0.091
"16" -0.073 -0.341 -0.333 0.059 0.013 -0.073 -0.073 -0.247 -0.073 0.039 0.017 -0.087 -0.093 -0.153 0.017 -0.093 -0.311 -0.121 -0.095 -0.227 -0.121 -0.041 -0.041 -0.121 -0.163 -0.121 -0.067 -0.121 -0.333 0.085
"17" -0.119 -0.355 0.129 0.105 0.051 -0.101 -0.031 0.417 -0.031 0.047 -0.185 0.231 -0.285 0.061 0.027 0.135 0.179 0.293 -0.013 0.225 -0.049 0.501 -0.065 -0.209 -0.303 -0.109 0.269 0.291 0.225 0.117
"18" 0.277 -0.125 0.089 -0.035 0.413 0.259 0.027 -0.335 -0.519 -0.185 0.277 0.147 0.583 0.403 0.00900000000000001 0.167 0.229 0.393 0.291 -0.095 0.399 0.337 -0.163 -0.275 -0.000999999999999987 0.347 0.197 -0.267 0.067 -0.519
"19" -0.176 -0.24 -0.49 -0.368 -0.188 -0.274 -0.36 -0.516 -0.364 -0.106 -0.396 -0.474 -0.476 -0.494 -0.526 -0.618 -0.364 -0.316 -0.34 -0.364 -0.33 -0.396 -0.312 -0.488 -0.618 -0.364 -0.616 -0.196 -0.518 -0.512
"20" -0.217 -0.207 -0.191 -0.013 -0.087 -0.075 -0.265 -0.287 -0.275 -0.123 -0.123 -0.057 -0.345 -0.201 -0.173 -0.363 -0.207 -0.157 -0.027 -0.299 -0.405 -0.207 -0.355 -0.097 -0.073 -0.045 -0.321 -0.395 -0.241 -0.141
"21" -0.216 -0.156 -0.13 0.054 -0.238 -0.268 -0.298 -0.206 -0.13 -0.114 -0.042 -0.02 -0.12 -0.106 0.124 -0.33 -0.082 -0.288 -0.124 0.05 -0.072 -0.082 -0.29 -0.032 -0.162 -0.164 -0.27 -0.226 -0.082 -0.216
"22" 0.091 -0.467 0.335 -0.233 0.201 0.061 -0.093 0.217 0.149 -0.379 0.239 -0.561 0.143 0.143 0.113 -0.135 -0.561 0.091 -0.055 0.033 0.075 -0.047 -0.173 -0.547 0.195 -0.429 0.151 -0.093 0.061 -0.599
"23" -0.929 -0.637 -0.395 -0.277 -0.711 -0.369 -1.007 -0.335 -0.711 -0.243 -0.431 0.00299999999999998 -0.661 -0.103 -0.777 -0.741 -0.337 -0.757 -0.103 -0.975 0.221 -1.321 -0.163 -0.443 -0.651 -1.101 -0.779 -0.715 -0.929 -0.975
"24" -0.115 0.063 -0.157 -0.093 -0.035 -0.171 -0.003 -0.165 -0.075 -0.293 -0.115 -0.083 -0.065 -0.077 -0.083 -0.125 -0.091 0.063 0.061 -0.199 0.005 0.045 -0.205 -0.229 -0.077 -0.075 -0.255 0.127 0.063 0.063
"25" 1.054 1.33 1.206 1.23 2.152 1.03 0.618 0.746 1.338 1.32 1.606 1.282 0.142 1.624 0.812 0.46 0.326 0.92 1.416 1.054 0.954 0.584 1.514 0.142 1.59 0.792 1.538 0.954 1.59 1.514
"26" 0.032 -0.806 -0.808 -0.44 -0.658 -0.808 -0.592 -0.812 -0.878 -0.29 -0.528 -0.636 -0.272 -0.288 -0.838 -0.29 -0.728 -0.636 -0.442 -0.664 -0.548 -0.616 -0.936 -0.272 -0.616 -1.03 -0.208 -0.24 -0.244 -1.004
"27" 0.187 0.243 0.343 0.249 0.461 0.209 0.275 0.187 0.379 0.241 0.115 0.129 -0.019 0.445 0.227 0.129 0.241 0.339 0.315 0.443 0.427 0.151 0.097 0.117 0.151 0.155 0.533 0.241 0.347 0.341
"28" -0.119 -0.347 -0.259 -0.363 -0.177 -0.271 -0.367 -0.233 -0.503 -0.125 -0.395 -0.227 -0.213 -0.319 -0.253 -0.455 -0.227 -0.185 -0.313 -0.319 -0.227 -0.287 -0.477 -0.403 -0.185 -0.319 -0.285 -0.303 -0.385 -0.479
"29" 0.839 0.153 -0.105 0.083 0.369 0.417 0.817 1.291 0.615 1.291 0.495 0.273 0.417 1.443 1.227 1.055 0.343 0.357 0.507 0.495 0.369 -0.163 0.235 0.675 0.723 0.899 -0.399 0.403 0.235 -0.399
"30" -0.85 -0.486 -0.586 -1.244 -0.566 -0.724 -0.368 -0.766 -0.968 -1.244 -1.09 -0.848 -0.816 -0.658 -0.792 -1.04 -0.862 -0.786 -0.33 -0.85 -0.562 -1.188 -1.146 -1.09 -0.6 -0.782 -0.404 -0.962 -0.948 -0.692
"31" 0.044 -0.102 -0.23 0.032 -0.198 0.45 0.044 -0.058 -0.486 0.322 -0.098 0.328 -0.186 -0.222 0.186 0.168 -0.058 0.068 0.064 -0.32 -0.056 -0.078 0.068 0.186 -0.496 0.066 -0.098 0.056 -0.206 -0.224
"32" -0.378 -0.00999999999999999 0.434 -0.102 -0.16 -0.176 0.116 -0.05 -0.196 0.206 0.266 0.368 -0.138 0.116 -0.016 0.024 0.14 -0.148 -0.01 -0.378 0.022 -0.042 -0.022 -0.22 0.16 -0.07 0.124 0.14 0.232 0.242
"33" -0.029 -0.147 -0.00900000000000003 -0.00900000000000003 -0.209 -0.235 -0.209 -0.437 -0.367 -0.571 -0.451 -0.487 -0.417 -0.263 -0.233 0.143 -0.333 -0.537 -0.279 -0.607 -0.095 -0.095 -0.149 -0.109 0.095 -0.179 -0.00900000000000003 -0.097 -0.249 -0.147
"34" 1.986 1.182 0.49 1.654 0.546 0.366 0.774 2.008 1.852 1.124 0.466 0.366 2.282 1.6 -0.03 2.812 1.6 1.928 0.928 1.478 1.678 0.796 -0.238 1.398 0.968 2.812 0.544 1.42 1.706 0.874
"35" -0.041 -0.015 0.103 -0.193 -0.227 -0.239 0.109 0.155 0.011 0.023 0.021 -0.113 0.119 0.065 -0.283 -0.231 0.093 0.213 0.109 0.043 -0.115 0.053 -0.227 -0.117 0.041 0.053 0.113 -0.149 -0.165 -0.053
"36" -2.636 -3.056 -2.774 -2.426 -2.386 -3.194 -3.83 -1.992 -2.176 -3.398 -2.826 -1.554 -3.258 -2.176 -2.958 -2.826 -3.396 -3.46 -4.02 -2.992 -2.462 -2.35 -3.02 -3.104 -2.488 -2.958 -3.368 -3.928 -3.23 -2.762
"37" -0.325 -0.253 -0.291 -0.303 -0.423 -0.241 -0.369 -0.477 -0.147 -0.405 -0.177 -0.099 -0.487 -0.089 -0.099 -0.099 -0.271 -0.151 -0.243 -0.057 -0.455 -0.219 -0.067 -0.057 0.095 0.011 -0.525 -0.473 -0.351 -0.279
"38" 0.056 0.108 -0.012 0.2 0.38 0.15 0.066 0.13 0.246 -0.054 0.048 0.29 0.108 0.118 0.166 0.056 0.14 0.006 0.074 0.116 0.348 0.054 -0.054 0.19 0.108 0.19 0.182 0.182 0.314 0.056
