Sample Image	Exp. Time	Gray Filter	Emission Filter	Reference Image	BG Subtr.	Sample#	Sample Name	Analyte	Ref.	Type	Buffer	Dilution	RFI	RFI CV	Used Conc.	#Bad Spots	#Dis. Spots	b Norm.	db	R2	ShapiroWilk	Red. Chi2	Class.	Chip	Ident.	Conc.
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	1	1_Mel-118_DMSO_1_A	Akt	ndef	rabbit IgG	CAB1	-1	13.9296042	0.195260185	All	2	0	0.751564594	-0.141717469	0.686036459	0.784668456	23.17293997	Poor	#001	S00001	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	2	2_Mel-118_901_1_A	Akt	ndef	rabbit IgG	CAB1	-1	11.11829345	0.061210648	All	2	0	0.789630155	-0.129724399	0.967394751	0.278909007	1.83325216	Poor	#001	S00002	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	3	3_Mel-118_4032_1_A	Akt	ndef	rabbit IgG	CAB1	-1	10.24704237	0.047734571	All	2	0	0.729565782	-0.091055663	0.976476813	0.08392209	1.050766463	Poor	#001	S00003	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	4	4_Mel-118_combo_1_A	Akt	ndef	rabbit IgG	CAB1	-1	17.45988953	0.173315404	All	1	0	0.713443252	-0.024773528	0.724972676	0.13281658	22.06590897	Poor	#001	S00004	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	5	5_Mel-118_DMSO_6_A	Akt	ndef	rabbit IgG	CAB1	-1	16.22487397	0.174285064	All	1	0	0.568442725	-0.122034098	0.622269324	0.201454227	30.19430215	Poor	#001	S00005	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	6	6_Mel-118_901_6_A	Akt	ndef	rabbit IgG	CAB1	-1	12.83937155	0.153369607	All	2	0	0.772815505	-0.016780864	0.7887736	0.264574112	31.65991882	Poor	#001	S00006	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	7	7_Mel-118_4032_6_A	Akt	ndef	rabbit IgG	CAB1	-1	17.05959569	0.154663666	All	1	0	0.578306965	-0.058434061	0.68102556	0.253450637	31.72433512	Poor	#001	S00007	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	8	8_Mel-118_combo_6_A	Akt	ndef	rabbit IgG	CAB1	-1	15.39412212	0.116728352	All	0	0	1.016379414	0.430139724	0.917039541	0.874234854	26.02741446	Good	#001	S00008	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	9	9_Mel-118_DMSO_24_A	Akt	ndef	rabbit IgG	CAB1	-1	14.96918508	0.166735575	All	1	0	0.616729188	-0.067307227	0.677735986	0.216605211	39.73158814	Poor	#001	S00009	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	10	10_Mel-118_901_24_A	Akt	ndef	rabbit IgG	CAB1	-1	17.06969998	0.063793829	All	1	0	1.216653293	0.689671805	0.980937196	0.547132544	5.027506438	Good	#001	S00010	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	11	11_Mel-118_4032_24_A	Akt	ndef	rabbit IgG	CAB1	-1	17.05898622	0.147220907	All	0	0	0.740095147	-0.0140554	0.775670872	0.30222842	52.25365137	Poor	#001	S00011	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	12	12_Mel-118_combo_24_A	Akt	ndef	rabbit IgG	CAB1	-1	12.35444474	0.151970304	All	1	0	0.838568596	0.10245223	0.823338698	0.172049788	34.10087665	Undet.	#001	S00012	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	13	13_Mel-118_DMSO_1_B	Akt	ndef	rabbit IgG	CAB1	-1	16.89590989	0.135497819	All	0	0	0.659113336	-0.032812112	0.754322552	0.345806986	42.95990352	Poor	#001	S00013	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	14	14_Mel-118_901_1_B	Akt	ndef	rabbit IgG	CAB1	-1	16.95125374	0.126324847	All	0	0	0.722046243	0.081181303	0.80777541	0.293489001	45.13471442	Poor	#001	S00014	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	15	15_Mel-118_4032_1_B	Akt	ndef	rabbit IgG	CAB1	-1	17.01366085	0.118736346	All	0	0	0.718427797	0.117565924	0.823987215	0.107344532	39.62707096	Undet.	#001	S00015	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	16	16_Mel-118_combo_1_B	Akt	ndef	rabbit IgG	CAB1	-1	20.3957599	0.12502745	All	0	0	0.578864195	-0.041287003	0.726790332	0.229660462	31.19826009	Poor	#001	S00016	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	17	17_Mel-118_DMSO_6_B	Akt	ndef	rabbit IgG	CAB1	-1	17.05352878	0.12213868	All	0	0	0.791438259	0.167213242	0.847005252	0.462938351	27.69155151	Undet.	#001	S00017	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	18	18_Mel-118_901_6_B	Akt	ndef	rabbit IgG	CAB1	-1	16.18580362	0.147001235	All	0	0	0.900724697	0.134992556	0.836806101	0.551926978	37.30971214	Undet.	#001	S00018	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	19	19_Mel-118_4032_6_B	Akt	ndef	rabbit IgG	CAB1	-1	22.10747547	0.144350383	All	1	0	0.939402355	0.23729961	0.864536311	0.197885259	15.90650269	Undet.	#001	S00019	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	20	20_Mel-118_combo_6_B	Akt	ndef	rabbit IgG	CAB1	-1	16.29091088	0.124478638	All	0	0	0.829594067	0.18985717	0.85894162	0.231996054	20.43942755	Undet.	#001	S00020	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	21	21_Mel-118_DMSO_24_B	Akt	ndef	rabbit IgG	CAB1	-1	19.58463422	0.116812045	All	0	0	0.667489795	0.083252	0.807003882	0.407484715	18.43209401	Poor	#001	S00021	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	22	22_Mel-118_901_24_B	Akt	ndef	rabbit IgG	CAB1	-1	15.60954938	0.051226765	All	1	0	1.213064125	0.789828176	0.988396274	0.705268835	1.594026435	Good	#001	S00022	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	23	23_Mel-118_4032_24_B	Akt	ndef	rabbit IgG	CAB1	-1	17.64381881	0.118464666	All	0	0	0.622160722	0.032839805	0.780358405	0.165518833	17.76838802	Poor	#001	S00023	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	24	24_Mel-118_combo_24_B	Akt	ndef	rabbit IgG	CAB1	-1	16.10423427	0.11591872	All	0	0	0.921048014	0.296617591	0.898713952	0.481693509	15.61880874	Undet.	#001	S00024	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	25	25_Mel-118_DMSO_1_C	Akt	ndef	rabbit IgG	CAB1	-1	19.11957213	0.152205347	All	0	0	0.604026417	-0.143177601	0.674797993	0.372308965	34.39518175	Poor	#001	S00025	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	26	26_Mel-118_901_1_C	Akt	ndef	rabbit IgG	CAB1	-1	17.03536423	0.143412884	All	0	0	0.760409309	0.027211557	0.786804037	0.505980397	33.26960309	Poor	#001	S00026	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	27	27_Mel-118_4032_1_C	Akt	ndef	rabbit IgG	CAB1	-1	19.69122317	0.138149782	All	0	0	0.711853727	0.031324801	0.776252111	0.398497209	31.5574833	Poor	#001	S00027	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	28	28_Mel-118_combo_1_C	Akt	ndef	rabbit IgG	CAB1	-1	20.34334155	0.147261972	All	0	0	0.618937041	-0.112011391	0.694395572	0.349433475	60.92572428	Poor	#001	S00028	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	29	29_Mel-118_901_24_C	Akt	ndef	rabbit IgG	CAB1	-1	13.06284062	0.083706576	All	0	0	1.021600724	0.488768636	0.953995446	0.634942238	16.03927016	Good	#001	S00029	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	30	30_Mel-118_4032_24_C	Akt	ndef	rabbit IgG	CAB1	-1	19.40201054	0.151221598	All	0	0	0.586580217	-0.130275063	0.648275456	0.318748242	71.34548572	Poor	#001	S00030	1
SMSKC101N0000_01_A_3.tif	1	1	Red	SMSKC101N0000_01_A_3.tif	TRUE	31	31_Mel-118_combo_24_C	Akt	ndef	rabbit IgG	CAB1	-1	16.84440689	0.136357832	All	0	0	0.831763317	0.134544701	0.835222705	0.399847811	46.9846641	Undet.	#001	S00031	1
