sampleNumber	sampleNameNumber	sampleName	treatment	time	replicate	antibody	readout	cv	quality
1	S001	A2058 	DMSO	1hr	rep1	4E-BP1 (phospho-Ser65)	1.730902666	0.044110226	Good
2	S002	A2058 	901	1hr	rep1	4E-BP1 (phospho-Ser65)	1.428652378	0.031525581	Good
3	S003	A2058 	4032	1hr	rep1	4E-BP1 (phospho-Ser65)	1.860711968	0.026433898	Good
4	S004	A2058 	combo	1hr	rep1	4E-BP1 (phospho-Ser65)	1.634063894	0.04163441	Undet.
5	S005	A2058 	DMSO	3.5hr	rep1	4E-BP1 (phospho-Ser65)	1.451263196	0.029505109	Good
6	S006	A2058 	901	6hr	rep1	4E-BP1 (phospho-Ser65)	1.397946521	0.035610599	Good
7	S007	A2058 	4032	6hr	rep1	4E-BP1 (phospho-Ser65)	1.224402731	0.057114947	Good
8	S008	A2058 	combo	6hr	rep1	4E-BP1 (phospho-Ser65)	0.921984842	0.045023241	Good
9	S009	A2058 	DMSO	24hr	rep1	4E-BP1 (phospho-Ser65)	1.509160841	0.083202675	Undet.
10	S010	A2058 	901	24hr	rep1	4E-BP1 (phospho-Ser65)	1.339575894	0.047230375	Good
11	S011	A2058 	4032	24hr	rep1	4E-BP1 (phospho-Ser65)	1.297667959	0.04489297	Good
12	S012	A2058 	combo	24hr	rep1	4E-BP1 (phospho-Ser65)	1.3682498	0.086004502	Good
13	S013	A2058 	DMSO	1hr	rep2	4E-BP1 (phospho-Ser65)	1.693321521	0.035594113	Good
14	S014	A2058 	901	1hr	rep2	4E-BP1 (phospho-Ser65)	1.404322079	0.022397583	Good
15	S015	A2058 	4032	1hr	rep2	4E-BP1 (phospho-Ser65)	1.675751684	0.023175258	Good
16	S016	A2058 	combo	1hr	rep2	4E-BP1 (phospho-Ser65)	1.931821362	0.041431646	Good
17	S017	A2058 	DMSO	3.5hr	rep2	4E-BP1 (phospho-Ser65)	2.191613385	0.02939431	Good
18	S018	A2058 	901	6hr	rep2	4E-BP1 (phospho-Ser65)	1.918802538	0.024713053	Undet.
19	S019	A2058 	4032	6hr	rep2	4E-BP1 (phospho-Ser65)	1.859929648	0.043362161	Good
20	S020	A2058 	combo	6hr	rep2	4E-BP1 (phospho-Ser65)	1.687185567	0.027267723	Good
21	S021	A2058 	DMSO	24hr	rep2	4E-BP1 (phospho-Ser65)	1.271358675	0.045703312	Good
22	S022	A2058 	901	24hr	rep2	4E-BP1 (phospho-Ser65)	1.401653704	0.028464111	Good
23	S023	A2058 	4032	24hr	rep2	4E-BP1 (phospho-Ser65)	0.911350891	0.040016904	Good
24	S024	A2058 	combo	24hr	rep2	4E-BP1 (phospho-Ser65)	1.2343817	0.043028894	Good
25	S025	A375	DMSO	1hr	rep1	4E-BP1 (phospho-Ser65)	2.746835368	0.088185975	Good
26	S026	A375	901	1hr	rep1	4E-BP1 (phospho-Ser65)	2.228217924	0.113127791	Undet.
27	S027	A375	4032	1hr	rep1	4E-BP1 (phospho-Ser65)	2.110432304	0.081473342	Good
28	S028	A375	combo	1hr	rep1	4E-BP1 (phospho-Ser65)	2.250576174	0.036918435	Good
29	S029	A375	DMSO	3.5hr	rep1	4E-BP1 (phospho-Ser65)	2.251713781	0.060496325	Good
30	S030	A375	901	6hr	rep1	4E-BP1 (phospho-Ser65)	2.153040802	0.065949685	Good
31	S031	A375	4032	6hr	rep1	4E-BP1 (phospho-Ser65)	2.371700327	0.061990831	Good
32	S032	A375	combo	6hr	rep1	4E-BP1 (phospho-Ser65)	1.792326439	0.067258966	Good
33	S033	A375	DMSO	24hr	rep1	4E-BP1 (phospho-Ser65)	2.21623772	0.043477023	Good
34	S034	A375	901	24hr	rep1	4E-BP1 (phospho-Ser65)	1.596760164	0.051300049	Good
35	S035	A375	4032	24hr	rep1	4E-BP1 (phospho-Ser65)	1.582939456	0.04739613	Good
36	S036	A375	combo	24hr	rep1	4E-BP1 (phospho-Ser65)	1.696159212	0.056395415	Good
37	S037	A375	DMSO	1hr	rep2	4E-BP1 (phospho-Ser65)	2.863469331	0.080399868	Good
38	S038	A375	901	1hr	rep2	4E-BP1 (phospho-Ser65)	2.501111847	0.099694285	Good
39	S039	A375	4032	1hr	rep2	4E-BP1 (phospho-Ser65)	2.624482464	0.100182404	Good
40	S040	A375	combo	1hr	rep2	4E-BP1 (phospho-Ser65)	2.876410705	0.082764519	Good
41	S041	A375	DMSO	3.5hr	rep2	4E-BP1 (phospho-Ser65)	2.343087167	0.042103634	Good
42	S042	A375	901	6hr	rep2	4E-BP1 (phospho-Ser65)	2.120279189	0.073828384	Good
43	S043	A375	4032	6hr	rep2	4E-BP1 (phospho-Ser65)	2.155512082	0.07262395	Undet.
44	S044	A375	combo	6hr	rep2	4E-BP1 (phospho-Ser65)	1.812943385	0.040402587	Good
45	S045	A375	DMSO	24hr	rep2	4E-BP1 (phospho-Ser65)	2.587271837	0.102592339	Good
46	S046	A375	901	24hr	rep2	4E-BP1 (phospho-Ser65)	2.151823366	0.052798384	Good
47	S047	A375	4032	24hr	rep2	4E-BP1 (phospho-Ser65)	2.093359224	0.059498249	Good
48	S048	A375	combo	24hr	rep2	4E-BP1 (phospho-Ser65)	2.23645618	0.114120098	Undet.
1	S001	A2058 	DMSO	1hr	rep1	Akt (phospho-Ser473)	0.350087228	0.037090793	Good
