sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
1	A2058	901	5min	AKT	3.87552112153798	0.0459206959472643	Good	6.14381293684051
2	A2058	AK	5min	AKT	3.07218045180577	0.0332397144936535	Good	4.43967135145554
3	A2058	Nt	5min	AKT	3.04284728846875	0.0737355044837613	Good	4.57126656043289
4	A2058	PLX	5min	AKT	0.0997981299704575	1.36212842060596	Poor	0.142468232308202
5	A2058	SR	5min	AKT	3.38261067068501	0.0728378193516395	Good	4.92322171909129
6	A2058	St	5min	AKT	3.35252543626623	0.0345558401584995	Good	4.69874139961822
7	A2058	Tm 	5min	AKT	3.93481763881521	0.0452072771145489	Good	5.23552680794879
8	A2058	991	5min	AKT	4.08934825269576	0.0505150976803813	Undet.	5.63108099529133
9	A2058	901	15min	AKT	3.15437937503959	0.0328133211520051	Good	4.73859877814347
10	A2058	AK	15min	AKT	4.03881130352145	0.0303011414275308	Good	5.04463493843809
11	A2058	Nt	15min	AKT	3.3607046043327	0.168348318553862	Undet.	5.09777744974177
12	A2058	PLX	15min	AKT	2.83939700676957	0.145492682041155	Good	4.75468055113191
13	A2058	SR	15min	AKT	4.18978770404795	0.0345067964865053	Good	6.10349820864644
14	A2058	St	15min	AKT	3.79109542119368	0.0322507745729457	Good	5.80151813820984
15	A2058	Tm 	15min	AKT	3.2107700429819	0.0324096892290557	Good	4.46746221110879
16	A2058	991	15min	AKT	3.78412315740813	0.0353529369155073	Good	5.71701002836879
17	A2058	901	30min	AKT	3.6474391731685	0.0367141733794292	Good	4.75366910432458
18	A2058	AK	30min	AKT	2.02514465304252	0.428379071787994	Poor	2.74296855545042
19	A2058	Nt	30min	AKT	3.65790407837384	0.10344917521873	Poor	4.41620185090162
20	A2058	PLX	30min	AKT	3.58237945056535	0.0909529134293589	Good	4.90836385759217
21	A2058	SR	30min	AKT	3.92443021434867	0.0428423489852596	Good	4.98665138664692
22	A2058	St	30min	AKT	4.50569386191874	0.0383735703076313	Good	6.41543583302169
23	A2058	Tm 	30min	AKT	4.23671670116664	0.0402087528240512	Good	5.55804930275108
24	A2058	991	30min	AKT	4.3135706831226	0.0356431164126491	Good	5.66947789048196
25	A2058	901	1hr	AKT	3.9057053634703	0.0358193165918853	Good	5.24865107553685
26	A2058	AK	1hr	AKT	4.01803609268486	0.0456959064348381	Good	5.24662758929913
27	A2058	Nt	1hr	AKT	3.81836073605658	0.0761038327057503	Good	5.45366598604604
28	A2058	PLX	1hr	AKT	3.56426567731344	0.0385164781816351	Good	4.49094078835389
29	A2058	SR	1hr	AKT	4.08717505604587	0.0354049621522271	Good	5.26418438134317
30	A2058	St	1hr	AKT	3.5079442981336	0.0442875026768324	Good	4.61732950688485
31	A2058	Tm 	1hr	AKT	3.34513952286597	0.0422209735070287	Good	4.64151670927389
32	A2058	991	1hr	AKT	3.8727333288132	0.061970673736527	Good	5.07671740919698
33	A2058	901	12hr	AKT	3.13127701866505	0.0379625252295617	Good	3.67578039346714
34	A2058	AK	12hr	AKT	3.20026937553296	0.15004845720918	Good	3.34149315809396
35	A2058	Nt	12hr	AKT	3.95204417115453	0.0345009195187059	Good	4.83125098836317
36	A2058	PLX	12hr	AKT	3.47077622704658	0.0379131529985674	Good	3.67852568004432
37	A2058	SR	12hr	AKT	3.54303207180759	0.0647623940255903	Good	3.95823267196281
38	A2058	St	12hr	AKT	4.16586123679298	0.0464356609383878	Good	4.47930896141504
