sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
1	Mel133	901	5min	AKT	4.05366004781165	0.0425788346293629	Good	6.42621424636059
2	Mel133	AK	5min	AKT	4.42908862105175	0.0303872286663745	Good	6.40056734049694
3	Mel133	Nt	5min	AKT	4.40651254778974	0.0318193437364166	Good	6.61989957043684
4	Mel133	PLX	5min	AKT	3.90894135224639	0.0309714014042491	Good	5.58026452816132
5	Mel133	SR	5min	AKT	4.34864480729408	0.0299427996400844	Good	6.32923639407434
6	Mel133	St	5min	AKT	4.86338265365142	0.0333711910509436	Good	6.81628755734289
7	Mel133	Tm 	5min	AKT	3.94332253832361	0.0446882973106367	Good	5.24684312129859
8	Mel133	991	5min	AKT	5.0437628813007	0.030266203547359	Good	6.9453212469555
9	Mel133	901	15min	AKT	4.42054358648943	0.0315335654791106	Good	6.64066681497556
10	Mel133	AK	15min	AKT	3.90861944833794	0.0297601926961332	Good	4.88202016592169
11	Mel133	Nt	15min	AKT	4.40602167563241	0.0292139431839014	Good	6.68339547372156
12	Mel133	PLX	15min	AKT	4.65284087283622	0.0293318145877144	Good	7.79136272695992
13	Mel133	SR	15min	AKT	4.25816470394007	0.0300050239600537	Good	6.20310681076033
14	Mel133	St	15min	AKT	4.86061170592589	0.0300355515241596	Good	7.43820026715268
15	Mel133	Tm 	15min	AKT	4.05668838467564	0.0310673092520771	Good	5.64447214162716
16	Mel133	991	15min	AKT	4.3895214993452	0.0297314756843423	Good	6.63163892601351
17	Mel133	901	30min	AKT	4.03838253236516	0.0349059722178189	Good	5.26318147174801
18	Mel133	AK	30min	AKT	4.52339415261103	0.0314303820754103	Good	6.12673662885247
19	Mel133	Nt	30min	AKT	4.25651204990572	0.0317021250819864	Good	5.13890358807204
20	Mel133	PLX	30min	AKT	5.06271117918438	0.0435216128943613	Good	6.93662659588303
21	Mel133	SR	30min	AKT	5.55589474397578	0.0309815778688752	Good	7.0597026105379
22	Mel133	St	30min	AKT	4.66065605676332	0.0328953160598802	Good	6.6360788789179
23	Mel133	Tm 	30min	AKT	5.11338933912851	0.0294603714989434	Good	6.70813558131277
24	Mel133	991	30min	AKT	5.29836708567391	0.0278153807297995	Good	6.96383049092413
25	Mel133	901	1hr	AKT	4.34006482347842	0.0306464164361606	Good	5.83236157973002
26	Mel133	AK	1hr	AKT	5.14739802351812	0.0299641298418964	Good	6.7213135622304
27	Mel133	Nt	1hr	AKT	5.87245106560234	0.029435056519225	Good	8.38747013313118
28	Mel133	PLX	1hr	AKT	4.22029530608886	0.0284373161425185	Good	5.31753186908861
29	Mel133	SR	1hr	AKT	4.86911774040531	0.0339806265578588	Good	6.27130798374957
30	Mel133	St	1hr	AKT	5.27017061206334	0.0404276835164177	Good	6.9368587997091
31	Mel133	Tm 	1hr	AKT	4.65809187526127	0.0305432138194338	Good	6.46329132897708
32	Mel133	991	1hr	AKT	5.28142675770745	0.031132269981447	Good	6.92335590647777
33	Mel133	901	12hr	AKT	4.0502136225628	0.031176055567385	Good	4.75451253096633
34	Mel133	AK	12hr	AKT	3.63220988405695	0.0313990906969384	Good	3.7924946472096
35	Mel133	Nt	12hr	AKT	4.27296988067054	0.034418661254904	Good	5.2235726791497
36	Mel133	PLX	12hr	AKT	3.58934149847057	0.044799201087657	Good	3.80418788560394
37	Mel133	SR	12hr	AKT	3.6240949775313	0.0306036427060232	Good	4.04879517193932
38	Mel133	St	12hr	AKT	3.80697604123749	0.031234461410624	Good	4.09342052654042
39	Mel133	Tm 	12hr	AKT	4.45920610826555	0.0285839460092172	Good	5.08619483367479
40	Mel133	991	12hr	AKT	4.41405379848106	0.0281999053219526	Good	4.91723114143324
41	Mel133	901	24hr	AKT	4.45055120913665	0.029421988964068	Good	6.76663854422662
42	Mel133	AK	24hr	AKT	4.01173068335031	0.0301033930262402	Good	5.89179618641441
43	Mel133	Nt	24hr	AKT	4.56667360210925	0.0312653762125218	Good	7.61447320256463
44	Mel133	PLX	24hr	AKT	5.34182798174698	0.0304439840418499	Good	8.41822629449148
45	Mel133	SR	24hr	AKT	5.249051716707	0.029991020343473	Undet.	8.81425092544488
46	Mel133	St	24hr	AKT	4.95604677638203	0.031238187456443	Good	8.42339271553121
47	Mel133	Tm 	24hr	AKT	4.29429684651683	0.0309728257485282	Good	8.05912032556029
48	Mel133	991	24hr	AKT	5.70774392530989	0.0331310861670175	Good	12.0385226827888
49	Mel133	901	48hr	AKT	8.27088811633673	0.0355715139544508	Good	13.1877454574438
50	Mel133	AK	48hr	AKT	9.13457806259757	0.0296934441712803	Good	16.5462842641451
51	Mel133	Nt	48hr	AKT	13.7372493559009	0.104141983156448	Poor	30.694946539526
52	Mel133	PLX	48hr	AKT	10.5162763306059	0.0424154184615918	Good	19.1604172489864
53	Mel133	SR	48hr	AKT	13.1772498495688	0.0874495292262873	Good	27.370783285764
54	Mel133	St	48hr	AKT	13.2169179319527	0.0917286920308984	Undet.	33.1155827670252
55	Mel133	Tm 	48hr	AKT	9.70088510441204	0.0359754795235115	Good	17.986103007219
56	Mel133	991	48hr	AKT	13.7430965470112	0.0760891865695035	Good	30.2321178954533
57	Mel133	DMSO	5min	AKT	6.18111556572131	0.0450808621972284	Good	10.6719041794163
58	Mel133	DMSO	15min	AKT	5.60726238816977	0.0350732684709543	Good	9.97252153806271
59	Mel133	DMSO	30min	AKT	6.08627658699457	0.0377844101502343	Good	11.7640519751899
60	Mel133	DMSO	1hr	AKT	6.02717328298013	0.0310877334272364	Good	11.3755032127686
61	Mel133	DMSO	12hr	AKT	4.82191411794109	0.0407133902185802	Good	7.70674531251038
62	Mel133	DMSO	24hr	AKT	6.19461822555481	0.0385108476858905	Good	18.9450834070318
63	Mel133	DMSO	48hr	AKT	12.2974727331152	0.108169761737804	Undet.	33.6770156163484
64	A2058	DMSO-2	mix	AKT	3.77698941300025	0.0335259041050056	Good	4.04834058869581
65	Mel133	DMSO-2	mix	AKT	4.77902543938378	0.0513454666934857	Good	5.12236613480438
1	Mel133	901	5min	AKT-pS473	0.52573506922074	0.0428894931646832	Good	5.04778804997396
2	Mel133	AK	5min	AKT-pS473	0.136074155874151	0.056139704478468	Undet.	4.06108538490443
3	Mel133	Nt	5min	AKT-pS473	0.521859493650356	0.0407127489348646	Good	5.2525923433208
4	Mel133	PLX	5min	AKT-pS473	0.532791329168243	0.0530645945250568	Good	5.17641585300347
5	Mel133	SR	5min	AKT-pS473	0.547620223555914	0.0398831867724132	Good	4.08977705446703
6	Mel133	St	5min	AKT-pS473	0.623659052817373	0.0660529791328467	Good	4.68820428201774
7	Mel133	Tm 	5min	AKT-pS473	0.506821434720252	0.0411200447020648	Good	4.64949271636608
8	Mel133	991	5min	AKT-pS473	0.628825789610413	0.0362901569122533	Good	4.34543964874594
9	Mel133	901	15min	AKT-pS473	0.606944652654269	0.040382389670645	Good	4.88516583398745
10	Mel133	AK	15min	AKT-pS473	0.0444180599496877	0.0734856341289446	Undet.	4.5460917621209
11	Mel133	Nt	15min	AKT-pS473	0.735067552238705	0.043015310552451	Good	5.08248903497648
