Sample_description	GORDER	14_3_3e	4EBP1	4EBP1pS65	53BP1	ACCpS79	ACC1	AIB1	Akt	AktpS473	AktpT308	aCatenin	AMPKa	AMPKpT172	AnnexinI	AR	BadpS112	Bak	Bax	Bcl2	BclX	BclXL	Beclin	bCatenin	Bid	Bim	cJunpS73	cKit	cMet	cMetpY1235	cMyc	CRaf	CRafpS338	Casp3_3ac	Casp7_clD198	Casp9_clD330	Caveolin1	CD31	CDK1	Chk1	Chk1pS345	Chk2	Chk2pT68	cIAP	CollagenVI	Claudin7	COX2	CyclinB1	CyclinD1	CyclinE1	DJ1	Dvl3	ECadherin	eEF2	eEF2K	EGFR	EGFR_CST2232	EGFRpY1068	EGFRpY1173	EGFRpY992	eIF4E	ERalpha	ERapS118	ERCC1	FAK	Fibronectin	FOXO3a	FOXO3apS318	GATA3	GSK3ab	GSK3abpS21	GSK3pS9	HER2	HER2pY1248	HER3	HER3pY1298	IGF1Rbeta	IGFBP2	INPP4B	IRS1	JNKpT183	JNK2	KRas	MAPKpT202	MEK1	MEK1pS217	MIG6	Mre11	MSH2	MSH6	mTOR	mTORpS2448	NCadherin	NFkBp65pS536	NF2	Notch1	Notch3	PCadherin	p21	p27	p27pT157	p27pT198	p38MAPK	p38pT180	p53	p70S6K	p70S6KpT389	p90RSKpT359	PARPcl	Paxillin	PCNA	PDK1pS241	PI3Kp110a	PI3Kp85	PKCalpha	PKCapS657	PR	PRAS40pT246	PTCH	PTEN	Rab11	Rab25	Rad50	Rad51	Rb	RbpS807	S6pS235	S6pS240	Smac	Smad1	Smad3	Smad4	Snail	Src	SrcpY416	SrcpY527	STAT3pY705	STAT5alpha	Stathmin	Syk	Tau	TAZpS89	TFF1	TIGAR	Tuberin	VASP	VEGFR2	XIAP	XRCC1	YAP	YAPpS127	YB1	YB1pS102
144_IGROV1_JQ|5_1_1_JQ1Tr_SD	2	-0.076	-0.072	-0.403	-0.312	-0.554	-0.18	0.249	0.253	-1.246	-0.593	0.051	-0.131	-0.658	0.07	0.187	0.058	-0.266	-0.375	0.191	-0.119	-0.181	0.229	-0.161	0.191	0.578	0.005	-0.521	-0.091	-0.126	-0.274	0.153	-0.27	0.237	0.462	0.234	0.831	0.091	-0.315	-0.083	-0.145	-0.189	0.068	0.013	0.059	0.365	0.029	-0.714	-0.097	0.155	0.101	0.13	-0.281	0.164	0.058	0.109	0.195	-0.226	-0.105	-0.017	0.046	-0.042	-0.017	0.013	0.094	0.145	0.526	-0.039	-0.008	0.144	-0.52	-0.275	0.197	-0.134	-0.378	0.101	-0.212	-0.281	-0.156	0.032	0.064	0.254	-0.086	-0.756	0.189	0.021	0.109	-0.212	-0.084	-0.023	0.065	-0.502	0.066	-0.357	-0.001	-0.068	-0.286	0.212	0.802	0.06	-0.209	0.005	0.148	0.097	0.176	0.272	-0.863	-0.081	0.044	-0.16	0.224	0.402	-0.054	0.408	0.297	0.389	-0.141	-0.319	-0.026	0.201	0.017	0.044	-0.031	-0.134	-0.041	-1.052	-1.279	-0.958	0.121	0.033	0.09	0.116	-0.059	-0.365	-0.773	0.388	-0.063	0.084	0.051	-0.148	-0.005	0.091	0.038	0.018	0.15	-0.068	0.123	-0.359	-0.059	0.32	-0.234	0.099	0.294
166_IGROV1_JQ|2.5_1_1_JQ1Tr_SD	3	0.158	-0.123	-0.5	-0.303	-0.429	-0.258	0.253	0.18	-1.391	-0.665	0.116	-0.276	-0.63	-0.006	-0.005	-0.034	-0.211	0.16	0.309	-0.202	-0.201	0.085	-0.292	0.05	0.436	0.216	-0.323	-0.061	0.02	-0.267	-0.025	-0.348	-0.032	0.327	0.137	1.031	0.025	-0.354	-0.208	-0.202	-0.18	-0.029	-0.014	-0.204	0.528	-0.022	-0.908	-0.039	0.166	-0.096	0.091	-0.167	0.129	0.137	0.139	-0.007	-0.254	0.013	0.036	0.016	0.113	0.058	-0.056	0.011	0.155	0.455	-0.004	0.055	0.221	-0.417	-0.142	0.086	-0.053	-0.297	-0.081	-0.389	-0.175	-0.108	-0.057	0.055	0.195	-0.119	-0.029	0.231	0.104	0.014	-0.155	-0.049	-0.189	0.116	-0.221	0.132	-0.346	-0.13	-0.013	-0.25	0.277	0.628	-0.001	-0.151	-0.008	0.16	-0.01	0.152	0.287	-0.709	-0.256	0.028	-0.079	0.238	0.471	0.024	0.267	0.378	0.382	-0.266	-0.329	0.1	0.18	0.098	0.082	-0.048	-0.07	-0.071	-1.126	-1.194	-0.947	0.175	0.065	-0.028	0.167	-0.029	-0.448	-0.743	0.328	-0.076	0.005	-0.019	-0.073	0.01	-0.001	0.058	0.038	0.145	-0.065	-0.216	-0.42	-0.103	0.188	-0.341	0.008	0.166
167_IGROV1_JQ|1.25_1_1_JQ1Tr_SD	4	0	-0.047	-0.297	-0.382	-0.443	-0.17	0.168	0.181	-1.269	-0.64	0.101	-0.176	-0.486	-0.019	0.014	-0.017	-0.25	-0.193	0.164	-0.156	-0.157	0.159	-0.163	0.086	0.575	0.14	-0.149	-0.014	0.005	-0.229	0.1	-0.271	0.039	0.147	0.118	1.099	0.112	-0.269	-0.127	-0.074	-0.174	-0.028	-0.038	-0.026	0.599	0.01	-0.826	-0.097	0.129	-0.059	0.094	-0.302	0.125	0.056	0.171	0.012	-0.321	0.023	-0.08	0.11	0.156	0.035	-0.042	0.086	0.265	0.454	-0.072	0.174	0.23	-0.428	-0.186	0.232	0.03	-0.254	-0.026	-0.109	-0.113	-0.124	0.036	-0.021	0.033	0.065	0.473	0.11	0.042	0.002	-0.099	-0.049	-0.104	0.157	-0.272	0.077	-0.322	0.064	0.111	-0.133	0.312	0.591	0.106	-0.047	-0.021	0.103	-0.036	0.232	0.273	-0.616	-0.173	0.023	-0.082	0.164	0.468	-0.017	0.259	0.333	0.357	-0.19	-0.26	0.06	0.112	0.02	0.085	-0.062	-0.05	0.065	-0.964	-0.909	-0.659	0.235	0.093	0.07	0.088	-0.044	-0.353	-0.789	0.38	-0.029	-0.009	0.077	-0.218	0.041	0.111	0	0.025	0.243	0.016	0.156	-0.335	0.075	0.469	-0.277	0.099	-0.001
168_IGROV1_JQ|0.63_1_1_JQ1Tr_SD	5	0.111	-0.127	-0.255	-0.181	-0.49	-0.092	0.213	0.241	-1.002	-0.612	0.053	-0.069	-0.67	-0.022	0.063	-0.01	-0.327	-0.316	0.091	-0.039	-0.128	0.284	-0.194	0.19	0.536	0.016	-0.029	-0.012	-0.046	-0.192	0.215	-0.208	0.057	0.074	0.05	1.215	-0.041	-0.364	-0.131	-0.209	-0.177	-0.023	0.061	-0.085	0.258	0.021	-0.717	-0.09	0.145	0.062	0.024	-0.313	0.153	0.108	0.119	0.072	-0.186	0.05	-0.084	0.069	0.277	-0.044	0.071	0.166	0.136	0.527	-0.093	0.18	0.113	-0.427	-0.245	0.219	-0.158	-0.326	-0.093	-0.226	-0.217	-0.162	-0.042	0.024	0.466	-0.061	-0.412	0.11	0.128	0.044	-0.174	-0.021	-0.066	0.144	-0.303	0.058	-0.358	0.005	0.015	-0.235	0.198	0.413	0.079	-0.017	-0.023	0.092	-0.037	0.149	0.305	-0.608	-0.23	0.034	-0.073	0.226	0.469	-0.09	0.391	0.203	0.253	-0.142	-0.211	-0.022	0.18	-0.042	0.05	0.033	-0.065	-0.003	-0.863	-0.885	-0.79	0.133	0.032	0.035	0.137	-0.117	-0.309	-0.683	0.348	-0.075	0.011	0.031	-0.156	0.063	0.121	-0.053	0.054	0.191	0.031	0.136	-0.261	-0.082	0.27	-0.23	0.039	-0.102
190_IGROV1_JQ|0.31_1_1_JQ1Tr_SD	6	0.062	-0.098	-0.291	-0.228	-0.23	-0.258	0.098	0.143	-0.865	-0.474	0.126	-0.158	-0.44	0.07	0.075	0.094	-0.094	0.072	0.277	-0.096	-0.07	0.063	-0.211	0.06	0.253	0.091	0.273	-0.008	0.033	-0.313	0.061	-0.258	-0.067	0.161	0.137	-0.295	0.03	-0.387	-0.129	-0.099	-0.121	-0.01	0.013	-0.25	0.479	-0.046	-0.768	-0.085	0.147	-0.064	0.086	-0.086	0.161	0.157	0.125	0.02	-0.247	0.041	0.022	0.079	0.121	0.099	0.049	0.01	0.171	0.347	0.04	-0.104	0.174	-0.228	0.003	-0.007	0.013	-0.098	-0.053	-0.179	-0.187	-0.086	0.006	0.043	0.033	-0.059	-0.52	0.212	0.181	0.105	-0.099	-0.007	-0.004	0.212	-0.152	0.195	-0.33	-0.098	-0.028	-0.271	0.261	0.273	0.047	-0.055	0.024	0.083	-0.021	-0.034	0.265	-0.407	-0.264	0.029	-0.032	0.213	0.368	0.01	0.117	0.33	0.304	-0.094	-0.316	0.028	0.079	0.095	0.139	0.075	0.018	0.112	-0.814	-0.85	-0.662	0.165	0.067	-0.029	0.249	-0.046	-0.357	-0.499	0.226	-0.04	0.027	0.021	-0.061	-0.004	0.096	0.064	0.026	0.159	0.014	-0.33	-0.233	0.109	0.246	-0.178	-0.079	-0.019
191_IGROV1_JQ|0.16_1_1_JQ1Tr_SD	7	0.044	-0.328	-0.234	0.064	-0.845	-0.375	0.152	0.006	-0.774	-0.434	0.106	-0.354	-0.465	-0.316	0.062	-0.02	-0.013	-0.259	0.152	-0.074	-0.049	0.174	-0.194	0.273	0.456	0.099	0.508	0.148	0.022	-0.251	0.064	-0.166	0.154	-0.003	0.037	-0.014	0.035	-0.311	-0.09	-0.01	-0.223	0.097	-0.004	0.08	0.661	-0.019	-0.445	-0.021	0.085	-0.196	-0.003	-0.551	0.039	0.008	0.199	0.045	-0.198	0.092	0.053	-0.03	0.117	0.163	-0.083	-0.018	0.329	0.122	-0.179	0.09	0.074	-0.52	-0.29	0.264	0.055	-0.115	0.001	-0.159	-0.031	-0.106	0.139	0	0.031	0.072	-0.171	-0.223	0.068	-0.008	-0.117	0	-0.142	0.061	-0.106	0.157	-0.355	0.192	0.201	-0.12	0.267	0.156	0.048	-0.029	-0.006	-0.084	-0.097	0.274	0.111	-0.38	-0.129	0.033	-0.104	0.141	0.362	-0.173	0.003	0.257	0.155	-0.067	-0.288	-0.088	-0.13	0.043	0.101	0.117	0.071	0.091	-0.483	-0.29	-0.242	0.23	0.218	0.175	0.285	-0.046	-0.266	-0.587	0.375	0.093	0.11	-0.056	0	0.088	0.082	0.176	-0.062	0.173	-0.001	-0.095	-0.303	0.085	0.526	-0.156	0.096	-0.098
192_IGROV1_JQ|0.08_1_1_JQ1Tr_SD	8	-0.119	-0.21	-0.238	0.025	-0.456	-0.23	-0.008	0.011	-0.365	-0.308	-0.003	0.018	-0.454	-0.078	0.121	0.041	-0.156	-0.303	0.203	0.039	0.01	0.12	-0.208	0.216	0.224	0.058	0.346	0.132	-0.003	-0.325	0.055	-0.193	-0.006	0.149	0.124	0.263	0.002	-0.205	0.028	0.02	-0.119	0.088	-0.123	0.076	0.294	-0.002	-0.342	-0.032	0.029	-0.106	-0.049	-0.126	0.008	0.069	0.13	0.111	-0.289	0.025	-0.132	0.03	-0.101	-0.03	0.04	0.074	0.199	0.146	-0.052	0.207	-0.006	-0.254	-0.183	0.049	0.002	-0.17	-0.136	-0.284	-0.123	-0.142	-0.126	0.071	0.038	-0.075	-0.069	0.077	0.192	0.062	-0.085	-0.007	-0.018	0.099	0.037	0.148	-0.243	0.005	0.007	-0.219	0.161	0.025	0.002	-0.092	0.049	-0.042	-0.03	0.145	0.107	-0.09	0.009	0.063	-0.086	0.178	0.256	-0.062	0.109	0.176	0.196	-0.013	-0.157	-0.028	0.164	-0.004	0.102	0.034	0.081	0.122	-0.361	-0.303	-0.138	0.179	0.055	0.016	0.183	0.054	-0.277	-0.5	0.233	0.072	0.078	0.029	-0.069	-1.485	0.179	0.155	0.031	-0.006	0.03	-0.263	-0.185	0.029	0.278	-0.166	-0.079	-0.037
213_IGROV1_JQ|0.04_1_1_JQ1Tr_SD	9	0.089	-0.077	0.038	0.124	-0.072	-0.128	0.197	-0.026	-0.368	-0.2	0.075	-0.249	-0.307	-0.023	-0.046	-0.005	-0.233	-0.139	0.111	-0.046	0.006	0.001	-0.233	0.176	0.257	0.077	0.21	0.12	0.036	0.025	0.197	-0.056	-0.048	0.118	-0.034	-0.059	0.031	-0.151	0.01	-0.031	-0.045	-0.038	0.049	-0.334	0.467	0.075	-0.032	0.017	0.064	-0.012	0.032	0.325	0.202	0.192	0.105	0.056	-0.171	0.017	-0.04	0.079	0.09	-0.032	-0.004	0.008	0.185	0.05	-0.099	-0.084	0.132	-0.097	-0.077	0.096	-0.097	-0.193	-0.116	-0.1	-0.158	-0.024	0.067	-0.048	-0.192	-0.084	-0.202	0.113	0.025	-0.052	-0.115	-0.039	0.145	0.152	-0.109	-0.006	-0.138	0.272	0.077	-0.04	0.115	-0.006	-0.014	-0.144	0.026	-0.085	-0.111	0.125	0.152	0.158	-0.07	0.007	-0.089	0.159	0.237	-0.096	0.04	0.191	0.094	-0.055	0.027	0.046	-0.079	0.046	0.082	0.013	0.106	0.158	-0.06	0.17	0.229	0.109	0.123	0.13	0.131	-0.016	-0.198	-0.324	0.103	0.012	0.043	-0.03	-0.08	0.142	0.118	0.102	0.034	0.251	0.054	-0.128	-0.003	0.064	0.286	0.067	0.184	0.14
214_IGROV1_JQ|0.02_1_1_JQ1Tr_SD	10	0.169	-0.268	-0.211	-0.171	-0.02	-0.298	-0.004	-0.209	-0.401	-0.129	-0.055	-0.185	-0.22	-0.178	0.025	-0.026	-0.181	-0.009	-0.033	-0.107	-0.01	0.064	-0.181	0.021	-0.047	0.252	-0.014	0.042	0.033	-0.214	-0.124	-0.19	-0.114	0.067	0.145	-0.201	0.087	-0.084	-0.086	0.022	-0.094	-0.031	-0.095	-0.078	0.168	-0.127	-0.192	0.006	0.017	-0.345	-0.094	-0.048	-0.051	-0.028	-0.028	-0.051	0.053	-0.054	0.052	-0.079	-0.022	0.027	0.005	-0.048	-0.048	-0.111	-0.045	0.004	-0.083	-0.191	-0.124	-0.282	0.016	-0.069	-0.031	-0.411	-0.263	-0.026	0.064	0.138	-0.131	0.022	-0.026	-0.021	0.186	0.021	-0.068	-0.126	-0.067	0.011	0.068	0.088	-0.108	-0.168	-0.017	-0.132	0.072	-0.092	-0.084	-0.031	0.016	-0.049	-0.042	0.023	0.031	0.126	0.011	-0.03	-0.103	0.118	-0.032	-0.015	-0.21	0.037	-0.019	-0.18	-0.161	-0.054	-0.133	-0.009	-0.026	-0.013	0.037	0.101	-0.293	-0.179	-0.116	0.059	-0.038	-0.073	0.081	0.058	-0.201	-0.164	0.02	0.155	0.003	-0.104	-0.088	-0.236	0.073	0.085	-0.13	-0.082	-0.083	-0.589	-0.134	0.172	0.035	-0.29	-0.172	0.113
215_IGROV1_JQ|0.01_1_1_JQ1Tr_SD	11	0.097	-0.182	-0.011	-0.077	-0.086	-0.172	0.261	-0.1	-0.3	-0.056	-0.07	-0.218	-0.162	-0.18	-0.006	-0.049	-0.076	-0.07	-0.102	-0.08	-0.034	-0.027	-0.098	0.089	0.008	0.125	-0.196	0.072	0.068	-0.064	0.097	-0.004	-0.133	0.075	0.056	-0.158	-0.105	-0.068	-0.053	0.033	-0.048	-0.029	0.038	-0.055	0.132	0.06	0.082	-0.021	-0.012	-0.203	-0.057	-0.485	0.092	-0.024	0.001	0.082	-0.111	-0.005	0.061	-0.078	0.14	0.004	-0.044	-0.015	-0.011	-0.04	-0.097	0.051	0.096	-0.045	-0.06	-0.031	-0.027	-0.077	0.002	-0.13	0.043	-0.017	0.257	0.01	-0.02	0.083	-0.041	-0.099	0.122	-0.04	0.125	-0.112	-0.084	0.01	0.004	-0.023	-0.175	0.153	0.073	-0.021	0.165	-0.098	-0.068	-0.052	-0.051	-0.038	-0.114	-0.015	0.162	0.027	-0.033	-0.007	-0.003	0.08	0.031	0.046	-0.007	-0.039	-0.038	-0.103	0.063	0.053	-0.182	-0.064	0.065	0.03	0.07	0.084	0.063	0.408	0.347	0.007	0.029	0.104	-0.032	0.033	-0.104	0.084	0.067	0.092	-0.005	-0.111	-0.079	-0.116	0.033	0.002	-0.015	0.132	-0.06	0.017	-0.007	0.019	0.151	-0.038	0.166	0.153
