abName	corr	pval	adjPval
RbpS807	1	0	0
NFkBp65pS536	0.987878799438477	9.30742460880651e-08	2.82945708107718e-06
S6pS235	0.987878799438477	9.30742460880651e-08	2.82945708107718e-06
SrcpY416	0.987878799438477	9.30742460880651e-08	2.82945708107718e-06
X4EBP1pS65	0.975757598876953	1.46754063035104e-06	2.78832719766698e-05
CyclinB1	0.975757598876953	1.46754063035104e-06	2.78832719766698e-05
S6pS240	0.975757598876953	1.46754063035104e-06	2.78832719766698e-05
p70S6KpT389	0.963636338710785	7.32099466027591e-06	0.000123643465373549
mTORpS2448	0.951515138149261	2.27985739738035e-05	0.000266567941847549
XIAP	0.951515138149261	2.27985739738035e-05	0.000266567941847549
AktpT308	0.942253589630127	4.53587077142714e-05	0.00049033891370238
AktpS473	0.939393937587738	5.48405364009241e-05	0.00049033891370238
STAT3pY705	0.917937397956848	0.00017952998751225	0.001516031005659
PRAS40pT246	0.903030276298523	0.000343612565232743	0.00248710047216081
GSK3abpS21	0.890909075737	0.000542144516154419	0.00358286810675964
MSH6	0.878787875175476	0.000813862205061078	0.00458174278404755
CRafpS338	0.869304955005646	0.00108698415655106	0.0059007711355629
X53BP1	0.866666674613953	0.0011735379121256	0.00594592542143637
HER3	0.854545474052429	0.00163680247839526	0.0073174699034141
AMPKpT172	0.842424213886261	0.00222003275351312	0.00888013101405248
Chk1	0.842424213886261	0.00222003275351312	0.00888013101405248
Chk2	0.842424213886261	0.00222003275351312	0.00888013101405248
BclXL	0.830303013324738	0.00294022813612127	0.0101571517429644
Chk1pS345	0.830303013324738	0.00294022813612127	0.0101571517429644
Notch3	0.830303013324738	0.00294022813612127	0.0101571517429644
p90RSKpT359	0.830303013324738	0.00294022813612127	0.0101571517429644
Rad51	0.818181812763214	0.00381492051076338	0.0123376152688518
CDK1	0.806060612201691	0.0048620605246823	0.0150823101990145
ACCpS79	0.769696950912476	0.00922195550412752	0.0254861315750433
cMet	0.769696950912476	0.00922195550412752	0.0254861315750433
YAPpS127	0.769696950912476	0.00922195550412752	0.0254861315750433
XRCC1	0.745454549789429	0.0133301454837775	0.0337697018922363
cKit	0.709090888500214	0.0216659289034102	0.05398723267735
MSH2	0.69696968793869	0.0250966785686146	0.0605507165464987
Rb	0.66060608625412	0.0375883675272259	0.0852751024498259
Smad1	0.656538009643555	0.0392043772799482	0.0876333139198842
GSK3pS9	0.648484826087952	0.042540137217344	0.0923728693862327
cMyc	0.636363625526428	0.0479117311246462	0.099761412752688
Smad3	0.636363625526428	0.0479117311246462	0.099761412752688
Bak	0.600000023841858	0.0666879863281258	0.133375972656252
HER2pY1248	0.547114968299866	0.101678047939692	0.195633712491559
NF2	0.527272701263428	0.117308086962265	0.220133694052645
Src	0.515151500701904	0.127552882234373	0.233590820477406
BclX	0.503030300140381	0.138333701029167	0.241686466165901
p27pT198	0.503030300140381	0.138333701029167	0.241686466165901
p27pT157	0.437691986560822	0.205850002393429	0.351564049031474
CyclinD1	0.430303037166595	0.214492324409859	0.362253703447762
bCatenin	0.406060606241226	0.244282293856507	0.39925708243214
Notch1	0.369696974754333	0.293050068174233	0.459212477963747
Paxillin	0.369696974754333	0.293050068174233	0.459212477963747
TFF1	0.357575744390488	0.310376110839209	0.481399682117957
IGF1Rbeta	0.345454543828964	0.32822651390012	0.493964654582359
cMetpY1235	0.340427100658417	0.335782268846655	0.500381420242074
EGFRpY1068	0.328269004821777	0.354418309562204	0.523025078188884
IGFBP2	0.321212112903595	0.365468323548346	0.529058906469987
CRaf	0.309090912342072	0.384841224999186	0.551847794338455
MEK1pS217	0.291794657707214	0.413326608319937	0.576382059308536
ECadherin	0.284848481416702	0.425038160716097	0.582034238097718
MAPKpT202	0.212121218442917	0.556305763058156	0.704653966540331
TAZpS89	0.175757572054863	0.627188352148502	0.781414996119445
EGFRpY1173	0.151515156030655	0.676065166784972	0.809148861033982
VASP	0.151515156030655	0.676065166784972	0.809148861033982
Mre11	0.13939394056797	0.700931882488681	0.825904233630074
Rad50	0.127272725105286	0.726057019277377	0.842447839161537
ERCC1	0.115151517093182	0.751419648245182	0.858765312280208
Tau	0.115151517093182	0.751419648245182	0.858765312280208
KRas	0.0787878781557083	0.82871739605474	0.915011185021642
ERapS118	0.0729486644268036	0.841271269313374	0.915011185021642
INPP4B	0.0729486644268036	0.841271269313374	0.915011185021642
HER3pY1298	0.0666666701436043	0.854813080743902	0.915011185021642
Snail	0.0666666701436043	0.854813080743902	0.915011185021642
YB1	0.0545454546809196	0.88103618086816	0.929982635360836
PI3Kp110a	0.0424242429435253	0.907363816683007	0.931887163079845
STAT5alpha	0.0424242429435253	0.907363816683007	0.931887163079845
CollagenVI	0.030303031206131	0.933772956124051	0.9399568829858
PTCH	0.030303031206131	0.933772956124051	0.9399568829858
Syk	0.00606060586869717	0.986742911614744	0.986742911614744
cJunpS73	-0.030303031206131	0.933772956124051	0.9399568829858
Bax	-0.0424242429435253	0.907363816683007	0.931887163079845
Smad4	-0.0425533875823021	0.907082840038748	0.931887163079845
PR	-0.0545454546809196	0.88103618086816	0.929982635360836
ACC1	-0.0666666701436043	0.854813080743902	0.915011185021642
NCadherin	-0.0787878781557083	0.82871739605474	0.915011185021642
AMPKa	-0.0909090936183929	0.802771725426293	0.903861498257752
IRS1	-0.103030301630497	0.776998466409483	0.881371394733145
eEF2K	-0.127272725105286	0.726057019277377	0.842447839161537
Tuberin	-0.13939394056797	0.700931882488681	0.825904233630074
Bid	-0.151515156030655	0.676065166784972	0.809148861033982
FAK	-0.151515156030655	0.676065166784972	0.809148861033982
BadpS112	-0.158055439591408	0.662762300824027	0.809148861033982
Casp3_3ac	-0.200000002980232	0.579583994232178	0.728072455564389
Rab25	-0.22424241900444	0.533400571087646	0.681318376515313
Chk2pT68	-0.231004104018211	0.520791537813805	0.670850116505918
EGFRpY992	-0.24848484992981	0.488776301908481	0.634991434958027
ERalpha	-0.24848484992981	0.488776301908481	0.634991434958027
YAP	-0.24848484992981	0.488776301908481	0.634991434958027
JNKpT183	-0.267478436231613	0.454986013184678	0.606648017579571
PCNA	-0.267478436231613	0.454986013184678	0.606648017579571
HER2	-0.272727280855179	0.44583832744257	0.605066301529202
COX2	-0.284848481416702	0.425038160716097	0.582034238097718
FOXO3apS318	-0.296969711780548	0.404701646709516	0.569580095368948
X14_3_3e	-0.303952783346176	0.393201096325033	0.558566043377617
YB1pS102	-0.321212112903595	0.365468323548346	0.529058906469987
GATA3	-0.345454543828964	0.32822651390012	0.493964654582359
PARPcl	-0.345454543828964	0.32822651390012	0.493964654582359
X4EBP1	-0.381818175315857	0.27625534225124	0.442008547601984
Rab11	-0.389059543609619	0.266477927010297	0.430900477718778
AR	-0.41818180680275	0.229112854966206	0.378534282118079
mTOR	-0.41818180680275	0.229112854966206	0.378534282118079
Claudin7	-0.454545468091965	0.186904795550308	0.322835555950532
eEF2	-0.503030300140381	0.138333701029167	0.241686466165901
p53	-0.504561603069305	0.136941964771738	0.241686466165901
Fibronectin	-0.515151500701904	0.127552882234373	0.233590820477406
cIAP	-0.528877794742584	0.115991343726538	0.220133694052645
EGFR_CST2232	-0.551515161991119	0.0984011689489896	0.191756124105723
eIF4E	-0.551515161991119	0.0984011689489896	0.191756124105723
PKCalpha	-0.61398458480835	0.0589809699383195	0.119534765741661
CD31	-0.624242424964905	0.0537177668578734	0.110339196789145
p38pT180	-0.638300836086273	0.04702444559994	0.099761412752688
AnnexinI	-0.648484826087952	0.042540137217344	0.0923728693862327
TIGAR	-0.66060608625412	0.0375883675272259	0.0852751024498259
p70S6K	-0.684848487377167	0.0288827966786322	0.0675413091561861
p27	-0.689037203788757	0.0275331803887711	0.0653913034233314
PCadherin	-0.69696968793869	0.0250966785686146	0.0605507165464987
Caveolin1	-0.745454549789429	0.0133301454837775	0.0337697018922363
Smac	-0.745454549789429	0.0133301454837775	0.0337697018922363
MIG6	-0.753802895545959	0.0117947825246678	0.0314527533991141
EGFR	-0.757575750350952	0.0111434480221821	0.0302465017744943
AIB1	-0.769696950912476	0.00922195550412752	0.0254861315750433
aCatenin	-0.778119087219238	0.0080331396635378	0.0239419064481911
Casp9_clD330	-0.781818211078644	0.00754700402031316	0.022942892221752
Akt	-0.806060612201691	0.0048620605246823	0.0150823101990145
VEGFR2	-0.818181812763214	0.00381492051076338	0.0123376152688518
MEK1	-0.820672512054443	0.00362170350001234	0.0122333096000417
GSK3ab	-0.830303013324738	0.00294022813612127	0.0101571517429644
JNK2	-0.830303013324738	0.00294022813612127	0.0101571517429644
Beclin	-0.842424213886261	0.00222003275351312	0.00888013101405248
Casp7_clD198	-0.854545474052429	0.00163680247839526	0.0073174699034141
p38MAPK	-0.854545474052429	0.00163680247839526	0.0073174699034141
SrcpY527	-0.854545474052429	0.00163680247839526	0.0073174699034141
