abname	Zresp_auc	TS	spCorr	p_fdr(corr)	p_fdr(TS)
X14.3.3_epsilon.M.C_GBL9026348	0.391506990321481	-0.783013980642973	-0.0181818176060915	0.960240419386778	0.125019627427768
X4E.BP1.R.V_GBL9026169	5.38008889348767	-3.69466501412174	0.866666674613953	0.0011735379121256	1.47677846593399e-09
X4E.BP1_pS65.R.V_GBL9026170	-0.54873547556591	7.63932320295331	-0.757575750350952	0.0111434480221821	3.40996845031096e-14
X53BP1.R.C_GBL9026171	-13.3650381962234	15.0504620755893	-0.684848487377167	0.0288827966786322	1.72673069333774e-64
ACC_pS79.R.V_GBL9026172	1.73046121691846	6.18794451986159	-0.745454549789429	0.0133301454837775	0.000709069728628605
ACC1.R.C_GBL9026173	3.04299153541174	1.68701092952443	-0.69696968793869	0.0250966785686146	0.207842597944496
AIB1.M.V_GBL9026302	7.44191165100897	8.55192479170566	0.175757572054863	0.627188352148502	2.3904668657422e-47
Akt.R.V_GBL9026174	7.75352191544556	-1.32930426175401	-0.806060612201691	0.0048620605246823	0.0591051981285445
Akt_pS473.R.V_GBL9026175	-2.2562724428679	8.64864585689776	-0.745454549789429	0.0133301454837775	0.30256486327354
Akt_pT308.R.V_GBL9026176	-1.75527500393332	7.39436829189902	-0.672727286815643	0.0330412174893608	0.639536003766248
alpha.Catenin.M.V_GBL9026304	11.3047551004046	-11.3047551004046	0.492403477430344	0.148230427669146	1.01070947013713e-56
AMPK_alpha.R.C_GBL9026177	7.8514660448046	7.8514660448046	-0.656538009643555	0.0392043772799482	1.70064844887785e-37
AMPK_pT172.R.V_GBL9026178	3.77546177285628	10.2351528901061	-0.830303013324738	0.00294022813612127	1.84804120308611e-39
Annexin_I.R.V_GBL9026179	7.52159893687118	-1.11442512249708	0.551515161991119	0.0984011689489896	0.125019627427768
AR.R.V_GBL9026335	-3.37084775873186	-3.37084775873186	-0.503030300140381	0.138333701029167	3.77963927047329e-06
Bad_pS112.R.V_GBL9026336	-3.72635094678426	-12.718643858527	-0.612121224403381	0.0599721359081791	2.56542574909198e-27
Bak.R.C_GBL9026182	1.7084391188806	-1.70843911888059	0.103030301630497	0.776998466409483	0.125019627427768
Bax.R.V_GBL9026183	2.63679447990627	17.382431369253	-0.357575744390488	0.310376110839209	3.96325889685623e-110
Bcl.2.M.V_GBL9026303	-7.73997290964248	-1.11452275107897	-0.212121218442917	0.556305763058156	0.00855442663701841
Bcl.X.R.C_GBL9026338	-6.22528425476797	-20.5880091863946	0.175757572054863	0.627188352148502	1.29299662377909e-74
Bcl.xL.R.V_GBL9026339	-3.8699282041774	-18.2326531358041	0.369696974754333	0.293050068174233	9.27257709606636e-84
Beclin.G.V_GBL9026330	-0.425141687450053	0	NaN	NaN	NA
beta.Catenin.R.V_GBL9026194	-9.07231867062208	-9.07231867062208	0.890909075737	0.000542144516154419	1.12617607830776e-45
