abname2	TS	abname	spCorr	p_val
Src_pY416.R.C_GBL9026285	62.2943314	Src_pY416.R.C_GBL9026285	-0.454545468	0.186904796
FOXO3a_pS318_S321.R.C_GBL9026220	58.70367828	FOXO3a_pS318_S321.R.C_GBL9026220	-0.151515156	0.676065167
MAPK_pT202_Y204.R.V_GBL9026233	56.17558205	MAPK_pT202_Y204.R.V_GBL9026233	-0.236363634	0.510885321
p27_pT157.R.C_GBL9026249	49.74018075	p27_pT157.R.C_GBL9026249	0.151515156	0.676065167
HER3_pY1298.R.C_GBL9026225	49.425992	HER3_pY1298.R.C_GBL9026225	0.127272725	0.726057019
Cyclin_D1.R.V_GBL9026205	45.52526156	Cyclin_D1.R.V_GBL9026205	0.272727281	0.445838327
p27_pT198.R.V_GBL9026250	45.34312288	p27_pT198.R.V_GBL9026250	0.624242425	0.053717767
eIF4E.R.V_GBL9026214	42.72485255	eIF4E.R.V_GBL9026214	0.06666667	0.854813081
JNK_pT183_pT185.R.V_GBL9026343	36.29606697	JNK_pT183_pT185.R.V_GBL9026343	-0.345454544	0.328226514
c.Met.M.C_GBL9026314	31.09971312	c.Met.M.C_GBL9026314	-0.187878788	0.603217611
Rab11.R.V_GBL9026276	29.74923597	Rab11.R.V_GBL9026276	0.175757572	0.627188352
ER.alpha.R.V_GBL9026215	28.17328611	ER.alpha.R.V_GBL9026215	-0.454545468	0.186904796
Collagen_VI.R.V_GBL9026202	27.4003507	Collagen_VI.R.V_GBL9026202	-0.660606086	0.037588368
c.Met_pY1235.R.C_GBL9026236	27.27154916	c.Met_pY1235.R.C_GBL9026236	0.030303031	0.933772956
K.Ras.M.C_GBL9026322	24.44424071	K.Ras.M.C_GBL9026322	-0.018181818	0.960240419
VASP.R.C_GBL9026294	23.05652116	VASP.R.C_GBL9026294	-0.854545474	0.001636802
EGFR.R.C_GBL9026210	22.35292235	EGFR.R.C_GBL9026210	-0.721212149	0.018573148
N.Cadherin.R.V_GBL9026341	21.66743335	N.Cadherin.R.V_GBL9026341	-0.4909091	0.149655665
ERCC1.M.C_GBL9026309	21.64934274	ERCC1.M.C_GBL9026309	-0.468087256	0.172455049
YAP.R.V_GBL9026298	20.86012207	YAP.R.V_GBL9026298	-0.866666675	0.001173538
GSK3.alpha.beta.M.V_GBL9026312	17.78505358	GSK3.alpha.beta.M.V_GBL9026312	-0.212121218	0.556305763
HER2.M.V_GBL9026313	17.55296529	HER2.M.V_GBL9026313	-0.624242425	0.053717767
AR.R.V_GBL9026335	16.74688695	AR.R.V_GBL9026335	-0.793939412	0.006099921
PTEN.R.V_GBL9026275	16.26970875	PTEN.R.V_GBL9026275	-0.115151517	0.751419648
INPP4B.G.C_GBL9026331	16.09358708	INPP4B.G.C_GBL9026331	-0.272727281	0.445838327
TAZ_pS89.R.C_GBL9026290	14.71878197	TAZ_pS89.R.C_GBL9026290	-0.881463051	0.000746861
IRS1.R.V_GBL9026228	13.87432377	IRS1.R.V_GBL9026228	0.733333349	0.015800593
PKC.alpha.M.V_GBL9026319	13.52174336	PKC.alpha.M.V_GBL9026319	-0.5030303	0.138333701
Rab25.R.C_GBL9026277	13.4649399	Rab25.R.C_GBL9026277	0.054545455	0.881036181
Notch1.R.V_GBL9026244	13.26706187	Notch1.R.V_GBL9026244	-0.696969688	0.025096679
MSH2.M.C_GBL9026316	13.07794768	MSH2.M.C_GBL9026316	-0.733333349	0.015800593
Fibronectin.R.C_GBL9026216	13.02202841	Fibronectin.R.C_GBL9026216	-0.684848487	0.028882797
Annexin_I.R.V_GBL9026179	12.2710183	Annexin_I.R.V_GBL9026179	-0.042424243	0.907363817
