abname2	TS	abname	spCorr	p_val
p27_pT157.R.C_GBL9026249	58.18917056	p27_pT157.R.C_GBL9026249	-0.672727287	0.033041217
FOXO3a_pS318_S321.R.C_GBL9026220	51.6002748	FOXO3a_pS318_S321.R.C_GBL9026220	-0.587878764	0.073877722
p27_pT198.R.V_GBL9026250	47.17922222	p27_pT198.R.V_GBL9026250	-0.854545474	0.001636802
Bcl.2.M.V_GBL9026303	26.56236547	Bcl.2.M.V_GBL9026303	-0.103030302	0.776998466
Stathmin.R.V_GBL9026289	25.26115316	Stathmin.R.V_GBL9026289	-0.175757572	0.627188352
c.Met_pY1235.R.C_GBL9026236	21.67535283	c.Met_pY1235.R.C_GBL9026236	-0.866666675	0.001173538
P.Cadherin.R.C_GBL9026342	19.81780373	P.Cadherin.R.C_GBL9026342	-0.696969688	0.025096679
HER2.M.V_GBL9026313	19.47584527	HER2.M.V_GBL9026313	-0.478787869	0.161522938
PKC.alpha.M.V_GBL9026319	17.3578064	PKC.alpha.M.V_GBL9026319	-0.648484826	0.042540137
IRS1.R.V_GBL9026228	17.01375014	IRS1.R.V_GBL9026228	-0.236363634	0.510885321
Fibronectin.R.C_GBL9026216	16.17893148	Fibronectin.R.C_GBL9026216	-0.575757563	0.081552823
YAP.R.V_GBL9026298	14.76797345	YAP.R.V_GBL9026298	-0.333333343	0.346593492
eIF4E.R.V_GBL9026214	13.38939693	eIF4E.R.V_GBL9026214	0.175757572	0.627188352
PI3K.p85.R.V_GBL9026270	12.59101229	PI3K.p85.R.V_GBL9026270	-0.527272701	0.117308087
COX.2.R.C_GBL9026203	12.47476329	COX.2.R.C_GBL9026203	-0.127272725	0.726057019
Collagen_VI.R.V_GBL9026202	12.23407436	Collagen_VI.R.V_GBL9026202	-0.454545468	0.186904796
Rab25.R.C_GBL9026277	11.84732445	Rab25.R.C_GBL9026277	-0.224242419	0.533400571
Bax.R.V_GBL9026183	11.36596497	Bax.R.V_GBL9026183	-0.24848485	0.488776302
GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	11.30914868	GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	-0.418181807	0.229112855
TAZ_pS89.R.C_GBL9026290	11.02031252	TAZ_pS89.R.C_GBL9026290	0.175757572	0.627188352
EGFR.R.C_GBL9026210	10.32230372	EGFR.R.C_GBL9026210	-0.563636363	0.089724029
PR.R.V_GBL9026272	10.27644349	PR.R.V_GBL9026272	-0.018181818	0.960240419
