abname2	TS	abname	spCorr	p_val
p27_pT157.R.C_GBL9026249	33.28441002	p27_pT157.R.C_GBL9026249	-0.721212149	0.018573148
p27_pT198.R.V_GBL9026250	30.84704381	p27_pT198.R.V_GBL9026250	-0.806060612	0.004862061
GSK3_pS9.R.V_GBL9026221	25.28350828	GSK3_pS9.R.V_GBL9026221	-0.684848487	0.028882797
GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	21.42579418	GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	-0.575757563	0.081552823
Stathmin.R.V_GBL9026289	20.04090824	Stathmin.R.V_GBL9026289	-0.24848485	0.488776302
COX.2.R.C_GBL9026203	18.97148922	COX.2.R.C_GBL9026203	-0.830303013	0.002940228
c.Jun_pS73.R.C_GBL9026231	18.88608667	c.Jun_pS73.R.C_GBL9026231	-0.866666675	0.001173538
eIF4E.R.V_GBL9026214	18.20097871	eIF4E.R.V_GBL9026214	0.357575744	0.310376111
MAPK_pT202_Y204.R.V_GBL9026233	17.48792068	MAPK_pT202_Y204.R.V_GBL9026233	0.127272725	0.726057019
PKC.alpha.M.V_GBL9026319	16.59823488	PKC.alpha.M.V_GBL9026319	-0.951515138	2.28E-05
Src_pY416.R.C_GBL9026285	14.52955749	Src_pY416.R.C_GBL9026285	-0.127272725	0.726057019
PDK1_pS241.R.V_GBL9026258	14.09161014	PDK1_pS241.R.V_GBL9026258	-0.309090912	0.384841225
Akt_pT308.R.V_GBL9026176	13.90493507	Akt_pT308.R.V_GBL9026176	0.624242425	0.053717767
HER3_pY1298.R.C_GBL9026225	13.46409415	HER3_pY1298.R.C_GBL9026225	-0.672727287	0.033041217
N.Cadherin.R.V_GBL9026341	13.01091654	N.Cadherin.R.V_GBL9026341	-0.769696951	0.009221956
Rab11.R.V_GBL9026276	12.6739783	Rab11.R.V_GBL9026276	-0.018181818	0.960240419
Collagen_VI.R.V_GBL9026202	12.31690492	Collagen_VI.R.V_GBL9026202	-0.24848485	0.488776302
FOXO3a_pS318_S321.R.C_GBL9026220	12.20454638	FOXO3a_pS318_S321.R.C_GBL9026220	-0.672727287	0.033041217
