abname2	TS	abname	spCorr	p_val
GSK3_pS9.R.V_GBL9026221	42.73313047	GSK3_pS9.R.V_GBL9026221	-0.975757599	1.47E-06
GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	42.05039696	GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	-0.975757599	1.47E-06
PKC.alpha.M.V_GBL9026319	29.17332419	PKC.alpha.M.V_GBL9026319	-0.806060612	0.004862061
STAT3_pY705.R.V_GBL9026287	24.93695995	STAT3_pY705.R.V_GBL9026287	-0.927272737	0.000112034
c.Met_pY1235.R.C_GBL9026236	23.86442682	c.Met_pY1235.R.C_GBL9026236	-0.600000024	0.066687986
EGFR_pY992.R.V_GBL9026213	21.84366641	EGFR_pY992.R.V_GBL9026213	-0.781818211	0.007547004
EGFR_pY1173.R.C_GBL9026212	21.76267328	EGFR_pY1173.R.C_GBL9026212	-0.878787875	0.000813862
Akt_pS473.R.V_GBL9026175	19.18184464	Akt_pS473.R.V_GBL9026175	-0.793939412	0.006099921
TP53.R.V_GBL9026346	18.45754147	TP53.R.V_GBL9026346	-0.951515138	2.28E-05
PDK1_pS241.R.V_GBL9026258	18.45064899	PDK1_pS241.R.V_GBL9026258	-0.74545455	0.013330145
Akt_pT308.R.V_GBL9026176	17.92756707	Akt_pT308.R.V_GBL9026176	-0.806060612	0.004862061
Bax.R.V_GBL9026183	17.38243137	Bax.R.V_GBL9026183	-0.357575744	0.310376111
PKC.alpha_pS657.R.V_GBL9026271	15.22555459	PKC.alpha_pS657.R.V_GBL9026271	-0.527272701	0.117308087
TP53BP1.R.C_GBL9026171	15.05046208	TP53BP1.R.C_GBL9026171	-0.684848487	0.028882797
EGFR_pY1068.R.V_GBL9026211	13.25523213	EGFR_pY1068.R.V_GBL9026211	-0.660606086	0.037588368
Notch1.R.V_GBL9026244	13.24095095	Notch1.R.V_GBL9026244	-0.442424238	0.200422692
MEK1.R.V_GBL9026234	12.76996873	MEK1.R.V_GBL9026234	-0.890909076	0.000542145
NF2.R.C_GBL9026243	12.70753007	NF2.R.C_GBL9026243	-0.5030303	0.138333701
C.Raf_pS338.R.C_GBL9026279	12.11329957	C.Raf_pS338.R.C_GBL9026279	-0.709090889	0.021665929
eEF2K.R.V_GBL9026209	12.05097465	eEF2K.R.V_GBL9026209	-0.842424214	0.002220033
PTCH.R.C_GBL9026274	11.42298615	PTCH.R.C_GBL9026274	-0.115151517	0.751419648
p70S6K_pT389.R.V_GBL9026255	11.16415386	p70S6K_pT389.R.V_GBL9026255	-0.660606086	0.037588368
AMPK_pT172.R.V_GBL9026178	10.23515289	AMPK_pT172.R.V_GBL9026178	-0.830303013	0.002940228
Bid.R.C_GBL9026340	10.20525014	Bid.R.C_GBL9026340	-0.709090889	0.021665929
PI3K.p110.alpha.R.C_GBL9026269	9.682889842	PI3K.p110.alpha.R.C_GBL9026269	-0.866666675	0.001173538
MSH2.M.C_GBL9026316	9.496223174	MSH2.M.C_GBL9026316	-0.806060612	0.004862061
Rad50.M.C_GBL9026320	9.015123435	Rad50.M.C_GBL9026320	-0.709090889	0.021665929
eEF2.R.V_GBL9026208	8.988100286	eEF2.R.V_GBL9026208	-0.890909076	0.000542145
AIB1.M.V_GBL9026302	8.551924792	AIB1.M.V_GBL9026302	0.175757572	0.627188352
MSH6.R.C_GBL9026238	8.437531502	MSH6.R.C_GBL9026238	-0.793939412	0.006099921
FAK.R.C_GBL9026218	7.932173947	FAK.R.C_GBL9026218	-0.236363634	0.510885321
AMPK_alpha.R.C_GBL9026177	7.851466045	AMPK_alpha.R.C_GBL9026177	-0.65653801	0.039204377
HER2_pY1248.R.V_GBL9026223	7.553246639	HER2_pY1248.R.V_GBL9026223	-0.539393961	0.107593171
p70S6K.R.V_GBL9026254	7.416228333	p70S6K.R.V_GBL9026254	-0.890909076	0.000542145
Dvl3.R.V_GBL9026207	7.298510458	Dvl3.R.V_GBL9026207	-0.684848487	0.028882797
Rb.M.V_GBL9026323	6.813647775	Rb.M.V_GBL9026323	-0.830303013	0.002940228
p90RSK_pT359_S363.R.C_GBL9026256	6.591673834	p90RSK_pT359_S363.R.C_GBL9026256	-0.842424214	0.002220033
ACC_pS79.R.V_GBL9026172	6.18794452	ACC_pS79.R.V_GBL9026172	-0.74545455	0.013330145
JNK2.R.C_GBL9026230	5.735195699	JNK2.R.C_GBL9026230	-0.636363626	0.047911731
DJ.1.R.C_GBL9026206	5.386064058	DJ.1.R.C_GBL9026206	-0.830303013	0.002940228
