AntibodyLabel,Source,NodeName,Gene_Symbol,Sites,Effect
NEGATIVE_CONTROL,MDACC,NA,NA,NA,c
ANTI.MOUSE_NEGATIVE_CONTROL,MDACC,NA,NA,NA,c
ANTI.RABBIT_NEGATIVE_CONTROL,MDACC,NA,NA,NA,c
ANTI_MOUSE_ONLY,MDACC,NA,NA,NA,c
ANTI_RABBIT_ONLY,MDACC,NA,NA,NA,c
ANTI.GOAT_NEGATIVE_CONTROL,MDACC,NA,NA,NA,c
ANTI.GOAT_ONLY,MDACC,NA,NA,NA,c
ANTI.MOUSE_ONLY,MDACC,NA,NA,NA,c
ANTI.RABBIT_ONLY,MDACC,NA,NA,NA,c
ANTI.RAT_NEGATIVE_CONTROL,MDACC,NA,NA,NA,c
ANTIZYME_INHIBITOR_1,MDACC,AZIN1,AZIN1,NA,c
APAF1,MDACC,APAF1,APAF1,NA,c
COMPLEX_IV_SUBUNIT1,MDACC,Complex_IV_UnitI,NA,NA,c
COMPLEX_IV_SUBUNITIV,MDACC,Complex_IV_UnitIV,NA,NA,c
A1UP,MDACC,A1UP,UBQLN4,NA,c
AIF,MDACC,AIFM1,AIFM1,NA,c
APOPTOSIS.INDUCING_FACTOR.AIF.,MDACC,AIFM1,AIFM1,NA,c
ARAF_PS299,MDACC,ARAFpS299,ARAF,S299,a
A.RAF_pS299,MDACC,ARAFpS299,ARAF,S299,a
A.RAF_pS299_GBL9008341,MDACC,ARAFpS299,ARAF,S299,a
A.Raf_pS299.R.C_GBL1115225,MDACC,ARafpS299,ARAF,S299,a
ARAF,MDACC,ARaf,ARAF,NA,c
a.Raf,MDACC,ARaf,ARAF,NA,c
A.Raf.R.V_GBL1033858,MDACC,ARaf,ARAF,NA,c
A.Raf.R.V_GBL1113319,MDACC,ARaf,ARAF,NA,c
A.Raf.R.V_GBL1114978,MDACC,ARaf,ARAF,NA,c
AREB6,MDACC,AREB6,ZEB1,NA,c
a.Tubulin,MDACC,aTubulin,TUBA1A,NA,c
a.Tubulin_GBL9008350,MDACC,aTubulin,TUBA1A,NA,c
ABCRYSTALLIN,MDACC,abCrystalline,CRYAB,NA,c
ab_Crystalline,MDACC,abCrystalline,CRYAB,NA,c
ab_Crystalline_GBL9008549,MDACC,abCrystalline,CRYAB,NA,c
ACC1_PS79,MDACC,ACCpS79,ACACA,S79,a
ACC_pS79,MDACC,ACCpS79,ACACA,S79,a
ACC_pS79_GBL9008594,MDACC,ACCpS79,ACACA,S79,a
ACC_pS79_RS00269173,MDACC,ACCpS79,ACACA,S79,a
