V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
X14.3.3_epsilon.M.C_GBL9026348	-1.247	0.344	0.14	0.223	-0.027	0.593	-0.793	-0.245	-0.622	-0.598	0.058	-0.137	0.175	-0.157	-0.266	-0.304	-0.137	0.13	0.142	-0.517
X4E.BP1.R.V_GBL9026169	-0.071	-0.973	-0.408	-0.026	-0.078	0.599	-0.00799999999999999	0.149	-0.774	-1.221	0.2	-0.732	-0.305	-0.0359999999999999	0.815	0.629	-0.545	-0.795	-0.099	0.252
X4E.BP1_pS65.R.V_GBL9026170	-0.211	-0.563	-0.324	0.021	0.034	-0.054	1.233	-0.072	0.437	0.126	-0.24	-0.695	0.194	0.207	-0.676	0.379	-0.386	-0.319	-0.919	-0.009
X53BP1.R.C_GBL9026171	0.65	0.193	-0.078	0.527	0.115	-0.605	0.143	-0.429	0.393	-0.203	-0.681	-0.467	0.101	-0.839	-0.547	0.469	1.059	-0.657	0.046	-0.353
ACC_pS79.R.V_GBL9026172	0.277	0.385	-0.854	0.244	-0.169	0.596	0.411	0.483	-0.488	-0.619	-0.333	-0.915	-0.208	0.868	-0.208	-0.361	-0.228	-0.293	0.061	-0.068
ACC1.R.C_GBL9026173	-0.625	-0.88	0.211	-0.189	-0.34	-0.049	-0.815	-0.997	0.547	0.195	0.348	-0.605	-0.291	0.077	0.326	-0.879	0.121	-1.162	-0.591	-0.773
AIB1.M.V_GBL9026302	-0.5245	1.4365	-0.5475	-0.493	-1.788	-1.449	0.582	0.098	0.314	-0.4465	0.5325	1.791	-0.199	0.0975	-1.0425	0.401	-0.674	-0.5655	0.5895	0.1285
Akt.R.V_GBL9026174	0.211	-0.538	0.973	-0.601	-0.406	-0.453	-0.028	-0.154	0.956	0.335	-0.43	-0.059	-0.494	0.727	0.359	0.704	0.471	0.312	-0.555	0.44
Akt_pS473.R.V_GBL9026175	0.15	-0.38	0.06	0.457	0.823	-0.369	0.022	0.585	0.389	0.62	0.126	0.723	-0.633	-0.257	-0.367	0.188	-0.274	0.118	-0.05	0.144
Akt_pT308.R.V_GBL9026176	-0.618	-0.44	0.603	0.032	-0.545	-0.435	0.286	0.231	-0.603	-0.163	-0.257	0.45	0.792	0.07	-0.083	0.329	-1.63	0.16	0.338	-0.163
alpha.Catenin.M.V_GBL9026304	0.032	0.0489999999999999	-0.249	0.323	0.028	-0.246	-0.114	0.303	-0.222	-0.648	0.377	0.787	0.752	-0.306	0.691	-0.558	-0.867	-0.192	-0.27	0.612
AMPK_alpha.R.C_GBL9026177	0.098	-0.77	0.07	-0.719	-0.514	-0.545	-0.794	0.575	-0.047	-0.941	-0.765	-0.51	0.205	0.751	-0.327	-0.347	0.321	0.672	-0.529	-0.322
AMPK_pT172.R.V_GBL9026178	-0.165	0.43	0.558	-0.668	0.311	0.331	-0.475	-0.556	-0.079	-0.278	0.296	0.589	0.44	0.095	-0.157	0.403	0.346	0.091	0.359	0.193
Annexin_I.R.V_GBL9026179	0.194	-0.488	0.471	-0.328	-0.188	1.737	-0.124	-0.013	-0.047	0.217	-0.763	0.078	-0.139	-0.506	0.144	-0.307	-0.921	-0.085	-0.057	-0.697
AR.R.V_GBL9026335	-0.797	-0.263	0.011	-1.856	-0.194	0.025	0.058	0.977	0.241	0.475	0.483	-0.214	-0.278	0.467	-0.067	0.151	-0.253	0.705	-0.99	-1.07
Bad_pS112.R.V_GBL9026336	-0.751	0.774	-0.607	-0.087	-0.673	0.301	-0.432	-0.418	-0.024	-0.715	-1.116	-0.074	0.011	-0.014	-0.042	-0.419	0.186	-0.426	0.21	-0.5
Bak.R.C_GBL9026182	1.297	0.653	-1.049	0.373	-0.307	0.579	-0.775	-0.108	0.278	-0.452	0.335	-0.981	0.581	0.222	-0.312	0.297	0.212	0.033	-0.236	-0.053
Bax.R.V_GBL9026183	-0.5905	-1.231	0.526	-0.681	0.69	-0.5655	0.207	-0.808	0.7885	1.078	-0.271	0.6455	0.306	-0.4595	-0.3415	0.3545	-0.486	0.1605	0.3635	-0.4555
Bcl.2.M.V_GBL9026303	0.0915	0.7215	-0.3225	0.161	-0.235	-0.1195	-0.283	1.506	-0.078	0.854	0.779	-1.4585	0.5615	-0.779	1.096	-0.1375	-0.2945	-0.00650000000000001	0.049	-1.2455
Bcl.X.R.C_GBL9026338	0.3705	-0.337	-0.58	-0.5825	-0.607	0.8025	-0.2975	-0.9685	0.398	1.007	1.288	-0.2625	-0.6855	0.9005	-0.953	0.127	-0.2775	0.195	-1.331	1.292
Bcl.xL.R.V_GBL9026339	0.8805	-0.286	0.916	-0.3505	1.544	0.5375	-0.3825	-0.5015	0.874	-0.412	0.919	-0.3705	-0.7945	0.1575	-0.636	0.499	-0.3765	0.103	-0.241	0.743
Beclin.G.V_GBL9026330	-0.1	-0.579	0.317	0.31	0.126	0.48	0.623	-0.801	0.282	0.762	-0.913	0.063	0.216	1.205	-0.533	0.127	-0.393	-0.399	-0.225	-1.19
