"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152"
"1" 0.1235 -0.413 0.034 0.495 0.125 0.195 0.097 0.469 -0.131 -0.267 -0.118 0.163 0.348 -0.423 -0.004 -0.009 0.058 -0.177 -0.077 -0.113 -0.113 0 -0.292 0.053 -0.392 -0.111 0.058 -0.141 0.136 -0.335 0.08 0.011 0.139 -0.56 -0.046 -0.91 -0.14 0.079 0 0 0 0 -0.0505 0.134 0.289 0.098 0.16 -0.018 -0.288 0.257 0.248 -0.105 0.406 0.384 -0.039 -0.11 -0.064 0.039 0.124 0.166 -0.143 0.033 -0.014 0.055 -0.149 0.211 -0.049 0.004 -0.562 0.215 0.211 -0.147 -0.177 0.079 0.034 -0.139 0.017 -0.051 0.004 -0.069 0.342 0.08 -0.234 0.507 -0.027 -0.078 -0.236 0.097 0.104 -0.02 -0.044 -0.009 -0.099 0.127 0.895 -0.614 0.059 -0.217 -0.068 0.018 -0.005 0.257 0.122 0.312 0.302 0.041 0.093 0 -0.181 0 0.56 0.176 0.312 0.434 0.488 0.128 -0.073 -0.029 -0.471 0.005 -0.125 -0.009 0.058 0.063 -0.098 -0.407 -0.298 -0.011 0 0 0 0.038 -0.316 -0.105 0.169 -0.551 0.009 0.165 0.095 -0.03 -0.115 0.042 0 -0.103 -0.211 -0.203 -0.085 0 0.023 0.104 -0.175 -0.002
"2" 0.1055 -0.3735 0.048 0.563 0.169 0.238 -0.036 0.564 0.012 -0.144 -0.05 0.228 0.466 -0.457 0.02 0.044 0.031 0.03 -0.139 -0.079 -0.088 0 -0.345 0.086 -0.162 -0.274 0.016 -0.117 -0.13 -0.352 0.079 0.094 0.072 -0.482 -0.008 -1.176 -0.176 0.053 0 0 0 0 -0.026 0.138 0.024 0.09 -0.008 -0.051 -0.239 0.319 0.219 -0.049 0.45 0.393 -0.021 -0.14 -0.035 0.022 -0.064 0.183 -0.228 0.002 0.038 0.028 -0.021 0.062 -0.112 -0.093 -0.543 0.084 0.206 -0.122 -0.146 0.008 0.008 -0.182 0.065 0.057 -0.071 -0.044 0.35 -0.002 0.188 0.611 0.034 -0.152 -0.022 0.116 0.117 -0.036 -0.091 -0.056 -0.029 0.389 0.736 -0.653 -0.063 -0.15 -0.063 0.051 0.014 0.236 0.061 0.234 0.366 0.133 0.051 0 -0.023 0 0.517 0.157 0.355 0.261 0.427 0.061 -0.099 0.061 -0.428 -0.019 -0.054 -0.039 0.037 -0.004 -0.198 -0.389 -0.366 0.085 0 0 0 -0.017 -0.259 -0.155 0.077 -0.513 -0.057 0.126 0.087 0.052 -0.04 -0.042 0 -0.051 -0.119 -0.155 0.077 0 -0.18 0.025 -0.36 0.001
"3" 0.0405 -0.2765 -0.075 0.358 0.135 0.14 -0.049 0.388 -0.167 0.011 -0.12 0.228 0.173 -0.35 -0.042 0.002 -0.125 -0.025 -0.065 -0.102 -0.031 0 -0.242 0.077 -0.459 -0.114 -0.035 -0.049 0.213 -0.224 -0.058 -0.034 -0.072 -0.532 -0.059 -0.754 -0.058 0.049 0 0 0 0 0.053 -0.102 0.113 0.054 -0.18 -0.005 -0.261 0.18 0.075 -0.345 0.264 0.328 0.046 -0.207 0.008 0.151 0.081 0.087 -0.04 0.24 0.038 0.233 -0.07 0.1 -0.045 0.119 -0.35 0.193 -0.004 -0.099 -0.063 0.175 0.11 -0.029 0.055 -0.147 -0.009 -0.063 0.107 0.136 -0.117 0.587 0.021 -0.087 -0.208 -0.006 0.173 -0.104 -0.133 0.137 -0.237 0.248 0.74 -0.688 -0.023 -0.144 -0.148 -0.068 -0.075 0.217 0.087 0.306 0.168 -0.016 -0.011 0 -0.277 0 0.44 0.406 0.192 0.32 0.397 0.109 -0.14 0.002 -0.267 0.053 0.01 0.026 0.069 0.018 -0.382 -0.519 -0.488 -0.036 0 0 0 0.024 -0.277 -0.146 0.138 -0.545 0.013 0.098 0.011 0.075 -0.029 -0.222 0 -0.026 -0.223 -0.344 -0.19 0 -0.149 -0.101 -0.319 -0.077
"4" 0.047 -0.281 0.001 0.402 0.114 0.183 0.01 0.425 -0.141 -0.202 -0.205 0.172 0.129 -0.307 -0.006 0.011 -0.091 -0.061 -0.064 -0.018 -0.03 0 -0.183 0.013 -0.397 -0.199 0.074 -0.079 0.189 -0.203 0.008 0.052 0.116 -0.52 -0.013 -0.722 -0.085 0.058 0 0 0 0 -0.037 0.053 0.134 0.015 -0.122 -0.011 -0.205 0.208 0.182 -0.194 0.251 0.292 0.027 -0.087 -0.042 0.042 0.064 0.156 -0.104 0.059 0.007 0.075 0.008 0.097 -0.072 -0.059 -0.402 0.297 0.085 -0.055 -0.11 0.12 -0.044 0.036 0.071 -0.143 -0.005 -0.042 0.06 0.091 -0.053 0.508 -0.023 -0.074 -0.227 0.022 0.206 -0.03 -0.087 0.085 -0.188 0.166 0.733 -0.588 -0.023 -0.161 -0.039 -0.012 -0.025 0.159 0.129 0.229 0.125 0.003 0.003 0 -0.243 0 0.47 0.161 0.207 0.257 0.401 0.065 -0.077 -0.007 -0.286 0.036 -0.082 0.012 0.045 0.07 -0.205 -0.357 -0.344 -0.074 0 0 0 -0.067 -0.22 -0.071 0.02 -0.436 -0.055 0.128 0.063 -0.156 -0.024 -0.084 0 -0.003 -0.121 -0.263 -0.086 0 -0.062 0.011 -0.215 0.059
"5" 0.1125 -0.2895 0.065 0.562 0.097 0.215 0.029 0.496 -0.19 -0.097 -0.047 0.266 0.251 -0.442 -0.019 -0.045 0.036 -0.021 -0.165 -0.048 -0.047 0 -0.159 0.016 -0.305 -0.275 0.078 -0.116 0.06 -0.223 0.091 0.067 -0.003 -0.406 -0.018 -0.785 -0.1 0.025 0 0 0 0 0.0035 -0.035 0.118 0.013 0.069 -0.044 -0.162 0.337 0.211 -0.091 0.382 0.372 -0.051 -0.114 -0.126 -0.036 0.036 0.181 -0.115 -0.109 0.002 -0.031 -0.055 0.071 0.001 -0.007 -0.336 0.056 0.017 -0.024 -0.126 -0.042 0.031 -0.075 0.04 0.077 0.028 -0.06 0.32 0.042 0.157 0.499 -0.006 -0.021 -0.132 0.039 0.114 0.02 -0.114 -0.01 -0.115 0.211 0.621 -0.617 -0.044 -0.073 0.021 0.143 0.054 0.218 0.076 0.182 0.298 0.126 0.006 0 -0.153 0 0.527 0.118 0.376 0.13 0.246 -0.118 -0.016 0.091 -0.297 -0.096 0.011 0.062 0.074 0.028 -0.017 -0.261 -0.173 -0.01 0 0 0 -0.083 -0.184 -0.154 0.041 -0.524 -0.061 0.106 0 -0.04 -0.015 0.028 0 -0.179 -0.141 -0.06 0.044 0 -0.038 0.137 -0.216 0.037
"6" 0.066 -0.261 -0.026 0.144 0.02 0.043 0.153 0.256 -0.01 -0.027 -0.11 0.17 -0.05 -0.26 0.019 -0.075 -0.099 -0.117 -0.083 0.036 0.011 0 -0.073 -0.016 -0.459 -0.015 0.132 -0.049 0.254 -0.111 -0.054 -0.048 0.063 -0.258 0.039 -0.474 -0.019 0.058 0 0 0 0 0.0015 -0.22 0.264 -0.074 -0.019 0.007 -0.027 0.107 0.07 -0.346 0.181 0.247 -0.012 -0.056 0.005 0.049 0.07 0.13 -0.045 -0.001 0.034 -0.007 -0.136 -0.06 -0.009 0.069 -0.205 0.097 -0.064 0.001 -0.229 0.102 0.045 0.041 0.136 -0.013 -0.041 -0.062 0.028 0.137 -0.254 0.394 0.02 -0.04 -0.233 -0.105 0.064 -0.04 -0.08 0.08 -0.276 0.105 0.682 -0.548 0.064 -0.117 0.001 0.018 -0.001 0.118 0.003 0.256 0.13 0.014 0.044 0 -0.348 0 0.343 0.147 0.154 0.45 0.502 -0.024 -0.044 -0.01 -0.293 0.108 0.124 0.032 -0.007 -0.03 0.073 -0.271 -0.294 -0.154 0 0 0 -0.086 -0.23 -0.136 0.151 -0.397 -0.044 0.091 0.022 0.226 -0.022 -0.048 0 -0.193 -0.107 -0.153 -0.058 0 0.017 -0.003 -0.118 0.041
"7" -0.0655 -0.076 -0.127 0.15 -0.098 -0.047 0.179 0.082 -0.114 -0.05 -0.131 0.015 -0.105 0.012 -0.013 -0.032 -0.087 0.02 -0.019 -0.001 0.036 0 -0.025 -0.031 -0.288 -0.079 0.025 -0.046 0.366 -0.154 -0.108 -0.001 0.115 -0.091 -0.014 -0.69 -0.008 0.054 0 0 0 0 -0.0525 0.048 0.325 -0.003 -0.133 -0.032 0.009 -0.043 0.086 0.099 0.012 0.071 0.028 -0.013 -0.076 0.064 0.145 0.068 0.009 0.012 0.035 0.012 -0.122 0.139 -0.005 -0.096 -0.099 0.032 -0.093 0.05 -0.021 0.108 -0.016 0.097 0.133 0.058 0.041 -0.029 0.075 0.074 -0.246 0.216 0.002 0.014 -0.197 -0.057 0.026 0.016 -0.01 0.092 -0.305 0.085 0.687 -0.368 0.02 -0.064 -0.055 -0.029 0.022 -0.009 0.029 0.145 -0.004 -0.051 0 0 -0.334 0 0.322 0.035 0.036 0.182 0.317 -0.021 -0.025 -0.036 -0.12 0.002 -0.052 -0.008 -0.005 -0.024 -0.006 -0.321 -0.33 -0.106 0 0 0 -0.129 -0.209 -0.079 -0.049 -0.312 -0.104 0.068 -0.011 0.109 -0.015 -0.012 0 -0.008 -0.057 -0.183 -0.119 0 0.089 -0.08 -0.184 0.102
"8" 0.156 -0.0205 -0.029 0.294 -0.046 -0.028 0.018 0.139 0.019 -0.069 -0.11 0.042 -0.044 -0.214 0.004 0.015 -0.006 0.074 -0.012 -0.023 -0.01 0 -0.112 0.009 -0.162 -0.123 0.061 -0.075 -0.018 -0.144 -0.057 0.015 0.057 -0.118 -0.04 -0.823 -0.064 -0.038 0 0 0 0 -0.1235 0.045 -0.016 -0.007 -0.165 -0.019 -0.076 0.056 0.065 -0.034 0.054 0.12 -0.053 -0.111 -0.048 0.008 -0.002 0.059 -0.1 0.05 0.072 0.083 0.008 -0.027 -0.021 -0.068 -0.092 -0.053 -0.029 -0.039 0.014 0.026 0.031 -0.024 0.049 -0.084 0.074 -0.026 0.303 0.046 -0.17 0.25 0.021 -0.072 -0.139 0.003 0.08 -0.029 -0.019 -0.01 -0.218 0.215 0.397 -0.38 -0.166 -0.02 -0.102 -0.015 -0.034 0.098 0.183 0.145 0.094 0.052 0.091 0 0.028 0 0.22 0.068 0.041 0.145 0.194 0.065 0.013 0.078 -0.174 -0.049 0.031 -0.055 0.004 -0.05 -0.031 -0.286 -0.274 -0.016 0 0 0 -0.045 -0.02 -0.042 0.01 -0.252 -0.072 0.013 -0.012 0.146 0.005 -0.043 0 0.062 -0.058 -0.078 -0.08 0 -0.206 -0.122 -0.274 -0.001
"9" 0.109 -0.068 -0.082 0.045 -0.048 -0.166 0.09 -0.037 -0.179 -0.012 -0.036 -0.06 -0.022 -0.083 -0.044 -0.055 -0.044 -0.147 -0.062 -0.037 0.006 0 -0.096 0.041 -0.124 -0.136 0.06 -0.032 0.107 -0.104 -0.185 -0.111 0.142 0.007 0.077 -0.488 0.011 -0.013 0 0 0 0 -0.155 -0.103 0.048 -0.083 -0.102 0.006 0.001 -0.136 -0.048 -0.246 -0.023 0.082 -0.024 -0.093 0.043 -0.004 0.05 0.05 -0.123 0.01 -0.019 0.029 -0.106 -0.017 0.007 0.028 -0.11 0.01 -0.037 -0.001 -0.175 0.015 -0.009 0.043 0.053 0.039 -0.022 -0.099 -0.101 -0.01 0.056 0.274 0.009 -0.007 -0.177 -0.022 0.016 -0.057 -0.008 -0.001 -0.234 0.133 0.397 -0.257 -0.096 0.059 -0.022 -0.008 0.05 0.017 -0.018 0.088 0 0.016 0.034 0 -0.153 0 0.09 0.022 -0.097 0.104 -0.005 -0.069 -0.048 0.035 -0.012 0.027 -0.073 0.013 -0.009 -0.036 0.065 -0.189 -0.185 -0.08 0 0 0 -0.125 -0.183 -0.125 -0.011 -0.148 -0.078 -0.017 0.004 0.102 -0.016 0.009 0 -0.055 -0.057 -0.24 -0.047 0 -0.131 -0.079 -0.125 0.034
"10" 0.0785 -0.118 0.033 0.016 0.024 -0.021 0.168 0.131 0.024 0.008 -0.016 0.057 -0.055 -0.086 -0.072 -0.075 0.076 0.061 -0.122 -0.058 -0.032 0 -0.01 0.033 -0.024 -0.138 0.076 -0.087 0.09 -0.076 -0.048 0.003 0.022 0.074 0.075 -0.474 -0.098 0.003 0 0 0 0 -0.021 0.029 0.099 -0.04 0.089 -0.011 0.029 -0.048 0.088 -0.114 0.039 0.133 -0.05 -0.033 0.057 -0.011 0.173 0.054 -0.123 0.04 -0.034 0.022 -0.049 0.114 -0.064 0.044 -0.196 0.068 0.021 -0.056 0.007 0.052 -0.047 -0.025 0.031 0.043 0.155 -0.129 0.063 -0.044 -0.294 0.135 -0.089 -0.006 -0.11 -0.016 -0.064 0.059 0.035 -0.103 0.041 -0.02 0.268 -0.204 0.103 0.088 -0.039 0.07 0.081 0.049 0.133 0.087 -0.005 0.078 -0.025 0 0.01 0 0.089 0.039 0.07 0.005 0.005 -0.039 0.095 0.047 -0.078 -0.029 -0.084 0.003 0.025 -0.01 0.322 0.076 0.069 0.031 0 0 0 -0.152 -0.167 -0.008 0.026 -0.035 -0.001 -0.009 0.048 0.218 0.011 0.065 0 -0.211 -0.002 -0.021 0.016 0 0.039 0.083 -0.007 0.08
