sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
1	A2058	901	5min	AKT	3.87552112153798	0.0459206959472643	Good	2.13880856597019
2	A2058	AK	5min	AKT	3.07218045180577	0.0332397144936535	Good	1.56305288822476
3	A2058	Nt	5min	AKT	3.04284728846875	0.0737355044837613	Good	1.5737508603407
4	A2058	PLX	5min	AKT	0.0997981299704575	1.36212842060596	Poor	0.0544749617742672
5	A2058	SR	5min	AKT	3.38261067068501	0.0728378193516395	Good	1.78032140562369
6	A2058	St	5min	AKT	3.35252543626623	0.0345558401584995	Good	1.79663742565178
7	A2058	Tm 	5min	AKT	3.93481763881521	0.0452072771145489	Good	1.93833381222424
8	A2058	991	5min	AKT	4.08934825269576	0.0505150976803813	Undet.	1.97505349079728
9	A2058	901	15min	AKT	3.15437937503959	0.0328133211520051	Good	1.86539288884659
10	A2058	AK	15min	AKT	4.03881130352145	0.0303011414275308	Good	2.25191597631528
11	A2058	Nt	15min	AKT	3.3607046043327	0.168348318553862	Undet.	1.96532433001912
12	A2058	PLX	15min	AKT	2.83939700676957	0.145492682041155	Good	1.83305165059365
13	A2058	SR	15min	AKT	4.18978770404795	0.0345067964865053	Good	2.38259181350466
14	A2058	St	15min	AKT	3.79109542119368	0.0322507745729457	Good	2.23663446678093
15	A2058	Tm 	15min	AKT	3.2107700429819	0.0324096892290557	Good	1.99426710744217
16	A2058	991	15min	AKT	3.78412315740813	0.0353529369155073	Good	2.05938675233096
17	A2058	901	30min	AKT	3.6474391731685	0.0367141733794292	Good	2.18474942987032
18	A2058	AK	30min	AKT	2.02514465304252	0.428379071787994	Poor	1.23034304559084
19	A2058	Nt	30min	AKT	3.65790407837384	0.10344917521873	Poor	1.9713845747097
20	A2058	PLX	30min	AKT	3.58237945056535	0.0909529134293589	Good	2.05352791663247
21	A2058	SR	30min	AKT	3.92443021434867	0.0428423489852596	Good	2.07696756514881
22	A2058	St	30min	AKT	4.50569386191874	0.0383735703076313	Good	2.55787332496097
23	A2058	Tm 	30min	AKT	4.23671670116664	0.0402087528240512	Good	2.26441298833065
24	A2058	991	30min	AKT	4.3135706831226	0.0356431164126491	Good	2.30981027208707
25	A2058	901	1hr	AKT	3.9057053634703	0.0358193165918853	Good	2.3542527808742
26	A2058	AK	1hr	AKT	4.01803609268486	0.0456959064348381	Good	2.19504839807968
27	A2058	Nt	1hr	AKT	3.81836073605658	0.0761038327057503	Good	2.27148169902236
28	A2058	PLX	1hr	AKT	3.56426567731344	0.0385164781816351	Good	1.88735275473309
29	A2058	SR	1hr	AKT	4.08717505604587	0.0354049621522271	Good	2.24262005818703
30	A2058	St	1hr	AKT	3.5079442981336	0.0442875026768324	Good	1.84095738553325
31	A2058	Tm 	1hr	AKT	3.34513952286597	0.0422209735070287	Good	1.98642489481352
32	A2058	991	1hr	AKT	3.8727333288132	0.061970673736527	Good	1.99009934676937
33	A2058	901	12hr	AKT	3.13127701866505	0.0379625252295617	Good	1.94852334702243
34	A2058	AK	12hr	AKT	3.20026937553296	0.15004845720918	Good	1.92439529496871
35	A2058	Nt	12hr	AKT	3.95204417115453	0.0345009195187059	Good	2.29970565676726
36	A2058	PLX	12hr	AKT	3.47077622704658	0.0379131529985674	Good	2.04283474222871
37	A2058	SR	12hr	AKT	3.54303207180759	0.0647623940255903	Good	2.17230660441912
38	A2058	St	12hr	AKT	4.16586123679298	0.0464356609383878	Good	2.40176491022945
39	A2058	Tm 	12hr	AKT	4.14528406755765	0.0336801113793676	Good	2.52069569325488
40	A2058	991	12hr	AKT	3.79660914484071	0.0385634655591468	Good	2.13292648586557
41	A2058	901	24hr	AKT	2.27428679682942	0.0822908529190678	Good	1.78235642384751
42	A2058	AK	24hr	AKT	2.00269671371444	0.115328007184669	Good	1.65307198820837
43	A2058	Nt	24hr	AKT	1.44030180871973	0.439298891170712	Poor	1.07205196034219
44	A2058	PLX	24hr	AKT	2.07619385487602	0.119661973590919	Good	1.46056549762647
45	A2058	SR	24hr	AKT	2.15187053716042	0.0337810742290924	Good	1.5464394805321
46	A2058	St	24hr	AKT	2.15355498518145	0.0365849611135447	Undet.	1.67396423255457
47	A2058	Tm 	24hr	AKT	2.1695763098464	0.0669256311577517	Good	2.26115300661428
48	A2058	991	24hr	AKT	2.35294563225124	0.0569189358705991	Good	2.04871191314866
49	A2058	901	48hr	AKT	3.51942550921754	0.0455915982889348	Good	1.93907741554685
50	A2058	AK	48hr	AKT	3.90023373012724	0.0628566308307025	Good	2.27286347909513
51	A2058	Nt	48hr	AKT	5.04475674381141	0.0701833972298269	Undet.	2.14624834878171
52	A2058	PLX	48hr	AKT	4.58484118881922	0.0807558838950279	Good	2.22673200039787
53	A2058	SR	48hr	AKT	5.09912154396638	0.0479956922113576	Good	2.24581437743509
54	A2058	St	48hr	AKT	4.99574801255079	0.0460511517444004	Good	2.24578467635459
55	A2058	Tm 	48hr	AKT	5.1896957709776	0.0387270534063694	Good	3.09555369578145
56	A2058	991	48hr	AKT	7.15175772543894	0.031132285196304	Good	2.9955006179849
57	A2058	DMSO	5min	AKT	4.72162332893299	0.0363147310231337	Good	2.45342859388568
58	A2058	DMSO	15min	AKT	4.2191735216378	0.0371363794389204	Good	2.33361367347223
59	A2058	DMSO	30min	AKT	3.84501283295276	0.0966456642396994	Undet.	2.16681478329262
60	A2058	DMSO	1hr	AKT	4.01745590351626	0.079336436361027	Good	2.28199710509302
61	A2058	DMSO	12hr	AKT	3.57489548551858	0.0359949749311523	Good	2.2211217679519
62	A2058	DMSO	24hr	AKT	2.00346408022903	0.039622285295048	Good	1.78641469480966
63	A2058	DMSO	48hr	AKT	6.26233517615862	0.0328724205609205	Good	2.62296761305073
64	A2058	DMSO-2	mix	AKT	3.63291772660429	0.0357787699418359	Good	1.65132623936559
65	Mel133	DMSO-2	mix	AKT	4.34960666997523	0.0324417435519355	Good	2.07124127141678
1	A2058	901	5min	AKT-pS473	0.964929045387226	0.0568699888602076	Good	0.532521548226946
2	A2058	AK	5min	AKT-pS473	0.228530387515375	0.056170449848834	Good	0.116270866199631
3	A2058	Nt	5min	AKT-pS473	0.679735483054829	0.0721304344762109	Undet.	0.351557012182482
4	A2058	PLX	5min	AKT-pS473	0.577859848575225	0.284573927312191	Poor	0.315425681536695
5	A2058	SR	5min	AKT-pS473	0.660672287024076	0.0752592720704757	Good	0.347722256328461
6	A2058	St	5min	AKT-pS473	0.730922908260648	0.0693980526179649	Good	0.391705738617711
7	A2058	Tm 	5min	AKT-pS473	0.889260021833088	0.054719820632701	Good	0.438059124055708
8	A2058	991	5min	AKT-pS473	0.863583000509317	0.142366643948991	Good	0.417089109156879
9	A2058	901	15min	AKT-pS473	0.648871961112866	0.0596961418287367	Good	0.383720852225231
10	A2058	AK	15min	AKT-pS473	0.0790376334713817	0.128888416861636	Undet.	0.0440689341909014
11	A2058	Nt	15min	AKT-pS473	0.850775005873607	0.0651860075183242	Undet.	0.49752924320094
12	A2058	PLX	15min	AKT-pS473	0.693799357174033	0.14300205336601	Good	0.447901457181429
13	A2058	SR	15min	AKT-pS473	1.106771642881	0.0613639475588077	Good	0.629383931123685
14	A2058	St	15min	AKT-pS473	0.970255922544768	0.0583414383535441	Good	0.572422373182754
15	A2058	Tm 	15min	AKT-pS473	0.795241902074584	0.0553663620768684	Good	0.493939069611543
16	A2058	991	15min	AKT-pS473	0.873327021303237	0.0608591839314654	Good	0.475280011593598
