antibodyNames	ratios2
AKT	8.55601485238403
AKT-pS473	1.76473266438348
Aurora-A-pT288	0.32775862714599
b-Actin	4.1898526508018
b-Catenin	5.84776545515142
c-JUN-pS73	1.21509642262901
c-MYC	1.33601094080558
Caspase3 (Asp175) Cleaved	0.0825537746505425
Cyclin-D1	2.82455990468156
EGFR-pY1068	2.31280880901163
ERK1/2	4.56238794332827
ERK1/2-pT202/Y204	3.3493486235895
GAPDH	0.465576939043927
GSK3a-pS21/GSK3b-pS9	2.12024537961809
HER2-pY1248	0.0746081990191179
HER3-pY1289	0.738755547335507
IGF1R-pY1162/3	0.941844048609358
IGF1Rb	0.215187864007676
MEK1/2	0.156648469817037
MEK1/2-pS217/221	0.56062817202999
MET	4.29443311452899
MET-pY1234/5	2.06935531014573
MITF	0.0331869374624039
mTOR	1.50753757784233
mTOR-pS2448	1.25660888649791
p53	0.285201586866045
PDGFRb-pY1021	0.768533332899195
PTEN	0.416486377426912
RB	0.617848171324625
RB-pS780	1.59860804147493
RPS6-pS235/6	2.03196178213468
SMAD3-pS423/5	18.5043111670313
SRC-pY416	0.325196466403405
STAT3-pY705	0.460176208718064
VEGFR2-pY1059	0.346675602620832
buffer control	0.143861998529876
