prot	fs
X14.3.3_epsilon.M.C_GBL9026348	-1
X4E.BP1.R.V_GBL9026169	-1
X4E.BP1_pS65.R.V_GBL9026170	1
X53BP1.R.C_GBL9026171	-1
ACC_pS79.R.V_GBL9026172	1
ACC1.R.C_GBL9026173	1
AIB1.M.V_GBL9026302	1
Akt.R.V_GBL9026174	1
Akt_pS473.R.V_GBL9026175	1
Akt_pT308.R.V_GBL9026176	1
alpha.Catenin.M.V_GBL9026304	-1
AMPK_alpha.R.C_GBL9026177	1
AMPK_pT172.R.V_GBL9026178	1
Annexin_I.R.V_GBL9026179	-1
AR.R.V_GBL9026335	1
Bad_pS112.R.V_GBL9026336	1
Bak.R.C_GBL9026182	-1
Bax.R.V_GBL9026183	-1
Bcl.2.M.V_GBL9026303	1
Bcl.X.R.C_GBL9026338	1
Bcl.xL.R.V_GBL9026339	1
Beclin.G.V_GBL9026330	0
beta.Catenin.R.V_GBL9026194	1
Bid.R.C_GBL9026340	-1
Bim.R.V_GBL9026351	-1
c.Jun_pS73.R.C_GBL9026231	1
c.Kit.R.V_GBL9026344	1
c.Met.M.C_GBL9026314	1
c.Met_pY1235.R.C_GBL9026236	1
c.Myc.R.C_GBL9026241	1
C.Raf.R.V_GBL9026278	1
C.Raf_pS338.R.C_GBL9026279	1
Caspase.3_active.R.C_GBL9026352	-1
Caspase.7_cleavedD198.R.C_GBL9026353	-1
Caspase.9_cleavedD330.R.C_GBL9026193	-1
Caveolin.1.R.V_GBL9026195	1
CD31.M.V_GBL9026349	1
CDK1.R.V_GBL9026196	1
Chk1.R.C_GBL9026197	0
Chk1_pS345.R.C_GBL9026198	0
Chk2.M.C_GBL9026306	0
Chk2_pT68.R.C_GBL9026199	0
cIAP.R.V_GBL9026200	1
Claudin.7.R.V_GBL9026201	1
Collagen_VI.R.V_GBL9026202	1
COX.2.R.C_GBL9026203	1
Cyclin_B1.R.V_GBL9026204	1
Cyclin_D1.R.V_GBL9026205	1
Cyclin_E1.M.V_GBL9026308	1
DJ.1.R.C_GBL9026206	1
Dvl3.R.V_GBL9026207	1
E.Cadherin.R.V_GBL9026188	-1
eEF2.R.V_GBL9026208	1
eEF2K.R.V_GBL9026209	1
EGFR.R.C_GBL9026210	1
EGFR.CST2232..R.C_GBL9026334	1
EGFR_pY1068.R.V_GBL9026211	1
EGFR_pY1173.R.C_GBL9026212	1
EGFR_pY992.R.V_GBL9026213	1
eIF4E.R.V_GBL9026214	1
ER.alpha.R.V_GBL9026215	1
ER.alpha_pS118.R.V_GBL9026217	1
ERCC1.M.C_GBL9026309	1
FAK.R.C_GBL9026218	1
Fibronectin.R.C_GBL9026216	1
FOXO3a.R.C_GBL9026219	1
FOXO3a_pS318_S321.R.C_GBL9026220	-1
GATA3.M.V_GBL9026310	-1
GSK3.alpha.beta.M.V_GBL9026312	-1
GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	1
GSK3_pS9.R.V_GBL9026221	1
HER2.M.V_GBL9026313	1
HER2_pY1248.R.V_GBL9026223	1
HER3.R.V_GBL9026224	1
HER3_pY1298.R.C_GBL9026225	1
IGF.1R.beta.R.C_GBL9026226	1
IGFBP2.R.V_GBL9026227	1
