Sample_description	GORDER	X14.3.3_epsilon.M.C_GBL9026348	X4E.BP1.R.V_GBL9026169	X4E.BP1_pS65.R.V_GBL9026170	X53BP1.R.C_GBL9026171	ACC_pS79.R.V_GBL9026172	ACC1.R.C_GBL9026173	AIB1.M.V_GBL9026302	Akt.R.V_GBL9026174	Akt_pS473.R.V_GBL9026175	Akt_pT308.R.V_GBL9026176	alpha.Catenin.M.V_GBL9026304	AMPK_alpha.R.C_GBL9026177	AMPK_pT172.R.V_GBL9026178	Annexin_I.R.V_GBL9026179	AR.R.V_GBL9026335	Bad_pS112.R.V_GBL9026336	Bak.R.C_GBL9026182	Bax.R.V_GBL9026183	Bcl.2.M.V_GBL9026303	Bcl.X.R.C_GBL9026338	Bcl.xL.R.V_GBL9026339	Beclin.G.V_GBL9026330	beta.Catenin.R.V_GBL9026194	Bid.R.C_GBL9026340	Bim.R.V_GBL9026351	c.Jun_pS73.R.C_GBL9026231	c.Kit.R.V_GBL9026344	c.Met.M.C_GBL9026314	c.Met_pY1235.R.C_GBL9026236	c.Myc.R.C_GBL9026241	C.Raf.R.V_GBL9026278	C.Raf_pS338.R.C_GBL9026279	Caspase.3_active.R.C_GBL9026352	Caspase.7_cleavedD198.R.C_GBL9026353	Caspase.9_cleavedD330.R.C_GBL9026193	Caveolin.1.R.V_GBL9026195	CD31.M.V_GBL9026349	CDK1.R.V_GBL9026196	Chk1.R.C_GBL9026197	Chk1_pS345.R.C_GBL9026198	Chk2.M.C_GBL9026306	Chk2_pT68.R.C_GBL9026199	cIAP.R.V_GBL9026200	Claudin.7.R.V_GBL9026201	Collagen_VI.R.V_GBL9026202	COX.2.R.C_GBL9026203	Cyclin_B1.R.V_GBL9026204	Cyclin_D1.R.V_GBL9026205	Cyclin_E1.M.V_GBL9026308	DJ.1.R.C_GBL9026206	Dvl3.R.V_GBL9026207	E.Cadherin.R.V_GBL9026188	eEF2.R.V_GBL9026208	eEF2K.R.V_GBL9026209	EGFR.R.C_GBL9026210	EGFR.CST2232..R.C_GBL9026334	EGFR_pY1068.R.V_GBL9026211	EGFR_pY1173.R.C_GBL9026212	EGFR_pY992.R.V_GBL9026213	eIF4E.R.V_GBL9026214	ER.alpha.R.V_GBL9026215	ER.alpha_pS118.R.V_GBL9026217	ERCC1.M.C_GBL9026309	FAK.R.C_GBL9026218	Fibronectin.R.C_GBL9026216	FOXO3a.R.C_GBL9026219	FOXO3a_pS318_S321.R.C_GBL9026220	GATA3.M.V_GBL9026310	GSK3.alpha.beta.M.V_GBL9026312	GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	GSK3_pS9.R.V_GBL9026221	HER2.M.V_GBL9026313	HER2_pY1248.R.V_GBL9026223	HER3.R.V_GBL9026224	HER3_pY1298.R.C_GBL9026225	IGF.1R.beta.R.C_GBL9026226	IGFBP2.R.V_GBL9026227	INPP4B.G.C_GBL9026331	IRS1.R.V_GBL9026228	JNK_pT183_pT185.R.V_GBL9026343	JNK2.R.C_GBL9026230	K.Ras.M.C_GBL9026322	MAPK_pT202_Y204.R.V_GBL9026233	MEK1.R.V_GBL9026234	MEK1_pS217_S221.R.V_GBL9026345	MIG.6.M.V_GBL9026315	Mre11.R.C_GBL9026237	MSH2.M.C_GBL9026316	MSH6.R.C_GBL9026238	mTOR.R.V_GBL9026239	mTOR_.pS2448.R.C_GBL9026240	N.Cadherin.R.V_GBL9026341	NF.kB.p65_pS536.R.C_GBL9026242	NF2.R.C_GBL9026243	Notch1.R.V_GBL9026244	Notch3.R.C_GBL9026246	P.Cadherin.R.C_GBL9026342	p21.R.C_GBL9026247	p27.R.V_GBL9026248	p27_pT157.R.C_GBL9026249	p27_pT198.R.V_GBL9026250	p38_MAPK.R.C_GBL9026251	p38_pT180_Y182.R.V_GBL9026252	p53.R.V_GBL9026346	p70S6K.R.V_GBL9026254	p70S6K_pT389.R.V_GBL9026255	p90RSK_pT359_S363.R.C_GBL9026256	PARP_cleaved.M.C_GBL9026317	Paxillin.R.V_GBL9026257	PCNA.M.V_GBL9026318	PDK1_pS241.R.V_GBL9026258	PI3K.p110.alpha.R.C_GBL9026269	PI3K.p85.R.V_GBL9026270	PKC.alpha.M.V_GBL9026319	PKC.alpha_pS657.R.V_GBL9026271	PR.R.V_GBL9026272	PRAS40_pT246.R.V_GBL9026273	PTCH.R.C_GBL9026274	PTEN.R.V_GBL9026275	Rab11.R.V_GBL9026276	Rab25.R.C_GBL9026277	Rad50.M.C_GBL9026320	Rad51.M.C_GBL9026321	Rb.M.V_GBL9026323	Rb_pS807_S811.R.V_GBL9026280	S6_pS235_S236.R.V_GBL9026281	S6_pS240_S244.R.V_GBL9026282	Smac.M.V_GBL9026324	Smad1.R.V_GBL9026283	Smad3.R.V_GBL9026284	Smad4.M.V_GBL9026325	Snail.M.C_GBL9026326	Src.M.V_GBL9026327	Src_pY416.R.C_GBL9026285	Src_pY527.R.V_GBL9026286	STAT3_pY705.R.V_GBL9026287	STAT5.alpha.R.V_GBL9026288	Stathmin.R.V_GBL9026289	Syk.M.V_GBL9026328	Tau.M.C_GBL9026329	TAZ_pS89.R.C_GBL9026290	TFF1.R.V_GBL9026291	TIGAR.R.V_GBL9026292	Tuberin.R.C_GBL9026293	VASP.R.C_GBL9026294	VEGFR2.R.V_GBL9026347	XIAP.R.C_GBL9026296	XRCC1.R.C_GBL9026297	YAP.R.V_GBL9026298	YAP_pS127.R.C_GBL9026299	YB.1.R.V_GBL9026332	YB.1_pS102.R.V_GBL9026333
238_OVCAR3_JQ|5_1_1_JQ1Tr_SD	2	-0.019	-0.070	-0.192	-0.405	-0.380	-0.320	-0.048	0.073	-0.430	0.273	0.086	-0.293	-0.644	0.109	-0.023	-0.038	0.033	0.151	0.067	-0.043	0.068	-0.020	-0.433	0.036	0.687	0.373	0.112	0.055	0.023	-0.138	-0.064	-0.208	-0.035	0.334	0.094	-0.603	0.035	-0.091	-0.031	0.284	-0.148	-0.094	-0.151	0.283	0.624	0.048	-0.382	-0.027	-0.367	-0.050	0.004	1.064	0.003	0.027	0.123	0.011	-0.142	0.097	0.022	0.093	-0.005	0.125	0.043	0.048	0.096	0.364	-0.077	-0.100	0.062	-0.232	-0.069	-0.028	-0.105	-0.171	0.126	0.129	0.176	0.088	0.026	0.041	-0.150	0.160	0.230	0.193	0.065	0.062	0.099	-0.540	-0.250	-0.273	-0.484	0.349	-0.154	-0.046	0.678	-1.124	0.101	0.439	0.045	-0.095	-0.055	0.011	0.076	-0.047	0.058	-0.792	0.052	-0.078	-0.415	0.130	0.307	-0.178	0.177	0.329	0.315	0.061	-0.176	-0.205	0.248	0.132	-0.060	0.112	0.044	0.021	-0.613	-1.747	-1.681	0.380	0.027	0.037	0.206	-0.173	-0.278	-0.296	0.207	-0.039	0.003	0.120	-0.467	-0.534	-0.007	-0.057	0.044	-0.465	0.006	-0.098	-0.522	0.061	0.019	-0.368	-0.056	-0.054
239_OVCAR3_JQ|2.5_1_1_JQ1Tr_SD	3	-0.030	0.004	-0.140	-0.388	-0.412	-0.268	-0.040	0.182	-0.604	0.276	0.056	-0.207	-0.635	0.121	-0.008	-0.031	0.127	0.148	0.027	-0.023	0.064	-0.023	-0.380	0.054	0.636	0.322	0.134	0.066	0.021	-0.137	0.039	-0.133	-0.150	0.247	0.055	-0.531	0.006	0.003	-0.035	0.095	-0.081	-0.050	-0.105	0.109	0.524	0.125	-0.158	-0.061	-0.369	0.027	0.114	0.942	0.074	0.094	0.089	0.021	-0.158	0.144	0.017	0.155	-0.003	0.141	-0.010	0.086	0.061	0.353	-0.066	-0.152	0.203	-0.248	-0.045	-0.033	-0.172	-0.241	0.120	0.162	0.143	0.109	0.082	-0.027	-0.077	0.099	0.092	0.224	0.009	0.102	0.114	-0.475	-0.209	-0.197	-0.440	0.241	-0.039	0.057	0.592	-1.085	0.028	0.303	-0.001	-0.103	-0.106	0.095	0.133	0.004	0.121	-0.660	0.096	-0.101	-0.281	0.150	0.349	-0.084	0.272	0.309	0.350	-0.029	-0.176	-0.246	0.345	0.102	-0.045	0.097	0.079	0.012	-0.469	-1.393	-1.362	0.290	0.021	0.053	0.142	-0.182	-0.313	-0.266	0.202	-0.056	0.040	0.170	-0.332	-0.464	-0.005	-0.057	0.114	-0.317	0.003	-0.029	-0.433	-0.004	0.163	-0.351	0.010	-0.027
240_OVCAR3_JQ|1.25_1_1_JQ1Tr_SD	4	-0.001	-0.056	-0.124	-0.398	-0.418	-0.277	-0.067	0.152	-0.334	0.326	0.034	-0.130	-0.583	0.063	0.051	0.046	-0.112	0.013	0.011	0.028	0.076	-0.025	-0.368	0.062	0.459	0.310	0.126	0.036	-0.079	-0.328	-0.076	-0.137	-0.109	0.226	0.156	-0.475	0.009	0.028	0.029	0.166	-0.098	0.015	-0.049	0.130	0.397	0.151	-0.145	0.010	-0.310	0.060	0.149	0.998	0.111	0.040	0.046	0.001	-0.156	-0.017	0.391	0.118	0.015	0.008	0.105	0.025	-0.004	0.307	-0.034	-0.036	0.066	-0.223	-0.030	-0.092	-0.201	-0.265	0.089	0.197	0.218	0.026	-0.031	0.041	0.008	0.165	0.164	0.158	0.072	0.080	-0.031	-0.499	-0.335	-0.180	-0.304	0.181	-0.110	-0.362	0.500	-1.093	-0.055	0.316	0.008	-0.047	-0.095	0.070	-0.020	-0.010	0.110	-0.558	0.097	0.020	-0.215	0.131	0.279	-0.134	0.148	0.220	0.251	-0.174	-0.243	-0.295	0.241	0.028	0.018	0.074	0.066	0.013	-0.508	-1.276	-1.232	0.202	-0.002	0.008	0.075	-0.192	-0.308	-0.185	0.138	-0.050	-0.058	0.175	-0.489	-0.503	0.014	-0.037	0.120	-0.420	0.013	-0.031	-0.396	-0.035	-0.020	-0.355	-0.070	-0.013
261_OVCAR3_JQ|0.63_1_1_JQ1Tr_SD	5	-0.041	0.043	-0.075	-0.223	-0.346	-0.232	-0.118	0.147	-0.185	0.239	0.090	-0.177	-0.580	0.106	0.003	0.017	-0.035	0.014	-0.025	-0.021	0.058	-0.022	-0.335	0.002	0.542	0.346	0.067	-0.005	-0.059	-0.099	-0.045	-0.143	-0.137	0.191	0.107	-0.460	0.012	-0.013	-0.042	0.060	-0.094	-0.067	-0.101	0.100	0.499	0.056	-0.298	0.029	-0.168	0.078	0.063	0.848	0.049	0.032	0.103	0.015	-0.099	0.024	-0.042	0.109	-0.030	0.033	-0.003	-0.031	0.025	0.264	-0.004	-0.064	0.067	-0.227	-0.119	-0.041	-0.129	-0.147	0.075	0.151	0.044	0.050	0.022	-0.010	-0.139	0.118	0.145	0.154	0.010	0.035	0.003	-0.429	-0.198	-0.203	-0.304	0.220	-0.099	0.034	0.510	-0.974	-0.040	0.252	-0.030	-0.100	-0.024	0.022	0.098	-0.064	0.070	-0.487	0.149	-0.148	-0.324	0.084	0.278	-0.014	0.228	0.174	0.173	0.022	-0.136	-0.304	0.270	0.137	0.052	0.022	0.075	-0.004	-0.467	-1.041	-1.058	0.240	0.072	-0.021	-0.077	-0.184	-0.297	-0.251	0.259	-0.103	-0.111	0.110	-0.389	-0.749	0.001	-0.098	0.061	-0.388	-0.019	-0.032	-0.492	0.046	0.095	-0.422	-0.107	-0.053
262_OVCAR3_JQ|0.31_1_1_JQ1Tr_SD	6	-0.019	-0.074	-0.106	-0.250	-0.311	-0.186	-0.016	0.053	-0.392	0.240	0.053	-0.143	-0.508	-0.022	0.000	-0.003	-0.069	0.096	0.027	-0.030	0.077	-0.116	-0.347	0.027	0.448	0.382	0.131	0.008	0.045	-0.081	0.002	-0.200	-0.152	0.220	0.067	-0.460	0.102	0.040	-0.021	-0.028	-0.097	-0.079	-0.091	0.110	0.584	0.049	-0.317	-0.001	-0.030	-0.075	0.079	0.740	0.035	0.022	0.059	0.085	-0.151	0.033	0.081	0.105	-0.056	0.028	0.014	-0.020	0.018	0.217	-0.029	-0.066	0.101	-0.326	-0.150	0.054	-0.086	-0.026	0.057	0.155	0.115	0.063	0.001	0.017	-0.018	0.087	0.360	0.174	0.038	0.094	-0.008	-0.390	-0.098	-0.139	-0.068	0.217	-0.096	0.026	0.478	-0.841	0.003	0.059	0.045	-0.024	-0.051	-0.001	0.026	0.048	0.015	-0.398	0.016	-0.056	-0.345	0.124	0.238	-0.100	0.126	0.164	0.111	-0.091	-0.207	-0.195	0.173	0.110	0.004	0.094	0.098	0.024	-0.438	-0.757	-0.660	0.278	-0.008	-0.055	0.009	-0.151	-0.289	-0.242	0.205	-0.039	-0.148	0.046	-0.359	-0.655	0.013	-0.031	0.004	-0.250	-0.014	-0.093	-0.351	0.029	0.047	-0.385	-0.073	-0.043
263_OVCAR3_JQ|0.16_1_1_JQ1Tr_SD	7	0.034	-0.100	-0.102	-0.112	-0.393	-0.153	-0.025	0.038	-0.116	0.104	-0.074	-0.153	-0.515	-0.198	0.007	-0.078	0.029	0.006	-0.052	-0.010	0.069	-0.071	-0.188	-0.034	0.295	0.387	0.073	0.009	0.120	-0.052	0.002	-0.135	-0.111	0.083	0.010	-0.519	0.009	-0.039	0.017	-0.181	-0.135	-0.070	-0.048	0.083	0.172	-0.011	-0.092	0.025	0.006	-0.178	0.014	0.658	-0.024	0.048	0.129	0.059	-0.026	0.012	0.064	0.016	-0.017	0.033	0.007	-0.061	0.065	0.066	-0.008	-0.056	0.099	-0.280	-0.185	0.049	-0.191	-0.071	0.038	0.208	-0.046	-0.028	0.136	0.002	-0.085	0.167	0.051	0.073	0.057	0.033	0.161	-0.127	-0.069	-0.079	-0.047	-0.032	-0.084	0.029	0.324	-0.743	-0.008	0.087	-0.053	-0.101	-0.104	0.021	-0.151	-0.115	-0.011	-0.108	0.036	0.032	-0.205	0.005	0.268	0.001	0.177	0.155	0.287	-0.002	-0.230	-0.169	0.145	0.055	-0.054	0.039	0.054	-0.015	-0.146	-0.213	-0.251	0.108	-0.001	-0.043	-0.056	-0.203	-0.201	-0.312	0.129	-0.107	-0.103	0.069	-0.265	-0.154	-0.005	-0.155	-0.015	-0.053	0.052	-0.009	-0.232	0.051	-0.055	-0.323	-0.079	-0.117
264_OVCAR3_JQ|0.08_1_1_JQ1Tr_SD	8	-0.005	-0.083	-0.033	-0.126	-0.319	-0.081	0.023	0.119	0.144	0.063	0.030	-0.061	-0.352	-0.030	0.021	0.042	-0.187	-0.017	-0.011	0.034	0.060	0.035	-0.222	0.079	0.219	0.238	0.100	0.037	-0.067	0.016	0.090	-0.040	-0.061	0.041	-0.047	-0.441	-0.042	0.070	0.047	0.027	-0.001	0.032	-0.017	-0.063	0.127	0.040	-0.073	-0.061	0.087	0.039	0.150	0.377	0.085	0.068	0.052	0.113	-0.183	-0.020	-0.076	0.136	-0.080	-0.024	0.113	-0.029	-0.045	0.156	0.027	-0.053	0.073	0.032	0.036	0.045	-0.001	-0.026	-0.029	0.075	0.165	0.036	0.026	0.000	0.036	0.011	0.301	0.080	0.030	0.065	-0.015	-0.210	-0.022	0.031	0.096	0.112	-0.015	-0.062	0.244	-0.453	-0.070	-0.009	0.036	-0.061	-0.043	0.066	0.033	0.107	0.143	0.083	0.082	0.050	-0.052	0.131	0.324	-0.013	0.184	0.134	0.149	-0.070	-0.054	-0.241	0.183	0.038	0.017	0.067	0.112	0.034	-0.024	-0.095	-0.128	0.124	0.068	-0.026	0.035	-0.067	-0.157	-0.114	0.131	-0.047	-0.060	0.092	-0.215	-0.494	0.039	-0.011	0.099	0.020	0.027	0.042	-0.093	0.037	0.054	-0.177	-0.012	0.028
285_OVCAR3_JQ|0.04_1_1_JQ1Tr_SD	9	-0.004	-0.065	-0.071	-0.009	-0.157	-0.055	-0.008	-0.091	-0.245	-0.004	0.049	-0.133	-0.260	-0.127	0.013	0.083	0.011	-0.023	0.012	-0.008	0.063	-0.054	-0.198	0.029	0.211	0.191	0.091	0.015	-0.009	0.016	-0.004	-0.101	-0.045	0.106	-0.005	-0.231	-0.022	-0.031	0.013	-0.054	-0.023	-0.024	0.022	-0.085	0.485	-0.049	-0.225	-0.018	0.025	-0.070	-0.014	0.307	-0.009	0.032	0.064	0.121	0.016	0.044	-0.075	0.061	-0.020	0.009	0.059	0.015	-0.071	0.047	0.015	-0.093	0.007	-0.066	-0.062	0.079	-0.033	0.082	-0.026	0.091	-0.034	0.020	-0.030	0.019	-0.110	0.144	0.232	0.126	0.081	-0.005	-0.060	-0.254	-0.060	-0.058	0.085	0.157	-0.070	-0.043	0.199	-0.228	0.009	-0.007	0.015	-0.047	0.015	-0.124	0.016	0.127	0.011	0.036	0.063	-0.068	-0.129	0.085	0.075	-0.051	-0.005	0.102	0.095	0.060	-0.110	-0.109	0.026	0.106	0.045	0.096	0.090	0.050	-0.245	-0.066	-0.105	0.151	0.072	-0.039	-0.045	0.004	-0.114	-0.162	0.156	0.034	-0.119	0.088	-0.248	-0.376	0.031	0.014	-0.025	-0.132	0.053	-0.024	-0.218	0.082	0.083	-0.151	-0.036	0.024
286_OVCAR3_JQ|0.02_1_1_JQ1Tr_SD	10	0.047	0.042	0.053	-0.048	-0.055	-0.025	0.010	-0.048	-0.024	0.050	0.000	0.021	-0.003	-0.031	0.009	0.023	0.104	0.004	0.001	-0.044	0.052	0.001	-0.119	-0.048	0.075	0.189	0.088	-0.046	0.071	-0.091	0.036	-0.149	-0.142	0.045	0.076	-0.242	-0.032	0.034	0.004	-0.092	-0.020	0.033	-0.017	0.054	0.519	-0.041	-0.082	0.000	0.096	-0.064	0.029	0.207	0.027	0.046	0.035	0.076	-0.129	0.013	0.078	0.110	0.021	0.035	0.023	0.013	-0.030	0.049	0.029	-0.128	0.067	-0.002	0.022	0.060	-0.007	0.047	-0.006	0.128	-0.036	0.034	-0.050	0.004	-0.004	0.024	0.217	0.057	0.036	0.033	-0.063	-0.030	0.105	-0.045	0.108	0.129	-0.103	0.057	0.131	-0.260	-0.058	-0.044	0.005	0.017	0.023	-0.033	0.041	0.113	-0.009	0.143	0.047	-0.018	-0.096	0.083	0.050	0.058	-0.016	0.091	0.084	-0.105	0.012	-0.025	0.025	0.148	0.054	0.062	0.081	0.034	-0.081	0.129	0.057	0.149	0.017	-0.106	0.046	0.024	-0.115	-0.068	0.107	0.040	-0.071	0.010	-0.116	-0.344	0.015	0.028	-0.035	-0.023	0.056	-0.054	-0.015	0.118	0.070	-0.079	-0.113	0.009
287_OVCAR3_JQ|0.01_1_1_JQ1Tr_SD	11	-0.003	0.066	0.034	0.037	-0.025	-0.038	0.005	-0.058	0.084	-0.005	0.048	-0.144	-0.149	-0.024	0.044	0.077	0.067	-0.020	0.042	0.010	0.072	-0.018	0.036	-0.002	0.042	0.159	0.070	0.023	0.077	0.008	0.025	-0.062	-0.031	0.004	-0.037	-0.113	-0.047	0.043	0.070	0.218	-0.006	0.055	0.008	0.004	0.530	0.010	0.041	0.035	0.033	-0.034	0.037	0.114	0.038	-0.006	0.049	0.073	-0.056	0.081	0.273	0.088	-0.045	0.209	0.020	0.093	-0.067	0.061	-0.055	-0.042	0.080	0.052	0.009	-0.013	-0.010	-0.001	-0.056	0.073	-0.163	0.086	0.047	-0.010	-0.211	0.003	-0.038	-0.012	-0.001	0.007	0.067	-0.100	0.082	-0.025	0.004	0.168	-0.035	0.083	0.085	-0.171	-0.055	-0.068	0.018	-0.036	0.047	-0.092	-0.024	0.117	-0.009	0.032	-0.035	-0.182	-0.011	0.104	-0.003	0.040	-0.001	0.081	0.027	0.092	-0.049	0.023	0.009	0.012	0.001	0.063	0.096	0.054	-0.076	0.149	0.157	0.111	0.093	-0.030	0.105	0.064	-0.045	-0.006	0.076	0.081	0.051	0.066	-0.074	-0.489	0.001	0.095	0.055	-0.002	0.036	-0.006	-0.053	0.094	0.091	-0.042	-0.004	0.056
