V1	V2	V3
X14.3.3_epsilon.M.C_GBL9026348	-2.33807254204559	1.74422108050533	2.71701470448145
X4E.BP1.R.V_GBL9026169	2.25716307946737	-1.55589008934542	-3.08300875798574
X4E.BP1_pS65.R.V_GBL9026170	-2.88653618757289	-0.393524176156324	-3.13918356833889
X53BP1.R.C_GBL9026171	2.96211835876669	1.82791918795212	-1.76028718266981
ACC_pS79.R.V_GBL9026172	-3.9641626757342	5.51371077314325	3.33931624076052
ACC1.R.C_GBL9026173	-6.3795477363994	6.06142655085096	6.45571169616071
AIB1.M.V_GBL9026302	-2.57163045227697	-5.26734132972451	-1.78395394636757
Akt.R.V_GBL9026174	3.27567129412931	-0.727251900351887	0.534269761463714
Akt_pS473.R.V_GBL9026175	-0.775227558870335	1.08617610851055	0.558573935254227
Akt_pT308.R.V_GBL9026176	1.10285058623469	3.42560755228641	-1.71357776504811
alpha.Catenin.M.V_GBL9026304	-2.19195898150511	1.04890770430624	-2.33141421235948
AMPK_alpha.R.C_GBL9026177	-2.70882374188896	-0.275733523320611	-0.602460558368107
AMPK_pT172.R.V_GBL9026178	1.74278406809735	1.27867014588899	-0.935665366264369
Annexin_I.R.V_GBL9026179	-5.61729991261573	-3.18421218852605	4.65311668985071
AR.R.V_GBL9026335	-3.57367685036034	-1.21214124459686	1.38891722788275
Bad_pS112.R.V_GBL9026336	0.402715941091488	8.95302958226659	-0.0777415019165165
Bak.R.C_GBL9026182	1.93697567436448	-1.7134541822551	3.80170079397269
Bax.R.V_GBL9026183	1.04968767826113	-1.73815632602509	2.61874322707841
Bcl.2.M.V_GBL9026303	-3.99614435556798	-2.34958324817629	-6.55985038911452
Bcl.X.R.C_GBL9026338	3.9452110478935	-3.38411495348896	-5.33088079427649
Bcl.xL.R.V_GBL9026339	-7.83133668264286	-6.43531137401675	-15.1806460394176
Beclin.G.V_GBL9026330	0	0	0
beta.Catenin.R.V_GBL9026194	4.8969666878218	-4.35129580539274	-1.93783091222969
Bid.R.C_GBL9026340	-0.750405946203915	-0.863179011990298	-3.69921193305311
Bim.R.V_GBL9026351	-3.54324256917532	-0.289245623109361	-3.37192180607833
c.Jun_pS73.R.C_GBL9026231	4.07932744291255	-5.01600049875121	-1.16329719915559
c.Kit.R.V_GBL9026344	1.55716637245271	4.88389978276484	1.51479456519958
c.Met.M.C_GBL9026314	-3.37930445024531	4.47742688155949	-5.80249348156022
c.Met_pY1235.R.C_GBL9026236	-11.7072729753482	5.07045935588629	-1.39302765149824
c.Myc.R.C_GBL9026241	-1.28856784771147	-1.14196760333297	-6.32319040053972
C.Raf.R.V_GBL9026278	3.0230834609423	-0.627066813086233	-1.43063091737164
C.Raf_pS338.R.C_GBL9026279	-0.00996542281869421	-5.71597030588186	4.96907429872367
Caspase.3_active.R.C_GBL9026352	1.07799053896401	-1.11632529889752	3.12684417085687
Caspase.7_cleavedD198.R.C_GBL9026353	-1.76981116997693	3.59054515447479	-1.85472917337347
Caspase.9_cleavedD330.R.C_GBL9026193	3.76730382154982	3.89485136405446	-1.11045492328774
Caveolin.1.R.V_GBL9026195	5.79724693795262	4.47474488813012	-1.57489605360684
CD31.M.V_GBL9026349	2.0409489035406	4.45026801523729	1.58533423368559
CDK1.R.V_GBL9026196	4.19671493287289	-3.25497010834455	-1.77743189661038
Chk1.R.C_GBL9026197	0	0	0
Chk1_pS345.R.C_GBL9026198	0	0	0
Chk2.M.C_GBL9026306	0	0	0
Chk2_pT68.R.C_GBL9026199	0	0	0
cIAP.R.V_GBL9026200	1.28000710816503	0.0864717783298322	2.95865193600884
Claudin.7.R.V_GBL9026201	3.72195055696811	4.50240316093798	0.100921055296813
Collagen_VI.R.V_GBL9026202	3.92438812836094	-1.8001316277753	0.110568525227609
COX.2.R.C_GBL9026203	-7.61799737213421	-0.115919072524404	12.0431321547407
Cyclin_B1.R.V_GBL9026204	-4.3688608002238	3.3673858291902	3.16420076344126
Cyclin_D1.R.V_GBL9026205	-5.63430155364659	-13.2723901333291	-2.9669643065976
Cyclin_E1.M.V_GBL9026308	0.715105624262046	0.366908125841992	-2.62147810596356
DJ.1.R.C_GBL9026206	-2.47650955060007	-2.71937203780805	-3.06640503241558
Dvl3.R.V_GBL9026207	2.69929518244719	2.34195996872829	-0.10247878755666
E.Cadherin.R.V_GBL9026188	-0.0432065971152327	-1.85628288303568	2.64306170207696
eEF2.R.V_GBL9026208	-3.32906071108646	2.64493047030211	-0.454045440408964
eEF2K.R.V_GBL9026209	4.64361247754908	-2.43836127653084	-1.02111356961018
EGFR.R.C_GBL9026210	2.05503072086216	-2.68295609432461	-3.54619857630933
EGFR.CST2232..R.C_GBL9026334	3.60238106352183	2.17711875019674	0.720715123945666
EGFR_pY1068.R.V_GBL9026211	2.94219318986342	11.6640742809382	3.98603006011448
EGFR_pY1173.R.C_GBL9026212	-1.77446221097215	-0.128084403921823	1.86971818989214
EGFR_pY992.R.V_GBL9026213	3.76109306028362	-0.682365242129512	-3.55591525657844
eIF4E.R.V_GBL9026214	-4.74724336889624	-1.19227155901217	-10.0814819206583
ER.alpha.R.V_GBL9026215	-2.80142951541716	-2.4245215815369	4.25776253956672
ER.alpha_pS118.R.V_GBL9026217	-5.15909531841416	-3.12557787153671	-1.50245558955768
ERCC1.M.C_GBL9026309	0.813596030934638	0.966546859444301	3.66519199757402
FAK.R.C_GBL9026218	0.0807711418203124	3.81202610105642	-1.57742641812729
Fibronectin.R.C_GBL9026216	2.35543483246876	0.542394681613897	-3.10135206514663
FOXO3a.R.C_GBL9026219	-2.84434366343387	-0.432140676214609	-0.711886260631515
FOXO3a_pS318_S321.R.C_GBL9026220	1.59366739530296	-3.24618348614987	-4.69746086144446
GATA3.M.V_GBL9026310	-1.84356688565142	7.22510522077233	0.0134399178959657
GSK3.alpha.beta.M.V_GBL9026312	-4.3077594374217	0.789629819473606	-1.03614484785679
GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	-0.366911082735601	7.780277147743	0.0458232243608219
GSK3_pS9.R.V_GBL9026221	1.878856258901	0.978168696527867	-2.24449145600778
HER2.M.V_GBL9026313	1.85626525137669	-1.44352260158136	-1.23885576602567
HER2_pY1248.R.V_GBL9026223	2.75356158778251	-0.935204192006209	-4.11933182516275
HER3.R.V_GBL9026224	-0.738671178813228	-3.64922426152985	-1.91508494500015
HER3_pY1298.R.C_GBL9026225	3.37698747822707	0.353788069027259	-1.93184531925629
IGF.1R.beta.R.C_GBL9026226	-4.33807971666452	-2.23680835197038	0.586692793230129
IGFBP2.R.V_GBL9026227	-0.942813483855014	-2.2143724326182	-3.27139118051699
INPP4B.G.C_GBL9026331	-0.169394694168668	-0.168383562451886	-3.26482863613729
IRS1.R.V_GBL9026228	1.87277412406794	8.71765222409311	-0.0341516373392566
JNK_pT183_pT185.R.V_GBL9026343	4.52154909812214	-0.122829630211	-6.29727288926361
JNK2.R.C_GBL9026230	1.26222948141039	-2.53282646193252	0.0735447741493431
K.Ras.M.C_GBL9026322	-4.53902482332122	3.87681206062663	-3.07337202818244
MAPK_pT202_Y204.R.V_GBL9026233	-2.43064752123929	-4.82521268423633	4.33816716504457
MEK1.R.V_GBL9026234	1.74673572064801	-3.16222566696701	0.313775387211557
MEK1_pS217_S221.R.V_GBL9026345	-0.438248076423866	-3.14905052043381	-0.479868359799376
MIG.6.M.V_GBL9026315	-2.61755294705574	0.100405894669487	-1.37549431193414
Mre11.R.C_GBL9026237	-5.13411939151594	1.49988537881261	2.69352289617509
MSH2.M.C_GBL9026316	0.515264002244676	-3.94492500794363	1.93483797313021
MSH6.R.C_GBL9026238	-0.210037214513031	3.99324218844908	-0.343731955025633
mTOR.R.V_GBL9026239	-2.54431547661341	1.74629023708211	5.24705326840722
mTOR_.pS2448.R.C_GBL9026240	-3.94657159526195	2.75432316939742	-7.25091239971166
N.Cadherin.R.V_GBL9026341	5.12698116516887	0.495708659714856	-0.265418524930963
NF.kB.p65_pS536.R.C_GBL9026242	0.910783809333124	1.14611528244435	-1.25010991863216
NF2.R.C_GBL9026243	-0.131994546112156	5.61968581321258	4.18780538021715
Notch1.R.V_GBL9026244	-2.1086685190722	-6.93502316028441	-0.0607497410210367
Notch3.R.C_GBL9026246	2.41415907097638	4.1186641496361	-0.319969893781369
P.Cadherin.R.C_GBL9026342	-0.438511665789424	-4.54175601881131	-0.465824239725324
p21.R.C_GBL9026247	6.86421673948579	11.2313567075916	3.87662822429861
p27.R.V_GBL9026248	-1.02920407814318	1.86033921881829	-0.666932276521327
p27_pT157.R.C_GBL9026249	0.860817149843484	0.307065902210909	-4.3784723774324
p27_pT198.R.V_GBL9026250	3.90543285353044	-1.06705250819642	-5.4767191907032
p38_MAPK.R.C_GBL9026251	3.62020854102321	-0.422958347453954	0.83823877079703
p38_pT180_Y182.R.V_GBL9026252	-1.04445599995365	-1.96732722395009	2.23758210719257
p53.R.V_GBL9026346	0.711246568419054	-3.88819226543398	4.33543995220296
p70S6K.R.V_GBL9026254	-5.0189316158801	-4.01884403331625	2.18400342833284
p70S6K_pT389.R.V_GBL9026255	0.0991609763533769	-2.46605807252766	-5.62515400265041
p90RSK_pT359_S363.R.C_GBL9026256	4.89090734109964	3.50596223527166	-1.00461668933819
PARP_cleaved.M.C_GBL9026317	0	0	0
Paxillin.R.V_GBL9026257	-3.33426578772471	-2.63608576342277	-4.77840512021684
PCNA.M.V_GBL9026318	0	0	0
PDK1_pS241.R.V_GBL9026258	3.32874372862208	-1.1793155713323	-6.29641009947031
PI3K.p110.alpha.R.C_GBL9026269	2.91154284076965	-1.70496185438628	0.311376355211213
PI3K.p85.R.V_GBL9026270	-6.27936488628309	1.53537556217283	-3.14535542009388
PKC.alpha.M.V_GBL9026319	-2.49602459096593	-1.93384708986942	2.63907469121614
PKC.alpha_pS657.R.V_GBL9026271	-2.43226997439761	4.14268218867286	-3.62009214480444
PR.R.V_GBL9026272	-3.11311399308791	-1.72312267179237	-1.07798439192679
PRAS40_pT246.R.V_GBL9026273	-2.84100123536848	1.63321564452764	1.30053367828676
PTCH.R.C_GBL9026274	3.80906206827055	-0.0908900042479048	2.50351328774204
PTEN.R.V_GBL9026275	5.33485759277601	-6.71663944397933	0.68512558276117
Rab11.R.V_GBL9026276	-3.11014729064323	-0.550411782906579	8.60728143208932
Rab25.R.C_GBL9026277	2.5473489011016	-3.49122305692674	3.03494825043201
Rad50.M.C_GBL9026320	2.66074746503737	0.52309153816981	2.62624934653
Rad51.M.C_GBL9026321	4.04431043882526	0.921212340615949	-7.12830079416944
Rb.M.V_GBL9026323	0.685283042380699	1.239236864779	-1.05734755422887
Rb_pS807_S811.R.V_GBL9026280	-3.26886996959023	-1.05342693542887	-2.3545931790774
S6_pS235_S236.R.V_GBL9026281	5.00299818736154	2.51185124309096	1.07617438989074
S6_pS240_S244.R.V_GBL9026282	0.676397855681914	-4.70564528282649	1.87442512146817
Smac.M.V_GBL9026324	1.20285108199675	3.32689409842432	-0.566306682768183
Smad1.R.V_GBL9026283	0	0	0
Smad3.R.V_GBL9026284	0	0	0
Smad4.M.V_GBL9026325	0	0	0
Snail.M.C_GBL9026326	2.26530465800371	5.76779951566316	2.05251183327139
Src.M.V_GBL9026327	2.43896330813956	-3.15223249098005	4.17861912462986
Src_pY416.R.C_GBL9026285	0.744474757460957	3.41904954641897	1.97087352369267
Src_pY527.R.V_GBL9026286	6.84943513330022	0.301539687262657	-3.23097024688579
STAT3_pY705.R.V_GBL9026287	-1.79210193365946	-1.41921947156825	-9.06108000624049
STAT5.alpha.R.V_GBL9026288	-0.978804994869783	-2.38573371602047	-5.23667458894069
Stathmin.R.V_GBL9026289	-1.1194666734333	-0.370465191505241	-2.10692880653768
Syk.M.V_GBL9026328	2.67817888174056	-2.6367502126051	-3.12936324336303
Tau.M.C_GBL9026329	1.77822626831838	-1.80034438527554	0.219014364029283
TAZ_pS89.R.C_GBL9026290	-4.79044522951623	1.52085419575449	-4.00851244353928
TFF1.R.V_GBL9026291	-0.414738744541781	1.38047845113125	0.203589701597288
TIGAR.R.V_GBL9026292	0	0	0
Tuberin.R.C_GBL9026293	-7.57227052878221	-3.97458055768658	-7.38881110558717
VASP.R.C_GBL9026294	-3.11570928281596	1.91662554054029	-1.38725535995325
VEGFR2.R.V_GBL9026347	7.19982602952414	-2.79606109437345	3.17093029681869
XIAP.R.C_GBL9026296	-6.37986813922782	7.16142268674664	4.91190555214776
XRCC1.R.C_GBL9026297	0	0	0
YAP.R.V_GBL9026298	-5.76511204986931	2.57091906328619	5.20106999239218
YAP_pS127.R.C_GBL9026299	-4.20347744056873	-4.39573448977718	-3.94470761315173
YB.1.R.V_GBL9026332	-3.9357842752717	-1.01244820125276	-4.18107119382564
YB.1_pS102.R.V_GBL9026333	-3.6921291973918	7.39797243884789	2.41423367757694
