V1	V2	V3
X14.3.3_epsilon.M.C_GBL9026348	3.05995872477652	1.95039583733402	1.68051175441543
X4E.BP1.R.V_GBL9026169	3.47423434454586	-0.456292015748897	1.11452354323666
X4E.BP1_pS65.R.V_GBL9026170	1.89723314444825	4.29971907430523	-0.0269290804154755
X53BP1.R.C_GBL9026171	-0.200219427980374	-5.54713731620654	-0.0677481221837212
ACC_pS79.R.V_GBL9026172	1.08128429115084	-1.09350771369772	2.87266135025925
ACC1.R.C_GBL9026173	1.24931652492227	-5.64220927207183	7.73451230567021
AIB1.M.V_GBL9026302	-2.20719533785134	-4.06159043516941	-4.45686254834671
Akt.R.V_GBL9026174	2.87187045220334	6.11733431553133	3.01110138965276
Akt_pS473.R.V_GBL9026175	-9.44796613540006	15.1119139757287	-7.36798609951282
Akt_pT308.R.V_GBL9026176	-5.30963927288596	18.2461865003258	-8.9587417144882
alpha.Catenin.M.V_GBL9026304	1.57424104528224	3.3921419476533	-3.8176756850276
AMPK_alpha.R.C_GBL9026177	-4.27710516770251	-1.29939620922251	1.79783213159364
AMPK_pT172.R.V_GBL9026178	3.77142125305064	4.70314170659406	0.439763325194122
Annexin_I.R.V_GBL9026179	-2.62392342669	-2.10771267452431	4.85137412837627
AR.R.V_GBL9026335	-1.23569145789446	-0.375805428129878	1.12250366372333
Bad_pS112.R.V_GBL9026336	2.52958944373427	7.24141136252041	6.06130300425386
Bak.R.C_GBL9026182	-1.24745659029549	4.24539696415331	-2.38646447931145
Bax.R.V_GBL9026183	4.20862357798679	5.45150894466079	-2.54819737679301
Bcl.2.M.V_GBL9026303	7.23286245722542	4.9130825202852	1.65523832006582
Bcl.X.R.C_GBL9026338	6.03011280909366	4.51079455623181	-5.62407472347357
Bcl.xL.R.V_GBL9026339	3.03098362165689	4.13097899315504	-10.5021779918411
Beclin.G.V_GBL9026330	0	0	0
beta.Catenin.R.V_GBL9026194	-2.43234913275271	0.660975713187131	-2.13068762184383
Bid.R.C_GBL9026340	-5.30178154295969	3.60163916124226	-1.65115507278371
Bim.R.V_GBL9026351	-1.10970039484547	-0.125191106221297	4.87003637824951
c.Jun_pS73.R.C_GBL9026231	8.47678692566247	5.72908596148671	8.21712031478732
c.Kit.R.V_GBL9026344	-5.24735927233184	-0.383819014916563	3.44106571108701
c.Met.M.C_GBL9026314	-0.815455851327793	7.10770357042673	-1.90562791044824
c.Met_pY1235.R.C_GBL9026236	4.08040075483381	10.447915727122	-1.09484992795149
c.Myc.R.C_GBL9026241	-0.240097358439879	12.2584959826762	2.22024677915788
C.Raf.R.V_GBL9026278	-5.35524935564005	4.17848106441816	-1.85070325882182
C.Raf_pS338.R.C_GBL9026279	-8.60227760659137	-1.00114569197447	-2.49177560503681
Caspase.3_active.R.C_GBL9026352	-1.12982062769804	-2.4573509968051	-7.94262364776777
Caspase.7_cleavedD198.R.C_GBL9026353	-2.06658559680443	0.229999960533558	-2.67866224291214
Caspase.9_cleavedD330.R.C_GBL9026193	-3.17168668948973	-8.38000265234948	3.04634439003686
Caveolin.1.R.V_GBL9026195	2.53351595778386	-6.71620316977494	2.85907553513256
CD31.M.V_GBL9026349	-3.16871501803171	1.77503455375809	-1.74551846489326
CDK1.R.V_GBL9026196	7.50230258544098	1.37221835627161	-4.11102370136786
Chk1.R.C_GBL9026197	0	0	0
Chk1_pS345.R.C_GBL9026198	0	0	0
Chk2.M.C_GBL9026306	0	0	0
Chk2_pT68.R.C_GBL9026199	0	0	0
cIAP.R.V_GBL9026200	-1.87452965619276	4.71778626623672	2.42532841894415
Claudin.7.R.V_GBL9026201	1.07808975892816	-1.66553143515826	-0.510038168851394
Collagen_VI.R.V_GBL9026202	3.1422738370095	-0.405530807237573	4.67250007148785
COX.2.R.C_GBL9026203	-6.02246203641976	1.94852156835965	3.119942781565
Cyclin_B1.R.V_GBL9026204	1.05765538612582	7.03184684591622	2.10392184646548
Cyclin_D1.R.V_GBL9026205	-7.17970493632662	-0.473694584973154	3.66880119625539
Cyclin_E1.M.V_GBL9026308	-2.03708288689454	5.35307875975439	2.21016052216967
DJ.1.R.C_GBL9026206	2.39132871592149	-4.03994561008946	2.12198061478402
Dvl3.R.V_GBL9026207	2.27152350289291	-4.52764435224351	-1.45539316129715
E.Cadherin.R.V_GBL9026188	1.57319866735057	1.47160361412297	2.80101884872559
eEF2.R.V_GBL9026208	5.67521598739863	1.59076075283888	-4.73651470778584
eEF2K.R.V_GBL9026209	2.60683486895631	2.04308346547705	0.175846571210796
EGFR.R.C_GBL9026210	-3.67162330182001	-1.37564451557446	-4.95190614959005
EGFR.CST2232..R.C_GBL9026334	-5.76391600149191	-7.38469067819934	0.119985090349676
EGFR_pY1068.R.V_GBL9026211	-10.975769757794	-6.38572769062222	-1.7856399593575
EGFR_pY1173.R.C_GBL9026212	-8.55151864114479	-3.59579895860007	7.2642116295005
EGFR_pY992.R.V_GBL9026213	-5.99052731217816	-5.3437504609976	3.00476926519408
eIF4E.R.V_GBL9026214	7.63232680220263	-3.80639969403618	1.20378070449564
ER.alpha.R.V_GBL9026215	0.606942658126764	6.94776198297306	2.0174085565736
ER.alpha_pS118.R.V_GBL9026217	2.85056178124368	6.68084303235922	-0.27679403010443
ERCC1.M.C_GBL9026309	3.33470123734457	7.56146259040472	1.14474786499388
FAK.R.C_GBL9026218	-1.27776114648862	0.217096246611072	-2.20692235338642
Fibronectin.R.C_GBL9026216	-0.111782656618886	5.483109997309	5.20263956321385
FOXO3a.R.C_GBL9026219	1.94945626018393	0.159354470636824	0.293023165549268
FOXO3a_pS318_S321.R.C_GBL9026220	-0.0577138278421065	-2.36185308525595	-13.9439709878696
GATA3.M.V_GBL9026310	-1.10087185289779	-2.7044184317688	-7.30417187205636
GSK3.alpha.beta.M.V_GBL9026312	-2.37845315674992	-2.34734661787321	1.86178669172252
GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	2.73555453084624	2.86408951385686	-0.091140621760584
GSK3_pS9.R.V_GBL9026221	-5.74195020595742	-0.0485712457440386	2.06356755490378
HER2.M.V_GBL9026313	-0.177242369582952	1.89192306117118	1.44678363133844
HER2_pY1248.R.V_GBL9026223	-1.36571160848254	1.65093019759139	-2.61638677338126
HER3.R.V_GBL9026224	0.981884822739497	0.758375748473046	-5.95949660981849
HER3_pY1298.R.C_GBL9026225	0.791406522387155	1.32789710720733	-2.46286475591626
IGF.1R.beta.R.C_GBL9026226	3.60974058814113	0.47087329679063	-2.61459605918504
IGFBP2.R.V_GBL9026227	8.20136694658135	5.09783189164749	0.800541286772351
INPP4B.G.C_GBL9026331	1.60459595138675	2.43778940190114	2.7053220336517
IRS1.R.V_GBL9026228	-1.63458265858749	-2.6974461492927	-0.348534368108502
JNK_pT183_pT185.R.V_GBL9026343	-4.8171841795806	5.36060778764387	-0.70983255044397
JNK2.R.C_GBL9026230	3.6335992384759	0.30593058612559	-2.75358142346247
K.Ras.M.C_GBL9026322	5.22382359661091	6.7282680481749	-2.52583060643664
MAPK_pT202_Y204.R.V_GBL9026233	-7.92214487966112	17.8856514913967	-8.3682459803177
MEK1.R.V_GBL9026234	-1.67021002827724	3.21221350518296	1.247534640119
MEK1_pS217_S221.R.V_GBL9026345	1.84195958334757	5.76688655454256	-0.605937801062591
MIG.6.M.V_GBL9026315	-1.06337385617032	3.79210810385332	1.3574618165891
Mre11.R.C_GBL9026237	0.838374893274636	-6.9478804059677	-3.76891696974925
MSH2.M.C_GBL9026316	3.80671157147284	3.21227130146511	-2.54244705883683
MSH6.R.C_GBL9026238	-3.99211486221427	-2.60140434609512	-1.38437421973164
mTOR.R.V_GBL9026239	0.972817453235131	-2.84006788087585	0.996064064744282
mTOR_.pS2448.R.C_GBL9026240	-1.67457757134434	3.65051486665813	-4.34779125007469
N.Cadherin.R.V_GBL9026341	-4.80654592046887	-2.94337283620936	-6.69844583522333
NF.kB.p65_pS536.R.C_GBL9026242	0.690870905435473	-7.21892791616564	4.88727343622025
NF2.R.C_GBL9026243	-0.980526993821215	-2.02384666837816	3.79325496706121
Notch1.R.V_GBL9026244	-0.618433943443887	2.20524301860282	14.7630459569442
Notch3.R.C_GBL9026246	5.84041444673808	-3.70583014716801	4.62325367120961
P.Cadherin.R.C_GBL9026342	0.798004255259801	2.78981852674311	1.50381565963822
p21.R.C_GBL9026247	-0.810777134155112	1.89041792119774	-4.61258062772057
p27.R.V_GBL9026248	-0.740824617085539	-0.406597990995242	5.68267887701676
p27_pT157.R.C_GBL9026249	0.216191927885806	-3.74099089937781	12.1382212314134
p27_pT198.R.V_GBL9026250	1.54433944537603	-1.66398961957168	7.6325487363929
p38_MAPK.R.C_GBL9026251	2.51267182518793	0.589188427638712	7.73823357242207
p38_pT180_Y182.R.V_GBL9026252	2.77701088070694	-0.562894427999417	-0.484073570827045
p53.R.V_GBL9026346	3.9340741006895	8.67922672683962	2.80986389900274
p70S6K.R.V_GBL9026254	-1.84231554384312	-0.135413101647729	-2.86743850013801
p70S6K_pT389.R.V_GBL9026255	-2.79100933149939	-1.21790625745476	1.05007348480081
p90RSK_pT359_S363.R.C_GBL9026256	-0.905368313478202	3.24746824276896	-0.111466237086709
PARP_cleaved.M.C_GBL9026317	0	0	0
Paxillin.R.V_GBL9026257	-0.788350827646585	-3.12669472994825	0.112635837092287
PCNA.M.V_GBL9026318	0	0	0
PDK1_pS241.R.V_GBL9026258	-4.93561118702539	-6.47796811231272	-6.12599032144806
PI3K.p110.alpha.R.C_GBL9026269	-5.32925779427341	2.30872122430922	-3.96381195255758
