Sample_description	GORDER	X14.3.3_epsilon.M.C_GBL9026348	X4E.BP1.R.V_GBL9026169	X4E.BP1_pS65.R.V_GBL9026170	X53BP1.R.C_GBL9026171	ACC_pS79.R.V_GBL9026172	ACC1.R.C_GBL9026173	AIB1.M.V_GBL9026302	Akt.R.V_GBL9026174	Akt_pS473.R.V_GBL9026175	Akt_pT308.R.V_GBL9026176	alpha.Catenin.M.V_GBL9026304	AMPK_alpha.R.C_GBL9026177	AMPK_pT172.R.V_GBL9026178	Annexin_I.R.V_GBL9026179	AR.R.V_GBL9026335	Bad_pS112.R.V_GBL9026336	Bak.R.C_GBL9026182	Bax.R.V_GBL9026183	Bcl.2.M.V_GBL9026303	Bcl.X.R.C_GBL9026338	Bcl.xL.R.V_GBL9026339	Beclin.G.V_GBL9026330	beta.Catenin.R.V_GBL9026194	Bid.R.C_GBL9026340	Bim.R.V_GBL9026351	c.Jun_pS73.R.C_GBL9026231	c.Kit.R.V_GBL9026344	c.Met.M.C_GBL9026314	c.Met_pY1235.R.C_GBL9026236	c.Myc.R.C_GBL9026241	C.Raf.R.V_GBL9026278	C.Raf_pS338.R.C_GBL9026279	Caspase.3_active.R.C_GBL9026352	Caspase.7_cleavedD198.R.C_GBL9026353	Caspase.9_cleavedD330.R.C_GBL9026193	Caveolin.1.R.V_GBL9026195	CD31.M.V_GBL9026349	CDK1.R.V_GBL9026196	Chk1.R.C_GBL9026197	Chk1_pS345.R.C_GBL9026198	Chk2.M.C_GBL9026306	Chk2_pT68.R.C_GBL9026199	cIAP.R.V_GBL9026200	Claudin.7.R.V_GBL9026201	Collagen_VI.R.V_GBL9026202	COX.2.R.C_GBL9026203	Cyclin_B1.R.V_GBL9026204	Cyclin_D1.R.V_GBL9026205	Cyclin_E1.M.V_GBL9026308	DJ.1.R.C_GBL9026206	Dvl3.R.V_GBL9026207	E.Cadherin.R.V_GBL9026188	eEF2.R.V_GBL9026208	eEF2K.R.V_GBL9026209	EGFR.R.C_GBL9026210	EGFR.CST2232..R.C_GBL9026334	EGFR_pY1068.R.V_GBL9026211	EGFR_pY1173.R.C_GBL9026212	EGFR_pY992.R.V_GBL9026213	eIF4E.R.V_GBL9026214	ER.alpha.R.V_GBL9026215	ER.alpha_pS118.R.V_GBL9026217	ERCC1.M.C_GBL9026309	FAK.R.C_GBL9026218	Fibronectin.R.C_GBL9026216	FOXO3a.R.C_GBL9026219	FOXO3a_pS318_S321.R.C_GBL9026220	GATA3.M.V_GBL9026310	GSK3.alpha.beta.M.V_GBL9026312	GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	GSK3_pS9.R.V_GBL9026221	HER2.M.V_GBL9026313	HER2_pY1248.R.V_GBL9026223	HER3.R.V_GBL9026224	HER3_pY1298.R.C_GBL9026225	IGF.1R.beta.R.C_GBL9026226	IGFBP2.R.V_GBL9026227	INPP4B.G.C_GBL9026331	IRS1.R.V_GBL9026228	JNK_pT183_pT185.R.V_GBL9026343	JNK2.R.C_GBL9026230	K.Ras.M.C_GBL9026322	MAPK_pT202_Y204.R.V_GBL9026233	MEK1.R.V_GBL9026234	MEK1_pS217_S221.R.V_GBL9026345	MIG.6.M.V_GBL9026315	Mre11.R.C_GBL9026237	MSH2.M.C_GBL9026316	MSH6.R.C_GBL9026238	mTOR.R.V_GBL9026239	mTOR_.pS2448.R.C_GBL9026240	N.Cadherin.R.V_GBL9026341	NF.kB.p65_pS536.R.C_GBL9026242	NF2.R.C_GBL9026243	Notch1.R.V_GBL9026244	Notch3.R.C_GBL9026246	P.Cadherin.R.C_GBL9026342	p21.R.C_GBL9026247	p27.R.V_GBL9026248	p27_pT157.R.C_GBL9026249	p27_pT198.R.V_GBL9026250	p38_MAPK.R.C_GBL9026251	p38_pT180_Y182.R.V_GBL9026252	p53.R.V_GBL9026346	p70S6K.R.V_GBL9026254	p70S6K_pT389.R.V_GBL9026255	p90RSK_pT359_S363.R.C_GBL9026256	PARP_cleaved.M.C_GBL9026317	Paxillin.R.V_GBL9026257	PCNA.M.V_GBL9026318	PDK1_pS241.R.V_GBL9026258	PI3K.p110.alpha.R.C_GBL9026269	PI3K.p85.R.V_GBL9026270	PKC.alpha.M.V_GBL9026319	PKC.alpha_pS657.R.V_GBL9026271	PR.R.V_GBL9026272	PRAS40_pT246.R.V_GBL9026273	PTCH.R.C_GBL9026274	PTEN.R.V_GBL9026275	Rab11.R.V_GBL9026276	Rab25.R.C_GBL9026277	Rad50.M.C_GBL9026320	Rad51.M.C_GBL9026321	Rb.M.V_GBL9026323	Rb_pS807_S811.R.V_GBL9026280	S6_pS235_S236.R.V_GBL9026281	S6_pS240_S244.R.V_GBL9026282	Smac.M.V_GBL9026324	Smad1.R.V_GBL9026283	Smad3.R.V_GBL9026284	Smad4.M.V_GBL9026325	Snail.M.C_GBL9026326	Src.M.V_GBL9026327	Src_pY416.R.C_GBL9026285	Src_pY527.R.V_GBL9026286	STAT3_pY705.R.V_GBL9026287	STAT5.alpha.R.V_GBL9026288	Stathmin.R.V_GBL9026289	Syk.M.V_GBL9026328	Tau.M.C_GBL9026329	TAZ_pS89.R.C_GBL9026290	TFF1.R.V_GBL9026291	TIGAR.R.V_GBL9026292	Tuberin.R.C_GBL9026293	VASP.R.C_GBL9026294	VEGFR2.R.V_GBL9026347	XIAP.R.C_GBL9026296	XRCC1.R.C_GBL9026297	YAP.R.V_GBL9026298	YAP_pS127.R.C_GBL9026299	YB.1.R.V_GBL9026332	YB.1_pS102.R.V_GBL9026333
310_OVCAR4_JQ|5_3_1_JQ1Tr_SD	2	0.123	-0.844	-0.939	-0.003	-0.831	-0.714	-0.089	-0.876	-1.154	-0.130	0.348	-0.447	-0.361	-0.829	0.166	-0.108	0.381	-0.273	0.094	0.116	0.135	0.084	0.086	0.213	0.584	0.675	0.096	0.297	0.311	-0.261	-0.362	-0.375	0.061	0.946	0.037	0.136	0.126	-0.495	-0.391	-0.456	-0.154	-0.306	-0.495	-0.197	1.594	-0.249	-0.981	0.290	-0.563	-0.474	-0.334	0.356	-0.375	-0.366	0.308	0.176	-0.186	0.169	0.310	0.176	0.068	0.076	0.207	-0.013	0.307	-0.074	-0.085	0.129	-0.282	-0.691	-0.362	0.145	-0.045	0.197	0.104	-0.011	-0.637	-0.298	-0.164	0.186	-0.531	0.322	0.304	-0.313	0.244	0.056	0.000	-0.815	-0.245	-0.299	-0.248	0.387	-1.215	-0.209	0.833	-0.649	0.230	1.604	0.168	0.085	0.228	-0.508	-0.253	0.184	-0.406	-0.398	-0.060	0.285	-0.639	0.166	0.237	-0.234	-0.398	0.283	0.272	-0.110	-0.509	0.447	-0.342	0.109	0.154	0.160	0.125	-0.023	-1.158	-0.174	0.093	0.522	0.153	-0.022	0.453	-0.117	-0.257	-0.450	0.499	0.013	-0.609	0.045	-0.510	-0.163	0.181	0.077	-0.033	-0.444	0.186	-0.088	-0.894	0.201	0.546	-0.881	-0.025	0.138
311_OVCAR4_JQ|2.5_3_1_JQ1Tr_SD	3	0.003	-0.670	-0.802	-0.211	-0.712	-0.479	-0.081	-0.562	-1.130	-0.027	0.270	-0.287	-0.205	-0.764	0.163	-0.059	0.159	-0.223	0.037	0.112	0.099	0.117	0.161	0.203	0.637	0.581	0.151	0.306	0.216	-0.156	-0.269	-0.284	0.010	0.679	0.010	0.038	0.158	-0.430	-0.321	-0.388	-0.231	-0.322	-0.335	-0.151	1.400	-0.158	-0.764	0.244	-0.702	-0.343	-0.136	0.134	-0.266	-0.161	0.290	0.136	-0.209	0.166	0.180	0.223	0.050	0.075	0.115	-0.005	0.355	0.135	-0.080	0.009	-0.055	-0.698	-0.322	0.170	-0.182	0.016	-0.025	-0.339	-0.796	-0.222	-0.079	0.122	-0.233	0.207	-0.197	-0.245	0.135	0.134	0.047	-0.921	-0.238	-0.116	-0.169	0.273	-0.991	-0.099	0.734	-0.658	0.272	1.439	0.125	0.102	0.134	-0.377	-0.336	0.147	-0.312	-0.297	0.006	0.224	-0.382	0.202	0.267	-0.293	-0.111	0.347	0.350	-0.034	-0.362	0.433	-0.071	0.094	0.000	0.108	0.145	-0.020	-1.139	0.117	0.184	0.409	-0.011	-0.082	0.277	-0.159	-0.321	-0.488	0.362	-0.020	-0.499	0.051	-0.260	0.007	0.176	0.027	0.011	-0.366	0.190	0.151	-0.675	0.135	0.511	-0.697	0.183	0.128
312_OVCAR4_JQ|1.25_3_1_JQ1Tr_SD	4	-0.014	-0.763	-0.780	-0.324	-0.760	-0.527	-0.026	-0.592	-1.057	0.273	0.181	-0.118	-0.199	-0.565	0.208	-0.051	0.189	0.061	0.052	0.077	0.027	0.248	0.080	0.196	0.611	0.754	0.199	0.262	0.112	-0.212	-0.230	-0.175	0.158	0.584	0.115	0.293	0.174	-0.190	-0.227	-0.324	-0.239	-0.178	-0.317	-0.093	1.133	-0.106	-0.564	0.244	-0.690	-0.320	-0.193	0.222	-0.298	-0.243	0.196	0.139	-0.101	0.057	0.894	0.251	-0.011	-0.034	0.186	-0.035	0.199	0.016	-0.111	0.127	-0.205	-0.677	-0.198	0.107	-0.017	0.043	-0.021	-0.196	-0.380	-0.281	-0.128	0.134	-0.378	0.147	0.306	-0.260	0.217	0.163	0.094	-0.977	-0.189	-0.038	-0.098	0.219	-1.041	-0.242	0.718	-0.457	0.158	1.447	0.141	0.112	0.233	-0.271	-0.241	0.172	-0.207	-0.183	0.052	0.112	-0.371	0.141	0.286	-0.172	-0.229	0.293	0.234	-0.073	-0.333	0.375	-0.137	0.085	0.114	0.024	0.069	-0.119	-0.843	-0.061	-0.053	0.327	0.105	0.017	0.314	-0.189	-0.204	-0.451	0.460	-0.061	-0.526	0.128	-0.453	-0.054	0.198	-0.012	0.018	-0.411	0.191	0.141	-0.719	0.071	0.508	-0.767	0.081	0.184
333_OVCAR4_JQ|0.63_3_1_JQ1Tr_SD	5	0.032	-0.647	-0.713	0.014	-0.586	-0.458	-0.160	-0.598	-1.176	0.144	0.228	-0.161	-0.151	-0.593	0.139	-0.034	0.177	-0.373	0.001	0.042	0.067	0.032	0.107	0.148	0.601	0.622	0.132	0.181	0.192	-0.133	-0.187	-0.363	-0.054	0.510	0.014	0.481	0.119	-0.365	-0.279	-0.183	-0.129	-0.126	-0.244	-0.228	1.429	-0.147	-0.564	0.299	-0.648	-0.380	-0.177	0.290	-0.272	-0.175	0.238	0.160	-0.102	0.218	0.164	0.234	0.113	0.055	0.228	0.055	0.150	-0.005	0.013	-0.017	-0.147	-0.701	-0.397	0.182	-0.212	0.117	0.136	-0.033	-0.538	-0.142	-0.083	0.106	-0.393	0.247	0.022	-0.121	0.180	0.189	0.079	-0.846	-0.182	-0.131	-0.007	0.320	-0.987	0.017	0.734	-0.644	0.237	1.257	0.147	0.070	0.187	-0.313	-0.216	0.140	-0.213	-0.147	0.044	0.221	-0.343	0.194	0.227	-0.197	-0.309	0.222	0.123	0.016	-0.426	0.379	-0.153	0.175	0.052	0.054	0.140	-0.072	-0.936	0.065	0.453	0.361	0.051	-0.056	0.260	-0.074	-0.247	-0.407	0.299	0.042	-0.416	0.075	-0.390	-0.440	0.092	0.058	-0.073	-0.406	0.195	0.025	-0.636	0.113	0.390	-0.673	0.162	0.129
334_OVCAR4_JQ|0.31_3_1_JQ1Tr_SD	6	0.089	-0.576	-0.584	-0.344	-0.370	-0.321	0.007	-0.474	-0.944	0.076	0.138	-0.244	-0.288	-0.435	0.149	-0.046	0.238	-0.315	-0.067	0.027	0.015	0.294	-0.067	0.094	0.407	0.432	0.150	0.157	0.139	-0.267	-0.164	-0.311	0.072	0.262	0.056	0.526	-0.063	-0.360	-0.255	-0.235	-0.128	-0.218	-0.285	-0.605	1.176	-0.194	-0.603	0.201	-0.678	-0.352	-0.078	0.099	-0.113	-0.003	0.124	0.020	-0.186	0.195	0.187	0.210	0.015	0.171	0.061	0.118	0.095	-0.088	0.006	0.070	-0.125	-0.470	-0.116	0.008	-0.047	0.084	0.128	-0.111	-0.397	-0.075	0.015	0.026	-0.299	0.331	0.059	-0.044	0.118	0.135	-0.027	-0.839	-0.271	-0.114	-0.059	0.584	-0.777	-0.306	0.541	-0.676	0.054	0.960	0.204	0.007	0.161	-0.123	-0.156	0.000	-0.158	-0.138	0.057	0.062	-0.188	0.205	0.265	-0.040	-0.178	0.224	0.183	0.017	-0.339	0.254	-0.063	0.122	0.015	-0.059	0.048	-0.057	-0.924	-0.038	0.036	0.311	0.030	0.006	0.612	-0.091	-0.238	-0.350	0.068	0.007	-0.308	0.047	-0.314	-0.002	0.086	0.313	-0.113	-0.259	0.104	-0.140	-0.447	0.130	0.313	-0.489	0.078	0.114
335_OVCAR4_JQ|0.16_3_1_JQ1Tr_SD	7	0.143	-0.723	-0.802	0.103	-0.795	-0.591	-0.004	-0.846	-0.781	-0.068	0.237	-0.362	-0.533	-1.012	0.220	-0.087	0.027	-0.345	0.101	0.065	0.104	0.116	0.143	0.073	0.319	0.537	0.154	0.289	0.287	-0.230	-0.319	-0.386	0.057	0.262	-0.019	0.609	0.002	-0.479	-0.279	-0.262	-0.315	-0.287	-0.476	-0.158	1.047	-0.335	-0.621	0.250	-0.640	-0.626	-0.323	0.100	-0.490	-0.412	0.237	0.139	-0.010	0.136	0.249	0.239	0.174	0.144	0.137	-0.049	0.258	0.191	0.028	0.198	-0.343	-0.872	-0.439	0.153	-0.037	0.193	0.141	0.088	-0.492	-0.298	-0.006	0.106	-0.512	0.383	-0.095	-0.545	0.228	0.105	0.137	-0.575	-0.193	-0.196	-0.121	0.342	-1.281	-0.075	0.541	-0.506	-0.001	0.690	0.173	0.170	0.163	-0.495	-0.209	0.195	-0.432	-0.361	0.054	0.124	-0.624	0.093	0.065	-0.173	-0.392	0.303	0.347	-0.189	-0.349	0.298	-0.328	0.198	-0.008	0.002	0.090	-0.103	-0.825	-0.097	0.026	0.426	-0.022	-0.048	0.410	-0.077	-0.169	-0.487	0.091	0.069	-0.550	-0.043	-0.526	-0.156	0.124	-0.038	-0.209	-0.426	0.099	-0.001	-0.741	0.321	0.295	-0.791	0.139	-0.039
336_OVCAR4_JQ|0.08_3_1_JQ1Tr_SD	8	0.013	-0.822	-0.817	0.354	-0.948	-0.641	-0.038	-0.938	-0.741	-0.081	0.173	-0.459	-0.526	-0.921	0.206	-0.076	0.323	-0.079	0.069	0.130	0.086	0.126	0.182	0.091	0.323	0.545	-0.043	0.212	0.034	-0.001	-0.405	-0.310	0.193	0.066	-0.029	0.921	0.184	-0.441	-0.177	-0.116	-0.195	-0.210	-0.355	-0.133	0.982	-0.211	-0.573	0.196	-0.377	-0.526	-0.360	0.168	-0.612	-0.485	0.313	0.193	-0.128	0.059	0.258	0.208	0.186	0.293	0.170	-0.057	0.287	0.166	-0.093	0.139	-0.554	-0.873	-0.482	0.067	-0.045	0.196	-0.004	0.143	-0.333	-0.347	0.084	0.128	-0.444	0.346	0.122	-0.532	0.308	0.044	0.199	-0.523	-0.043	-0.197	-0.263	0.273	-1.319	0.009	0.435	-0.203	0.284	0.510	0.142	0.246	0.282	-0.642	-0.200	0.152	-0.482	-0.333	0.068	-0.022	-0.573	0.045	0.039	-0.253	-0.522	0.174	0.060	0.099	-0.392	0.044	-0.433	0.138	0.261	0.031	0.103	-0.133	-0.704	-0.180	0.027	0.372	0.069	-0.016	0.484	-0.018	-0.204	-0.496	0.191	0.150	-0.778	0.130	-0.553	-0.301	0.057	0.156	-0.080	-0.611	0.150	-0.003	-0.586	0.362	0.271	-0.678	0.154	0.035
357_OVCAR4_JQ|0.04_3_1_JQ1Tr_SD	9	0.199	-0.627	-0.672	0.046	-0.549	-0.628	-0.007	-0.691	-0.159	-0.080	0.209	-0.250	-0.475	-0.941	0.130	-0.135	0.404	-0.311	0.009	0.014	0.056	0.027	0.050	0.035	0.399	0.470	0.109	0.213	0.272	-0.026	-0.162	-0.355	-0.018	0.284	-0.038	0.227	0.179	-0.362	-0.218	-0.218	-0.140	-0.224	-0.302	-0.088	0.989	-0.174	-0.426	0.115	-0.291	-0.528	-0.273	0.049	-0.307	-0.304	0.203	0.013	-0.174	0.208	0.150	0.186	-0.011	0.054	0.165	-0.030	0.189	-0.047	-0.027	-0.054	-0.287	-0.721	-0.487	0.177	-0.128	0.190	0.197	0.138	-0.390	-0.279	-0.025	0.248	-0.445	0.354	-0.384	-0.265	0.265	0.128	0.229	-0.568	-0.080	-0.185	-0.093	0.235	-1.120	0.188	0.324	-0.227	-0.049	0.302	0.162	-0.073	0.136	-0.516	-0.188	0.124	-0.357	-0.345	-0.013	0.130	-0.562	0.225	-0.081	-0.049	-0.407	0.248	0.239	-0.034	-0.251	0.105	-0.389	0.238	0.174	0.088	0.158	-0.040	-0.667	-0.101	0.072	0.372	0.057	-0.066	0.359	0.033	-0.151	-0.371	0.055	0.206	-0.463	0.022	-0.376	-0.217	0.081	0.121	-0.126	-0.331	0.123	-0.137	-0.418	0.386	0.219	-0.411	0.194	-0.083
358_OVCAR4_JQ|0.02_3_1_JQ1Tr_SD	10	0.203	-0.457	-0.510	0.103	-0.394	-0.571	0.079	-0.606	-0.586	-0.051	0.057	-0.281	-0.557	-0.588	0.140	-0.080	0.434	-0.082	0.054	-0.025	0.031	-0.017	-0.153	0.007	0.203	0.384	0.095	0.181	0.359	-0.013	-0.269	-0.315	-0.055	0.190	0.105	0.032	0.112	-0.286	-0.146	-0.187	-0.178	-0.241	-0.292	0.013	0.793	-0.134	-0.405	0.243	-0.268	-0.429	-0.198	-0.078	-0.293	-0.107	0.190	-0.030	0.057	0.153	0.282	0.230	0.081	0.028	0.136	0.000	0.278	0.112	-0.024	0.100	-0.261	-0.478	-0.357	0.030	0.028	0.126	0.137	0.081	-0.291	-0.061	0.087	0.162	-0.253	0.316	0.022	-0.112	0.244	0.050	0.229	-0.458	-0.040	-0.134	-0.037	0.229	-0.880	-0.132	0.224	-0.042	-0.092	0.215	0.209	0.195	0.078	-0.393	-0.149	0.257	-0.251	-0.284	0.049	0.291	-0.420	0.205	-0.099	-0.033	-0.399	0.148	0.169	-0.046	-0.269	-0.005	-0.346	0.195	0.123	0.146	0.164	-0.036	-0.639	-0.330	-0.151	0.328	-0.066	-0.155	0.342	-0.043	-0.205	-0.379	-0.129	0.136	-0.387	0.050	-0.258	-0.399	0.030	0.076	-0.194	-0.280	0.034	-0.629	-0.429	0.314	0.107	-0.280	0.087	-0.021
359_OVCAR4_JQ|0.01_3_1_JQ1Tr_SD	11	-0.001	-0.456	-0.351	0.182	-0.381	-0.309	0.211	-0.468	-0.526	-0.148	0.017	-0.193	-0.555	-0.517	0.135	-0.086	0.301	-0.185	-0.110	-0.031	-0.070	-0.076	0.192	-0.040	0.148	0.287	-0.148	0.091	0.267	-0.069	-0.028	-0.246	0.023	0.049	0.004	0.310	-0.045	-0.308	-0.278	-0.256	-0.214	-0.265	-0.281	-0.100	0.728	-0.213	-0.054	0.167	-0.195	-0.319	-0.177	-0.184	-0.378	-0.129	0.102	0.001	-0.059	0.091	0.178	0.154	-0.008	0.048	0.045	-0.029	0.159	0.056	-0.106	0.059	-0.269	-0.485	-0.380	0.090	-0.018	0.066	0.160	-0.029	-0.405	-0.098	0.040	-0.063	-0.122	0.233	-0.103	-0.214	0.075	-0.022	0.127	-0.429	0.047	-0.074	-0.208	0.137	-0.850	0.221	0.021	-0.070	0.071	0.047	0.096	0.102	0.066	-0.379	-0.199	0.162	-0.268	-0.225	-0.016	0.086	-0.304	0.092	-0.124	-0.011	-0.115	0.030	-0.026	-0.091	-0.067	0.108	-0.211	0.056	0.009	0.037	0.076	-0.048	-0.164	0.141	0.028	0.154	0.007	-0.079	0.246	-0.124	-0.389	-0.475	-0.129	0.080	-0.208	-0.050	-0.222	-0.128	-0.017	-0.027	-0.227	-0.187	0.011	0.096	-0.441	0.141	0.156	-0.056	0.288	-0.028
