AntibodyLabel	Source	NodeName	Gene_Symbol	Sites	Effect
X14.3.3.Beta_RS00273759	MDACC	1433Beta	YWHAB	NA	c
X14.3.3.Beta_RS00275702	MDACC	1433Beta	YWHAB	NA	c
X14.3.3.beta.R.V_GBL1033882	MDACC	1433beta	YWHAB	NA	c
X14.3.3.beta.R.V_GBL1113342	MDACC	1433beta	YWHAB	NA	c
X14.3.3.beta.R.V_GBL1115021	MDACC	1433beta	YWHAB	NA	c
X14.3.3.beta(V)_GBL9008393	MDACC	1433beta	YWHAB	NA	c
X14.3.3_epsilon.M.C_GBL9026348	MDACC	1433e	YWHAE	NA	c
X14.3.3.epsilon.M.C_GBL1033928	MDACC	1433epsilon	YWHAE	NA	c
X14.3.3.epsilon.M.C_GBL1113387	MDACC	1433epsilon	YWHAE	NA	c
X14.3.3.epsilon.M.C_GBL1115074	MDACC	1433epsilon	YWHAE	NA	c
X14.3.3.Zeta_RS00273573	MDACC	1433Zeta	YWHAZ	NA	c
X14.3.3.Zeta_RS00276595 (1_20000)	MDACC	1433Zeta	YWHAZ	NA	c
X14.3.3.zeta.R.V_GBL1033883	MDACC	1433zeta	YWHAZ	NA	c
X14.3.3.zeta.R.V_GBL1113343	MDACC	1433zeta	YWHAZ	NA	c
X14.3.3.zeta.R.V_GBL1115022	MDACC	1433zeta	YWHAZ	NA	c
X14.3.3.Zeta(C)_GBL9008335	MDACC	1433Zeta	YWHAZ	NA	c
X4E.BP1.R.V_GBL9026169	MDACC	X4EBP1	EIFX4EBP1	NA	c
X4E.BP1.R.V_GBL1033914	MDACC	X4EBP1	EIFX4EBP1	NA	c
X4E.BP1.R.V_GBL1113149	MDACC	X4EBP1	EIFX4EBP1	NA	c
X4E.BP1.R.V_GBL1114851	MDACC	X4EBP1	EIFX4EBP1	NA	c
X4EBP1_RS00269168	MDACC	X4EBP1	EIFX4EBP1	NA	c
X4EBP1_RS00276828	MDACC	X4EBP1	EIFX4EBP1	NA	c
X4EBP1(V)_GBL9007231	MDACC	X4EBP1	EIFX4EBP1	NA	c
