ID1	ID2	Symbols	Sites	Effect
X14.3.3.Beta_RS00273759	1433Beta	YWHAB		c
X14.3.3.Beta_RS00275702	1433Beta	YWHAB		c
X14.3.3.beta.R.V_GBL1033882	1433beta	YWHAB		c
X14.3.3.beta.R.V_GBL1113342	1433beta	YWHAB		c
X14.3.3.beta.R.V_GBL1115021	1433beta	YWHAB		c
X14.3.3.beta(V)_GBL9008393	1433beta	YWHAB		c
X14.3.3_epsilon.M.C_GBL9026348	1433e	YWHAE		c
X14.3.3.epsilon.M.C_GBL1033928	1433epsilon	YWHAE		c
X14.3.3.epsilon.M.C_GBL1113387	1433epsilon	YWHAE		c
X14.3.3.epsilon.M.C_GBL1115074	1433epsilon	YWHAE		c
X14.3.3.Zeta_RS00273573	1433Zeta	YWHAZ		c
X14.3.3.Zeta_RS00276595 (1_20000)	1433Zeta	YWHAZ		c
X14.3.3.zeta.R.V_GBL1033883	1433zeta	YWHAZ		c
X14.3.3.zeta.R.V_GBL1113343	1433zeta	YWHAZ		c
X14.3.3.zeta.R.V_GBL1115022	1433zeta	YWHAZ		c
X14.3.3.Zeta(C)_GBL9008335	1433Zeta	YWHAZ		c
X4E.BP1.R.V_GBL9026169	X4EBP1	EIFX4EBP1		c
X4E.BP1.R.V_GBL1033914	X4EBP1	EIFX4EBP1		c
X4E.BP1.R.V_GBL1113149	X4EBP1	EIFX4EBP1		c
X4E.BP1.R.V_GBL1114851	X4EBP1	EIFX4EBP1		c
X4EBP1_RS00269168	X4EBP1	EIFX4EBP1		c
X4EBP1_RS00276828	X4EBP1	EIFX4EBP1		c
X4EBP1(V)_GBL9007231	X4EBP1	EIFX4EBP1		c
X4EBP1(V)_GBL9008590	X4EBP1	EIFX4EBP1		c
X4E.BP1 (phospho.Ser65)	X4EBP1_pS65	EIFX4EBP1	S65	i
X4E.BP1 (phospho.Thr37,Thr46)	X4EBP1_pT37	EIFX4EBP1	T37|T46	i
X4EBP1_pS37_RS00273595	X4EBP1pS37	EIFX4EBP1	S37	i
X4E.BP1_pS65.R.V_GBL9026170	X4EBP1pS65	EIFX4EBP1	S65	i
X4E.BP1_pS65.R.V_GBL1033671	X4EBP1pS65	EIFX4EBP1	S65	i
X4E.BP1_pS65.R.V_GBL1113150	X4EBP1pS65	EIFX4EBP1	S65	i
X4E.BP1_pS65.R.V_GBL1114852	X4EBP1pS65	EIFX4EBP1	S65	i
X4EBP1_pS65_RS00269167	X4EBP1pS65	EIFX4EBP1	S65	i
X4EBP1_pS65_RS00275827	X4EBP1pS65	EIFX4EBP1	S65	i
X4EBP1_pS65(V)_GBL9007869	X4EBP1pS65	EIFX4EBP1	S65	i
X4EBP1_pS65(V)_GBL9008591	X4EBP1pS65	EIFX4EBP1	S65	i
X4EBP1_pT37_RS00275826	X4EBP1pT37	EIFX4EBP1	T37	i
X4EBP1_pT37(V)_GBL9008592	X4EBP1pT37	EIFX4EBP1	T37	i
X4E.BP1_pT37_T46.R.V_GBL1033672	X4EBP1pT37T46	EIFX4EBP1	T37|T46	i
X4E.BP1_pT37_T46.R.V_GBL1113151	X4EBP1pT37T46	EIFX4EBP1	T37|T46	i
X4E.BP1_pT37_T46.R.V_GBL1114853	X4EBP1pT37T46	EIFX4EBP1	T37|T46	i
X4EBP1_pT70_RS00273577	X4EBP1pT70	EIFX4EBP1	T70	i
X4EBP1_pT70_RS00275820	X4EBP1pT70	EIFX4EBP1	T70	i
X4EBP1_pT70(V)_GBL9008561	X4EBP1pT70	EIFX4EBP1	T70	i
X53BP1_GBL9008311	X53BP1	TPX53BP1		c
X53BP1.R.V_GBL1033787	X53BP1	TPX53BP1		c
X53BP1.R.V_GBL1113264	X53BP1	TPX53BP1		c
X53BP1.R.V_GBL1114936	X53BP1	TPX53BP1		c
ab_Crystalline_GBL9008549	abCrystalline	ABCRYSTALLINE		c
alpha.Catenin.M.V_GBL9026304	aCatenin	CTNNA1		c
ACC1.R.C_GBL9026173	ACC1	ACACA		c
ACC1.R.E_GBL1033674	ACC1	ACACA		c
ACC1.R.E_GBL1113153	ACC1	ACACA		c
ACC1.R.E_GBL1114855	ACC1	ACACA		c
ACC1.R.C_GBL.9013806	ACC1	ACACA		c
ACC1(C)_GBL9008595	ACC1	ACACA		c
ACC_pS79.R.V_GBL9026172	ACC1pS79	ACACA	S79|S80	a
ACC_pS79.R.V_GBL9026172	ACC1pS79	ACACB	S79	a
ACC_pS79_GBL9008594	ACCpS79	ACACA	S79	a
ACC_pS79_RS00269173	ACCpS79	ACACA	S79	a
ACC_pS79_RS00275573	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL1033673	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL1113152	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL1114854	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL.9012901	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL.9013893	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL.9014284	ACCpS79	ACACA	S79	a
ACVRL1.R.C_GBL1033834	ACVRL1	ACVRL1		c
ACVRL1.R.C_GBL1113285	ACVRL1	ACVRL1		c
ACVRL1.wR.C_GBL1115125	ACVRL1	ACVRL1		c
ADAR1.M.V_GBL1033909	ADAR1	ADAR		c
ADAR1.M.V_GBL1113373	ADAR1	ADAR		c
ADAR1.M.V_GBL1115052	ADAR1	ADAR		c
AIB1.M.V_GBL9026302	AIB1	NCOA3		c
AIB.1_RS00273414 (MOUSE)	AIB1	NCOA3		c
AIB1_RS00276602 (mouse)	AIB1	NCOA3		c
AIB1.M.V_GBL.9012877	AIB1	NCOA3		c
AIB1(mouse)(C)_GBL9007871	AIB1	NCOA3		c
Akt	AKT	AKT1		c
Akt	AKT	AKT2		c
Akt	AKT	AKT3		c
Akt.R.V_GBL9026174	AKT	AKT1		c
Akt.R.V_GBL9026174	AKT	AKT2		c
Akt.R.V_GBL9026174	AKT	AKT3		c
AKT_RS00269151	AKT	AKT1		c
AKT_RS00275814	AKT	AKT1		c
Akt.R.V_GBL1033833	Akt	AKT1		c
Akt.R.V_GBL1113284	Akt	AKT1		c
Akt.R.V_GBL1114953	Akt	AKT1		c
Akt.R.V_GBL.9012890	Akt	AKT1		c
Akt.R.V_GBL.9013807	Akt	AKT1		c
Akt.R.V_GBL.9014349	Akt	AKT1		c
AKT(V)_GBL9008596	AKT	AKT1		c
AKT_RS00269151	AKT	AKT2		c
AKT_RS00275814	AKT	AKT2		c
Akt.R.V_GBL1033833	Akt	AKT2		c
Akt.R.V_GBL1113284	Akt	AKT2		c
Akt.R.V_GBL1114953	Akt	AKT2		c
Akt.R.V_GBL.9012890	Akt	AKT2		c
Akt.R.V_GBL.9013807	Akt	AKT2		c
Akt.R.V_GBL.9014349	Akt	AKT2		c
AKT(V)_GBL9008596	AKT	AKT2		c
AKT_RS00269151	AKT	AKT3		c
AKT_RS00275814	AKT	AKT3		c
Akt.R.V_GBL1033833	Akt	AKT3		c
Akt.R.V_GBL1113284	Akt	AKT3		c
Akt.R.V_GBL1114953	Akt	AKT3		c
Akt.R.V_GBL.9012890	Akt	AKT3		c
Akt.R.V_GBL.9013807	Akt	AKT3		c
Akt.R.V_GBL.9014349	Akt	AKT3		c
AKT(V)_GBL9008596	AKT	AKT3		c
Akt (phospho.Ser473)	Akt_pS473	AKT1	S473	a
Akt (phospho.Ser473)	Akt_pS473	AKT2	S473	a
Akt (phospho.Ser473)	Akt_pS473	AKT3	S473	a
Akt (phospho.Thr308)	Akt_pT308	AKT1	T308	a
