"AntibodyLabel"	"Source"	"NodeName"	"Gene_Symbol"	"Sites"	"Effect"
"1"	"A.RAF_pS299"	"MDACC"	"ARAFpS299"	"ARAF"	"S299"	"a"
"2"	"A.RAF_pS299_GBL9008341"	"MDACC"	"ARAFpS299"	"ARAF"	"S299"	"a"
"3"	"A.Raf_pS299.R.C_GBL1115225"	"MDACC"	"ARafpS299"	"ARAF"	"S299"	"a"
"4"	"a.Raf"	"MDACC"	"ARaf"	"ARAF"	NA	"c"
"5"	"A.Raf.R.V_GBL1033858"	"MDACC"	"ARaf"	"ARAF"	NA	"c"
"6"	"A.Raf.R.V_GBL1113319"	"MDACC"	"ARaf"	"ARAF"	NA	"c"
"7"	"A.Raf.R.V_GBL1114978"	"MDACC"	"ARaf"	"ARAF"	NA	"c"
"8"	"a.Tubulin"	"MDACC"	"aTubulin"	"TUBA1A"	NA	"c"
"9"	"a.Tubulin_GBL9008350"	"MDACC"	"aTubulin"	"TUBA1A"	NA	"c"
"10"	"ab_Crystalline"	"MDACC"	"abCrystalline"	"ABCRYSTALLINE"	NA	"c"
"11"	"ab_Crystalline_GBL9008549"	"MDACC"	"abCrystalline"	"ABCRYSTALLINE"	NA	"c"
"12"	"ACC_pS79"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"13"	"ACC_pS79_GBL9008594"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"14"	"ACC_pS79_RS00269173"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"15"	"ACC_pS79_RS00275573"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"16"	"ACC_pS79.R.V_GBL.9012901"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"17"	"ACC_pS79.R.V_GBL.9013893"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"18"	"ACC_pS79.R.V_GBL.9014284"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"19"	"ACC_pS79.R.V_GBL1033673"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"20"	"ACC_pS79.R.V_GBL1113152"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"21"	"ACC_pS79.R.V_GBL1114854"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"22"	"ACC_pS79.R.V_GBL9026172"	"MDACC"	"ACC1pS79"	"ACACA"	"S79|S80"	"a"
"23"	"ACC_pS79.R.V_GBL9026172"	"MDACC"	"ACC1pS79"	"ACACB"	"S79"	"a"
"24"	"ACC1"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"25"	"ACC1_C"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"26"	"ACC1.R.C_GBL.9013806"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"27"	"ACC1.R.C_GBL9026173"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"28"	"ACC1.R.E_GBL1033674"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"29"	"ACC1.R.E_GBL1113153"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"30"	"ACC1.R.E_GBL1114855"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"31"	"ACC1(C)_GBL9008595"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"32"	"ACVRL1.R.C_GBL1033834"	"MDACC"	"ACVRL1"	"ACVRL1"	NA	"c"
"33"	"ACVRL1.R.C_GBL1113285"	"MDACC"	"ACVRL1"	"ACVRL1"	NA	"c"
"34"	"ACVRL1.wR.C_GBL1115125"	"MDACC"	"ACVRL1"	"ACVRL1"	NA	"c"
"35"	"ADAR1"	"MDACC"	"ADAR1"	"ADAR"	NA	"c"
"36"	"ADAR1.M.V_GBL1033909"	"MDACC"	"ADAR1"	"ADAR"	NA	"c"
"37"	"ADAR1.M.V_GBL1113373"	"MDACC"	"ADAR1"	"ADAR"	NA	"c"
"38"	"ADAR1.M.V_GBL1115052"	"MDACC"	"ADAR1"	"ADAR"	NA	"c"
"39"	"AIB1"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"40"	"AIB.1"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"41"	"AIB.1_RS00273414 (MOUSE)"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"42"	"AIB1_mouse"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"43"	"AIB1_RS00276602 (mouse)"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"44"	"AIB1.M.V_GBL.9012877"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"45"	"AIB1.M.V_GBL9026302"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"46"	"AIB1(mouse)(C)_GBL9007871"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"47"	"AKT"	"MSKCC"	"AKT"	"AKT1"	NA	"c"
"48"	"AKT"	"MSKCC"	"AKT"	"AKT2"	NA	"c"
"49"	"AKT"	"MSKCC"	"AKT"	"AKT3"	NA	"c"
"50"	"Akt"	"MSKCC"	"AKT"	"AKT1"	NA	"c"
"51"	"Akt"	"MSKCC"	"AKT"	"AKT2"	NA	"c"
"52"	"Akt"	"MSKCC"	"AKT"	"AKT3"	NA	"c"
"53"	"Akt (phospho.Ser473)"	"MSKCC"	"Akt_pS473"	"AKT1"	"S473"	"a"
"54"	"Akt (phospho.Ser473)"	"MSKCC"	"Akt_pS473"	"AKT2"	"S473"	"a"
"55"	"Akt (phospho.Ser473)"	"MSKCC"	"Akt_pS473"	"AKT3"	"S473"	"a"
"56"	"Akt (phospho.Thr308)"	"MSKCC"	"Akt_pT308"	"AKT1"	"T308"	"a"
