"AntibodyLabel"	"Source"	"NodeName"	"Gene_Symbol"	"Sites"	"Effect"
"1"	"ANTI.MOUSE_NEGATIVE_CONTROL"	"MDACC"	NA	NA	NA	"c"
"2"	"ANTI.RABBIT_NEGATIVE_CONTROL"	"MDACC"	NA	NA	NA	"c"
"3"	"ANTI_MOUSE_ONLY"	"MDACC"	NA	NA	NA	"c"
"4"	"ANTI_RABBIT_ONLY"	"MDACC"	NA	NA	NA	"c"
"5"	"COMPLEX_IV_SUBUNIT1"	"MDACC"	NA	NA	NA	"c"
"6"	"COMPLEX_IV_SUBUNITIV"	"MDACC"	NA	NA	NA	"c"
"7"	"A1UP"	"MDACC"	"A1UP"	NA	NA	"c"
"8"	"APOPTOSIS.INDUCING_FACTOR.AIF."	"MDACC"	"AIFM1"	"AIFM1"	NA	"c"
"9"	"ARAF_PS299"	"MDACC"	"ARAFpS299"	"ARAF"	"S299"	"a"
"10"	"A.RAF_pS299"	"MDACC"	"ARAFpS299"	"ARAF"	"S299"	"a"
"11"	"A.RAF_pS299_GBL9008341"	"MDACC"	"ARAFpS299"	"ARAF"	"S299"	"a"
"12"	"A.Raf_pS299.R.C_GBL1115225"	"MDACC"	"ARafpS299"	"ARAF"	"S299"	"a"
"13"	"a.Raf"	"MDACC"	"ARaf"	"ARAF"	NA	"c"
"14"	"A.Raf.R.V_GBL1033858"	"MDACC"	"ARaf"	"ARAF"	NA	"c"
"15"	"A.Raf.R.V_GBL1113319"	"MDACC"	"ARaf"	"ARAF"	NA	"c"
"16"	"A.Raf.R.V_GBL1114978"	"MDACC"	"ARaf"	"ARAF"	NA	"c"
"17"	"a.Tubulin"	"MDACC"	"aTubulin"	"TUBA1A"	NA	"c"
"18"	"a.Tubulin_GBL9008350"	"MDACC"	"aTubulin"	"TUBA1A"	NA	"c"
"19"	"ABCRYSTALLIN"	"MDACC"	"abCrystalline"	"ABCRYSTALLINE"	NA	"c"
"20"	"ab_Crystalline"	"MDACC"	"abCrystalline"	"ABCRYSTALLINE"	NA	"c"
"21"	"ab_Crystalline_GBL9008549"	"MDACC"	"abCrystalline"	"ABCRYSTALLINE"	NA	"c"
"22"	"ACC1_PS79"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"23"	"ACC_pS79"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"24"	"ACC_pS79_GBL9008594"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"25"	"ACC_pS79_RS00269173"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"26"	"ACC_pS79_RS00275573"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"27"	"ACC_pS79.R.V_GBL.9012901"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"28"	"ACC_pS79.R.V_GBL.9013893"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"29"	"ACC_pS79.R.V_GBL.9014284"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"30"	"ACC_pS79.R.V_GBL1033673"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"31"	"ACC_pS79.R.V_GBL1113152"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"32"	"ACC_pS79.R.V_GBL1114854"	"MDACC"	"ACCpS79"	"ACACA"	"S79"	"a"
"33"	"ACC_pS79.R.V_GBL9026172"	"MDACC"	"ACC1pS79"	"ACACA"	"S79|S80"	"a"
"34"	"ACC_pS79.R.V_GBL9026172"	"MDACC"	"ACC1pS79"	"ACACB"	"S79"	"a"
"35"	"ACC1"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"36"	"ACC1_C"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"37"	"ACC1.R.C_GBL.9013806"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"38"	"ACC1.R.C_GBL9026173"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"39"	"ACC1.R.E_GBL1033674"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"40"	"ACC1.R.E_GBL1113153"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"41"	"ACC1.R.E_GBL1114855"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"42"	"ACC1(C)_GBL9008595"	"MDACC"	"ACC1"	"ACACA"	NA	"c"
"43"	"ACVRL1"	"MDACC"	"ACVRL1"	"ACVRL1"	NA	"c"
"44"	"ACVRL1.R.C_GBL1033834"	"MDACC"	"ACVRL1"	"ACVRL1"	NA	"c"
"45"	"ACVRL1.R.C_GBL1113285"	"MDACC"	"ACVRL1"	"ACVRL1"	NA	"c"
"46"	"ACVRL1.wR.C_GBL1115125"	"MDACC"	"ACVRL1"	"ACVRL1"	NA	"c"
"47"	"ACVRL1"	"MDACC"	"ACLY"	"ACLY"	NA	"c"
"48"	"ADAR1"	"MDACC"	"ADAR1"	"ADAR"	NA	"c"
"49"	"ADAR1.M.V_GBL1033909"	"MDACC"	"ADAR1"	"ADAR"	NA	"c"
"50"	"ADAR1.M.V_GBL1113373"	"MDACC"	"ADAR1"	"ADAR"	NA	"c"
"51"	"ADAR1.M.V_GBL1115052"	"MDACC"	"ADAR1"	"ADAR"	NA	"c"
"52"	"AIB1"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"53"	"AIB.1"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"54"	"AIB.1_RS00273414 (MOUSE)"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"55"	"AIB1_mouse"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"56"	"AIB1_RS00276602 (mouse)"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"57"	"AIB1.M.V_GBL.9012877"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"58"	"AIB1.M.V_GBL9026302"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"59"	"AIB1(mouse)(C)_GBL9007871"	"MDACC"	"AIB1"	"NCOA3"	NA	"c"
"60"	"AKT"	"MSKCC"	"AKT"	"AKT1"	NA	"c"
"61"	"AKT"	"MSKCC"	"AKT"	"AKT2"	NA	"c"
"62"	"AKT"	"MSKCC"	"AKT"	"AKT3"	NA	"c"
"63"	"Akt"	"MSKCC"	"AKT"	"AKT1"	NA	"c"
"64"	"Akt"	"MSKCC"	"AKT"	"AKT2"	NA	"c"
"65"	"Akt"	"MSKCC"	"AKT"	"AKT3"	NA	"c"
"66"	"AKT_PS473"	"MSKCC"	"Akt_pS473"	"AKT1"	"S473"	"a"
"67"	"Akt (phospho.Ser473)"	"MSKCC"	"Akt_pS473"	"AKT1"	"S473"	"a"
"68"	"Akt (phospho.Ser473)"	"MSKCC"	"Akt_pS473"	"AKT2"	"S473"	"a"
"69"	"Akt (phospho.Ser473)"	"MSKCC"	"Akt_pS473"	"AKT3"	"S473"	"a"
"70"	"AKT_PT308"	"MSKCC"	"Akt_pT308"	"AKT1"	"T308"	"a"
"71"	"Akt (phospho.Thr308)"	"MSKCC"	"Akt_pT308"	"AKT1"	"T308"	"a"
"72"	"Akt (phospho.Thr308)"	"MSKCC"	"Akt_pT308"	"AKT2"	"T308"	"a"
"73"	"Akt (phospho.Thr308)"	"MSKCC"	"Akt_pT308"	"AKT3"	"T308"	"a"
"74"	"AKT_PS474"	"MDACC"	"AKTpS474"	"AKT1"	"S474"	"a"
"75"	"Akt_pT308"	"MDACC"	"AKTpS308"	"AKT1"	"S308"	"a"
