ID1	ID2	Symbols	Sites	Effect
14.3.3_epsilon.M.C_GBL9026348	1433e	YWHAE		
4E.BP1.R.V_GBL9026169	4EBP1	EIF4EBP1		
4E.BP1_pS65.R.V_GBL9026170	4EBP1pS65	EIF4EBP1	S65	i
P53BP1.R.C_GBL9026171	53BP1	TP53BP1		
ACC_pS79.R.V_GBL9026172	ACC1pS79	ACACA ACACB	S79|S80 S222	a
ACC1.R.C_GBL9026173	ACC1	ACACA		
AIB1.M.V_GBL9026302	AIB1	NCOA3		
Akt.R.V_GBL9026174	AKT	AKT1 AKT2 AKT3		
Akt_pS473.R.V_GBL9026175	AKTpS473	AKT1 AKT2 AKT3	S473 S474 S472	a
Akt_pT308.R.V_GBL9026176	AKTpT308	AKT1 AKT2 AKT3	T308 T309 T305	a
alpha.Catenin.M.V_GBL9026304	aCatenin	CTNNA1		
AMPK_alpha.R.C_GBL9026177	AMPKa	PRKAA1		
AMPK_pT172.R.V_GBL9026178	AMPKapT172	PRKAA1	T172|S172	a
Annexin_I.R.V_GBL9026179	AnnexinI	ANXA1		
AR.R.V_GBL9026335	AR	AR		
Bad_pS112.R.V_GBL9026336	BadpS112	BAD	S112|S118	a	*
Bak.R.C_GBL9026182	Bak	BAK1		
Bax.R.V_GBL9026183	Bax	BAX		
Bcl.2.M.V_GBL9026303	Bcl2	BCL2		
Bcl.X.R.C_GBL9026338	BclX	BCL2L1		
Bcl.xL.R.V_GBL9026339	BclxL	BCL2L1		
Beclin.G.V_GBL9026330	Beclin	BECN1		
beta.Catenin.R.V_GBL9026194	bCatenin	CTNNB1		
Bid.R.C_GBL9026340	Bid	BID		
Bim.R.V_GBL9026351	Bim	BCL2L11		
c.Jun_pS73.R.C_GBL9026231	cJunpS73	JUN	S73	a
c.Kit.R.V_GBL9026344	cKit	KIT		
c.Met.M.C_GBL9026314	cMet	MET		
c.Met_pY1235.R.C_GBL9026236	cMetpY1235	MET	Y1235	a
c.Myc.R.C_GBL9026241	cMyc	MYC		
C.Raf.R.V_GBL9026278	CRaf	RAF1		
C.Raf_pS338.R.C_GBL9026279	CRafpS338	RAF1	S338	a
Caspase.3_active.R.C_GBL9026352	Casp3ac	CASP3		
Caspase.7_cleavedD198.R.C_GBL9026353	Casp7clD198	CASP7		
Caspase.9_cleavedD330.R.C_GBL9026193	Casp9clD330	CASP9		
Caveolin.1.R.V_GBL9026195	Caveolin1	CAV1		
CD31.M.V_GBL9026349	CD31	PECAM1		
CDK1.R.V_GBL9026196	CDK1	CDC2		
Chk1.R.C_GBL9026197	Chk1	CHEK1		
Chk1_pS345.R.C_GBL9026198	Chk1pS345	CHEK1	S345	a
Chk2.M.C_GBL9026306	Chk2	CHEK2		
Chk2_pT68.R.C_GBL9026199	Chk2pT68	CHEK2	T68	a
cIAP.R.V_GBL9026200	cIAP	BIRC2		
Claudin.7.R.V_GBL9026201	CollagenVI	COL6A1		
Collagen_VI.R.V_GBL9026202	Claudin7	CLDN7		
